Algoritmo;Bucket_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.91083s
Tiempo promedio;0.00191083s
Tiempos individuales (s):
Ejecución 1;0.0138976
Ejecución 2;0.0051108
Ejecución 3;0.0010491
Ejecución 4;0.0010067
Ejecución 5;0.0009875
Ejecución 6;0.0009991
Ejecución 7;0.0069432
Ejecución 8;0.0010413
Ejecución 9;0.0009758
Ejecución 10;0.0012379
Ejecución 11;0.0010032
Ejecución 12;0.0020098
Ejecución 13;0.0017342
Ejecución 14;0.0012352
Ejecución 15;0.0009982
Ejecución 16;0.0010033
Ejecución 17;0.0010225
Ejecución 18;0.0034317
Ejecución 19;0.0019512
Ejecución 20;0.0112797
Ejecución 21;0.0011991
Ejecución 22;0.0010177
Ejecución 23;0.0005828
Ejecución 24;0.0008063
Ejecución 25;0.0052417
Ejecución 26;0.0010492
Ejecución 27;0.0010001
Ejecución 28;0.0010051
Ejecución 29;0.0010125
Ejecución 30;0.0042317
Ejecución 31;0.001878
Ejecución 32;0.0057441
Ejecución 33;0.0010099
Ejecución 34;0.0010156
Ejecución 35;0.0015262
Ejecución 36;0.0010305
Ejecución 37;0.0009983
Ejecución 38;0.0046752
Ejecución 39;0.0005714
Ejecución 40;0.005874
Ejecución 41;0.0010062
Ejecución 42;0.0010029
Ejecución 43;0.0053888
Ejecución 44;0.0010066
Ejecución 45;0.0009992
Ejecución 46;0.0038027
Ejecución 47;0.0010063
Ejecución 48;0.0055219
Ejecución 49;0.001006
Ejecución 50;0.0010867
Ejecución 51;0.0014066
Ejecución 52;0.0009991
Ejecución 53;0.0010003
Ejecución 54;0.001
Ejecución 55;0.001
Ejecución 56;0.004177
Ejecución 57;0.001005
Ejecución 58;0.0045363
Ejecución 59;0.0009994
Ejecución 60;0.0010012
Ejecución 61;0.0019972
Ejecución 62;0.0064351
Ejecución 63;0.0051319
Ejecución 64;0.0010134
Ejecución 65;0.0010875
Ejecución 66;0.0010007
Ejecución 67;0.0009976
Ejecución 68;0.0005208
Ejecución 69;0.0051523
Ejecución 70;0.0010623
Ejecución 71;0.0009521
Ejecución 72;0.0010855
Ejecución 73;0.0009893
Ejecución 74;0.0005354
Ejecución 75;0.0045043
Ejecución 76;0.0010154
Ejecución 77;0.0010008
Ejecución 78;0.0009989
Ejecución 79;0.0010008
Ejecución 80;0.007216
Ejecución 81;0.0009987
Ejecución 82;0.001
Ejecución 83;0.001
Ejecución 84;0.0009998
Ejecución 85;0.0047298
Ejecución 86;0.0010119
Ejecución 87;0.0065391
Ejecución 88;0.0010086
Ejecución 89;0.0010198
Ejecución 90;0.0009973
Ejecución 91;0.0009503
Ejecución 92;0.0010444
Ejecución 93;0.0063636
Ejecución 94;0.0020326
Ejecución 95;0.0010003
Ejecución 96;0.0010823
Ejecución 97;0.0009064
Ejecución 98;0.0051618
Ejecución 99;0.0020186
Ejecución 100;0.0014217
Ejecución 101;0.0063806
Ejecución 102;0.0011
Ejecución 103;0.0010015
Ejecución 104;0.0009106
Ejecución 105;0.0010962
Ejecución 106;0.0014002
Ejecución 107;0.0033566
Ejecución 108;0.0010145
Ejecución 109;0.0010149
Ejecución 110;0.0010533
Ejecución 111;0.0009876
Ejecución 112;0.0072989
Ejecución 113;0.0010218
Ejecución 114;0.0020075
Ejecución 115;0.0024666
Ejecución 116;0.0010348
Ejecución 117;0.0011032
Ejecución 118;0.000995
Ejecución 119;0.0010012
Ejecución 120;0.0005141
Ejecución 121;0.0023372
Ejecución 122;0.0041232
Ejecución 123;0.0009981
Ejecución 124;0.000997
Ejecución 125;0.0006028
Ejecución 126;0.0009978
Ejecución 127;0.0045272
Ejecución 128;0.0055354
Ejecución 129;0.0010161
Ejecución 130;0.0020023
Ejecución 131;0.0019987
Ejecución 132;0.0046353
Ejecución 133;0.0006376
Ejecución 134;0.0010258
Ejecución 135;0.0010561
Ejecución 136;0.0055654
Ejecución 137;0.0046484
Ejecución 138;0.001005
Ejecución 139;0.0009988
Ejecución 140;0.0020497
Ejecución 141;0.003744
Ejecución 142;0.0038018
Ejecución 143;0.0009975
Ejecución 144;0.0010794
Ejecución 145;0.0008987
Ejecución 146;0.0039899
Ejecución 147;0.0050706
Ejecución 148;0.0010119
Ejecución 149;0.0009912
Ejecución 150;0.0009746
Ejecución 151;0.0064124
Ejecución 152;0.0046315
Ejecución 153;0.0010503
Ejecución 154;0.0020399
Ejecución 155;0.0009595
Ejecución 156;0.0044487
Ejecución 157;0.0042862
Ejecución 158;0.001013
Ejecución 159;0.0009952
Ejecución 160;0.0010005
Ejecución 161;0.0009616
Ejecución 162;0.0012559
Ejecución 163;0.0038777
Ejecución 164;0.0009741
Ejecución 165;0.0010947
Ejecución 166;0.0009436
Ejecución 167;0.0009732
Ejecución 168;0.0074227
Ejecución 169;0.001246
Ejecución 170;0.0009922
Ejecución 171;0.0009804
Ejecución 172;0.0011035
Ejecución 173;0.0015543
Ejecución 174;0.0041092
Ejecución 175;0.0010121
Ejecución 176;0.0009243
Ejecución 177;0.0048522
Ejecución 178;0.00129
Ejecución 179;0.0010107
Ejecución 180;0.0061285
Ejecución 181;0.0023978
Ejecución 182;0.001038
Ejecución 183;0.000992
Ejecución 184;0.0009986
Ejecución 185;0.0010094
Ejecución 186;0.0028733
Ejecución 187;0.0020373
Ejecución 188;0.0009976
Ejecución 189;0.0010075
Ejecución 190;0.0019136
Ejecución 191;0.0050844
Ejecución 192;0.001014
Ejecución 193;0.0009992
Ejecución 194;0.0009946
Ejecución 195;0.0010019
Ejecución 196;0.0012474
Ejecución 197;0.0009998
Ejecución 198;0.0010003
Ejecución 199;0.0009993
Ejecución 200;0.0009915
Ejecución 201;0.0073111
Ejecución 202;0.0005825
Ejecución 203;0.0063703
Ejecución 204;0.0010162
Ejecución 205;0.0009949
Ejecución 206;0.0009825
Ejecución 207;0.0046803
Ejecución 208;0.0004905
Ejecución 209;0.0040134
Ejecución 210;0.0010115
Ejecución 211;0.0009996
Ejecución 212;0.0010028
Ejecución 213;0.0009749
Ejecución 214;0.0064958
Ejecución 215;0.0043183
Ejecución 216;0.0010137
Ejecución 217;0.0009988
Ejecución 218;0.0010004
Ejecución 219;0.0010006
Ejecución 220;0.0025792
Ejecución 221;0.0009961
Ejecución 222;0.0009983
Ejecución 223;0.0009989
Ejecución 224;0.0044248
Ejecución 225;0.0009813
Ejecución 226;0.0010003
Ejecución 227;0.0009786
Ejecución 228;0.0073344
Ejecución 229;0.002329
Ejecución 230;0.0010122
Ejecución 231;0.0009981
Ejecución 232;0.0009994
Ejecución 233;0.0009747
Ejecución 234;0.0012368
Ejecución 235;0.0020366
Ejecución 236;0.0009993
Ejecución 237;0.0010007
Ejecución 238;0.0013019
Ejecución 239;0.0023401
Ejecución 240;0.0051448
Ejecución 241;0.0010962
Ejecución 242;0.0009987
Ejecución 243;0.0010005
Ejecución 244;0.0009192
Ejecución 245;0.0013845
Ejecución 246;0.0058816
Ejecución 247;0.0009938
Ejecución 248;0.0020126
Ejecución 249;0.0009477
Ejecución 250;0.005745
Ejecución 251;0.0014429
Ejecución 252;0.0010167
Ejecución 253;0.0010908
Ejecución 254;0.0058227
Ejecución 255;0.0021054
Ejecución 256;0.0009076
Ejecución 257;0.0010937
Ejecución 258;0.0006292
Ejecución 259;0.0030767
Ejecución 260;0.0043273
Ejecución 261;0.0009997
Ejecución 262;0.0010002
Ejecución 263;0.0010004
Ejecución 264;0.0009995
Ejecución 265;0.0005266
Ejecución 266;0.005635
Ejecución 267;0.0010696
Ejecución 268;0.0009464
Ejecución 269;0.001095
Ejecución 270;0.0005993
Ejecución 271;0.0010674
Ejecución 272;0.0049271
Ejecución 273;0.0045116
Ejecución 274;0.0010153
Ejecución 275;0.0010886
Ejecución 276;0.0010097
Ejecución 277;0.0009886
Ejecución 278;0.0010182
Ejecución 279;0.0037651
Ejecución 280;0.0011005
Ejecución 281;0.0010065
Ejecución 282;0.0009762
Ejecución 283;0.0009319
Ejecución 284;0.0075487
Ejecución 285;0.0021424
Ejecución 286;0.0042532
Ejecución 287;0.0010522
Ejecución 288;0.0010701
Ejecución 289;0.0045533
Ejecución 290;0.0010996
Ejecución 291;0.0009144
Ejecución 292;0.000998
Ejecución 293;0.0010043
Ejecución 294;0.0027665
Ejecución 295;0.0010137
Ejecución 296;0.0010395
Ejecución 297;0.0009098
Ejecución 298;0.0015207
Ejecución 299;0.0049757
Ejecución 300;0.002109
Ejecución 301;0.0009244
Ejecución 302;0.0010012
Ejecución 303;0.0066778
Ejecución 304;0.003438
Ejecución 305;0.0010651
Ejecución 306;0.0010101
Ejecución 307;0.0009912
Ejecución 308;0.0010022
Ejecución 309;0.0016141
Ejecución 310;0.0065705
Ejecución 311;0.0017447
Ejecución 312;0.0032284
Ejecución 313;0.0021082
Ejecución 314;0.000993
Ejecución 315;0.0009571
Ejecución 316;0.0010496
Ejecución 317;0.0057342
Ejecución 318;0.0006369
Ejecución 319;0.0069519
Ejecución 320;0.0020045
Ejecución 321;0.0009979
Ejecución 322;0.0009951
Ejecución 323;0.0019981
Ejecución 324;0.0010188
Ejecución 325;0.000998
Ejecución 326;0.0009988
Ejecución 327;0.0010011
Ejecución 328;0.0015154
Ejecución 329;0.0055479
Ejecución 330;0.0034695
Ejecución 331;0.0010247
Ejecución 332;0.0010018
Ejecución 333;0.0009923
Ejecución 334;0.0010047
Ejecución 335;0.0081362
Ejecución 336;0.0011022
Ejecución 337;0.0020088
Ejecución 338;0.0037276
Ejecución 339;0.0011284
Ejecución 340;0.0009219
Ejecución 341;0.0010819
Ejecución 342;0.0009161
Ejecución 343;0.0031936
Ejecución 344;0.0010141
Ejecución 345;0.001089
Ejecución 346;0.0010019
Ejecución 347;0.0009985
Ejecución 348;0.0065452
Ejecución 349;0.004175
Ejecución 350;0.0010215
Ejecución 351;0.0042603
Ejecución 352;0.0021206
Ejecución 353;0.0009968
Ejecución 354;0.0008946
Ejecución 355;0.0010707
Ejecución 356;0.0008711
Ejecución 357;0.0040693
Ejecución 358;0.0010373
Ejecución 359;0.0010027
Ejecución 360;0.0009995
Ejecución 361;0.0009987
Ejecución 362;0.0067257
Ejecución 363;0.0046846
Ejecución 364;0.0009394
Ejecución 365;0.0010012
Ejecución 366;0.0019975
Ejecución 367;0.0068039
Ejecución 368;0.0010413
Ejecución 369;0.00097
Ejecución 370;0.0009948
Ejecución 371;0.0010065
Ejecución 372;0.0028251
Ejecución 373;0.0010178
Ejecución 374;0.0009051
Ejecución 375;0.0045896
Ejecución 376;0.0010064
Ejecución 377;0.0020023
Ejecución 378;0.0009974
Ejecución 379;0.001029
Ejecución 380;0.0068306
Ejecución 381;0.0010193
Ejecución 382;0.0009978
Ejecución 383;0.0009987
Ejecución 384;0.001
Ejecución 385;0.0027184
Ejecución 386;0.0010002
Ejecución 387;0.0010005
Ejecución 388;0.0009989
Ejecución 389;0.0020941
Ejecución 390;0.0049892
Ejecución 391;0.0009969
Ejecución 392;0.0010019
Ejecución 393;0.0009997
Ejecución 394;0.0034729
Ejecución 395;0.0009992
Ejecución 396;0.0009999
Ejecución 397;0.0009991
Ejecución 398;0.0021976
Ejecución 399;0.0009983
Ejecución 400;0.0010009
Ejecución 401;0.0009994
Ejecución 402;0.0004045
Ejecución 403;0.0041539
Ejecución 404;0.0010139
Ejecución 405;0.0009994
Ejecución 406;0.0009999
Ejecución 407;0.0009986
Ejecución 408;0.0010009
Ejecución 409;0.0032406
Ejecución 410;0.0009835
Ejecución 411;0.0010078
Ejecución 412;0.0009727
Ejecución 413;0.0010041
Ejecución 414;0.00039
Ejecución 415;0.0057059
