Algoritmo;Heap_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.4740657s
Tiempo promedio;0.0014741s
Tiempos individuales (s):
Ejecución 1;0.0019971
Ejecución 2;0.0019977
Ejecución 3;0.0019948
Ejecución 4;0.0010017
Ejecución 5;0.0009995
Ejecución 6;0.0019992
Ejecución 7;0.0010015
Ejecución 8;0.0019985
Ejecución 9;0.0010015
Ejecución 10;0.0013047
Ejecución 11;0.0020026
Ejecución 12;0.0019993
Ejecución 13;0.0020163
Ejecución 14;0.0019842
Ejecución 15;0.0017351
Ejecución 16;0.0020126
Ejecución 17;0.0019995
Ejecución 18;0.0010025
Ejecución 19;0.0020006
Ejecución 20;0.0019996
Ejecución 21;0.0012798
Ejecución 22;0.0009990
Ejecución 23;0.0019991
Ejecución 24;0.0010020
Ejecución 25;0.0019983
Ejecución 26;0.0010015
Ejecución 27;0.0023040
Ejecución 28;0.0010028
Ejecución 29;0.0010028
Ejecución 30;0.0009987
Ejecución 31;0.0019992
Ejecución 32;0.0010025
Ejecución 33;0.0019978
Ejecución 34;0.0010016
Ejecución 35;0.0009995
Ejecución 36;0.0019993
Ejecución 37;0.0010018
Ejecución 38;0.0009992
Ejecución 39;0.0019992
Ejecución 40;0.0010014
Ejecución 41;0.0019988
Ejecución 42;0.0010014
Ejecución 43;0.0015118
Ejecución 44;0.0010132
Ejecución 45;0.0019983
Ejecución 46;0.0010015
Ejecución 47;0.0009998
Ejecución 48;0.0019991
Ejecución 49;0.0010018
Ejecución 50;0.0009995
Ejecución 51;0.0013575
Ejecución 52;0.0020080
Ejecución 53;0.0010013
Ejecución 54;0.0010118
Ejecución 55;0.0019992
Ejecución 56;0.0010017
Ejecución 57;0.0021724
Ejecución 58;0.0019970
Ejecución 59;0.0010035
Ejecución 60;0.0019968
Ejecución 61;0.0010017
Ejecución 62;0.0010004
Ejecución 63;0.0022399
Ejecución 64;0.0009986
Ejecución 65;0.0009992
Ejecución 66;0.0019994
Ejecución 67;0.0010015
Ejecución 68;0.0023890
Ejecución 69;0.0010114
Ejecución 70;0.0019996
Ejecución 71;0.0019974
Ejecución 72;0.0010137
Ejecución 73;0.0019979
Ejecución 74;0.0010013
Ejecución 75;0.0012565
Ejecución 76;0.0019991
Ejecución 77;0.0010020
Ejecución 78;0.0019981
Ejecución 79;0.0010015
Ejecución 80;0.0013932
Ejecución 81;0.0010095
Ejecución 82;0.0009996
Ejecución 83;0.0019992
Ejecución 84;0.0010017
Ejecución 85;0.0019985
Ejecución 86;0.0010012
Ejecución 87;0.0014649
Ejecución 88;0.0010015
Ejecución 89;0.0019986
Ejecución 90;0.0010012
Ejecución 91;0.0009998
Ejecución 92;0.0019991
Ejecución 93;0.0012976
Ejecución 94;0.0019991
Ejecución 95;0.0010017
Ejecución 96;0.0019982
Ejecución 97;0.0010012
Ejecución 98;0.0010003
Ejecución 99;0.0013468
Ejecución 100;0.0009996
Ejecución 101;0.0010121
Ejecución 102;0.0019991
Ejecución 103;0.0010016
Ejecución 104;0.0019990
Ejecución 105;0.0020001
Ejecución 106;0.0010075
Ejecución 107;0.0019995
Ejecución 108;0.0010009
Ejecución 109;0.0019989
Ejecución 110;0.0010012
Ejecución 111;0.0013668
Ejecución 112;0.0010094
Ejecución 113;0.0009994
Ejecución 114;0.0019993
Ejecución 115;0.0010125
Ejecución 116;0.0019985
Ejecución 117;0.0010014
Ejecución 118;0.0013042
Ejecución 119;0.0010015
Ejecución 120;0.0019984
Ejecución 121;0.0010012
Ejecución 122;0.0010009
Ejecución 123;0.0010008
Ejecución 124;0.0028206
Ejecución 125;0.0010016
