Algoritmo;Heap_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.52473s
Tiempo promedio;0.00152473s
Tiempos individuales (s):
Ejecución 1;0.0023201
Ejecución 2;0.0009504
Ejecución 3;0.0009851
Ejecución 4;0.0019669
Ejecución 5;0.0009576
Ejecución 6;0.001229
Ejecución 7;0.0009981
Ejecución 8;0.0009997
Ejecución 9;0.0019843
Ejecución 10;0.0024326
Ejecución 11;0.0021173
Ejecución 12;0.0010906
Ejecución 13;0.0010046
Ejecución 14;0.002001
Ejecución 15;0.0019997
Ejecución 16;0.0017171
Ejecución 17;0.0010003
Ejecución 18;0.0020002
Ejecución 19;0.0009996
Ejecución 20;0.0020003
Ejecución 21;0.0015045
Ejecución 22;0.0013837
Ejecución 23;0.0009083
Ejecución 24;0.001995
Ejecución 25;0.0030018
Ejecución 26;0.0019961
Ejecución 27;0.0010008
Ejecución 28;0.0009996
Ejecución 29;0.0015024
Ejecución 30;0.0020033
Ejecución 31;0.0009999
Ejecución 32;0.002
Ejecución 33;0.002002
Ejecución 34;0.0009979
Ejecución 35;0.0009993
Ejecución 36;0.0019999
Ejecución 37;0.0010007
Ejecución 38;0.0009996
Ejecución 39;0.0019997
Ejecución 40;0.0010006
Ejecución 41;0.0010001
Ejecución 42;0.000999
Ejecución 43;0.0019992
Ejecución 44;0.0022188
Ejecución 45;0.0010931
Ejecución 46;0.0019993
Ejecución 47;0.0009517
Ejecución 48;0.001006
Ejecución 49;0.002204
Ejecución 50;0.0011024
Ejecución 51;0.0018989
Ejecución 52;0.0010693
Ejecución 53;0.0009911
Ejecución 54;0.0020365
Ejecución 55;0.000966
Ejecución 56;0.0010091
Ejecución 57;0.0029038
Ejecución 58;0.0010005
Ejecución 59;0.0019936
Ejecución 60;0.0020038
Ejecución 61;0.000996
Ejecución 62;0.0020001
Ejecución 63;0.0013389
Ejecución 64;0.0019134
Ejecución 65;0.0010419
Ejecución 66;0.0009956
Ejecución 67;0.0019952
Ejecución 68;0.0009136
Ejecución 69;0.0023514
Ejecución 70;0.0019148
Ejecución 71;0.0020129
Ejecución 72;0.0019987
Ejecución 73;0.0010028
Ejecución 74;0.0009988
Ejecución 75;0.0019994
Ejecución 76;0.0019996
Ejecución 77;0.0020005
Ejecución 78;0.0010021
Ejecución 79;0.0025285
Ejecución 80;0.0019898
Ejecución 81;0.0010117
Ejecución 82;0.0010015
Ejecución 83;0.0015131
Ejecución 84;0.0010152
Ejecución 85;0.0012377
Ejecución 86;0.0019995
Ejecución 87;0.0019991
Ejecución 88;0.0020017
Ejecución 89;0.0010004
Ejecución 90;0.0012562
Ejecución 91;0.0019997
Ejecución 92;0.0020004
Ejecución 93;0.0010014
Ejecución 94;0.0019908
Ejecución 95;0.001327
Ejecución 96;0.0010001
Ejecución 97;0.0009993
Ejecución 98;0.0019982
Ejecución 99;0.0010014
Ejecución 100;0.0013044
Ejecución 101;0.0010094
Ejecución 102;0.0009996
Ejecución 103;0.0019922
Ejecución 104;0.0020074
Ejecución 105;0.0019999
Ejecución 106;0.0013171
Ejecución 107;0.0020084
Ejecución 108;0.0010016
Ejecución 109;0.0015259
Ejecución 110;0.0010016
Ejecución 111;0.0009995
Ejecución 112;0.0019995
Ejecución 113;0.0013074
Ejecución 114;0.0019981
Ejecución 115;0.0020001
Ejecución 116;0.0010014
Ejecución 117;0.0009998
Ejecución 118;0.0022077
Ejecución 119;0.0010015
Ejecución 120;0.0009999
Ejecución 121;0.0020013
Ejecución 122;0.0019995
Ejecución 123;0.0019992
Ejecución 124;0.0012696
Ejecución 125;0.0019983
Ejecución 126;0.0020129
