Algoritmo;Heap_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6108s
Tiempo promedio;0.0016108s
Tiempos individuales (s):
Ejecución 1;0.0020737
Ejecución 2;0.0019154
Ejecución 3;0.0019975
Ejecución 4;0.0020004
Ejecución 5;0.0020376
Ejecución 6;0.0010736
Ejecución 7;0.0009979
Ejecución 8;0.001414
Ejecución 9;0.0019139
Ejecución 10;0.0010808
Ejecución 11;0.0020061
Ejecución 12;0.0019968
Ejecución 13;0.0013884
Ejecución 14;0.00201
Ejecución 15;0.0023447
Ejecución 16;0.0009754
Ejecución 17;0.0009804
Ejecución 18;0.0020056
Ejecución 19;0.0012675
Ejecución 20;0.0009928
Ejecución 21;0.0020027
Ejecución 22;0.0009989
Ejecución 23;0.0009592
Ejecución 24;0.0010438
Ejecución 25;0.002337
Ejecución 26;0.0009962
Ejecución 27;0.0020183
Ejecución 28;0.0018957
Ejecución 29;0.0020841
Ejecución 30;0.0014361
Ejecución 31;0.0020877
Ejecución 32;0.0019131
Ejecución 33;0.0010109
Ejecución 34;0.000971
Ejecución 35;0.0023407
Ejecución 36;0.0010991
Ejecución 37;0.0009844
Ejecución 38;0.0020034
Ejecución 39;0.0020028
Ejecución 40;0.0009963
Ejecución 41;0.0014581
Ejecución 42;0.0020117
Ejecución 43;0.0020814
Ejecución 44;0.0010011
Ejecución 45;0.0009918
Ejecución 46;0.0020076
Ejecución 47;0.0012267
Ejecución 48;0.0010062
Ejecución 49;0.0020016
Ejecución 50;0.0020106
Ejecución 51;0.0019007
Ejecución 52;0.0010792
Ejecución 53;0.0010064
Ejecución 54;0.0019853
Ejecución 55;0.0020097
Ejecución 56;0.0009929
Ejecución 57;0.0009847
Ejecución 58;0.0012971
Ejecución 59;0.0010094
Ejecución 60;0.0019032
Ejecución 61;0.0021212
Ejecución 62;0.0019168
Ejecución 63;0.0024571
Ejecución 64;0.0009953
Ejecución 65;0.002011
Ejecución 66;0.0019962
Ejecución 67;0.0016202
Ejecución 68;0.0019985
Ejecución 69;0.0022763
Ejecución 70;0.0010529
Ejecución 71;0.0010081
Ejecución 72;0.0019961
Ejecución 73;0.0020059
Ejecución 74;0.0009871
Ejecución 75;0.0010077
Ejecución 76;0.0020012
Ejecución 77;0.0009985
Ejecución 78;0.0019096
Ejecución 79;0.001096
Ejecución 80;0.0009985
Ejecución 81;0.0019995
Ejecución 82;0.0019974
Ejecución 83;0.0009977
Ejecución 84;0.0009988
Ejecución 85;0.0020071
Ejecución 86;0.0020075
Ejecución 87;0.0019862
Ejecución 88;0.0019963
Ejecución 89;0.0010076
Ejecución 90;0.0019948
Ejecución 91;0.0019995
Ejecución 92;0.0015402
Ejecución 93;0.0010927
Ejecución 94;0.00099
Ejecución 95;0.0020036
Ejecución 96;0.0019996
Ejecución 97;0.0015282
Ejecución 98;0.0020986
Ejecución 99;0.0010043
Ejecución 100;0.0009893
Ejecución 101;0.0020017
Ejecución 102;0.0010071
Ejecución 103;0.0019683
Ejecución 104;0.0020866
Ejecución 105;0.0020023
Ejecución 106;0.0010048
Ejecución 107;0.0020016
Ejecución 108;0.0020003
Ejecución 109;0.00152
Ejecución 110;0.0020274
Ejecución 111;0.0009714
Ejecución 112;0.0020079
Ejecución 113;0.0020056
Ejecución 114;0.0013954
Ejecución 115;0.0020893
Ejecución 116;0.0010226
Ejecución 117;0.0009982
Ejecución 118;0.0019927
Ejecución 119;0.0020033
Ejecución 120;0.0014546
Ejecución 121;0.0011061
Ejecución 122;0.0020132
Ejecución 123;0.0019994
Ejecución 124;0.0009878
Ejecución 125;0.001451
Ejecución 126;0.0009819
Ejecución 127;0.0019992
Ejecución 128;0.0011119
Ejecución 129;0.0019862
Ejecución 130;0.0020011
Ejecución 131;0.0009672
Ejecución 132;0.0023596
Ejecución 133;0.0019954
Ejecución 134;0.000998
Ejecución 135;0.0020085
Ejecución 136;0.0019861
Ejecución 137;0.0010907
Ejecución 138;0.0020076
Ejecución 139;0.0009951
Ejecución 140;0.0009938
Ejecución 141;0.001989
Ejecución 142;0.0013346
Ejecución 143;0.0010035
Ejecución 144;0.0019963
Ejecución 145;0.001
Ejecución 146;0.0010016
Ejecución 147;0.00199
Ejecución 148;0.0022617
Ejecución 149;0.0020018
Ejecución 150;0.0009835
Ejecución 151;0.0009798
Ejecución 152;0.0020037
Ejecución 153;0.0020367
Ejecución 154;0.0010942
Ejecución 155;0.0020101
Ejecución 156;0.0019957
Ejecución 157;0.0019916
Ejecución 158;0.0020041
Ejecución 159;0.0014571
Ejecución 160;0.0010975
Ejecución 161;0.0009908
Ejecución 162;0.0019971
Ejecución 163;0.001993
Ejecución 164;0.001017
Ejecución 165;0.0019964
Ejecución 166;0.0019934
Ejecución 167;0.0009947
Ejecución 168;0.0009973
Ejecución 169;0.0019988
Ejecución 170;0.0020074
Ejecución 171;0.0030194
Ejecución 172;0.0009837
Ejecución 173;0.0009812
Ejecución 174;0.0020049
Ejecución 175;0.0019962
Ejecución 176;0.001551
Ejecución 177;0.0019988
Ejecución 178;0.0010131
Ejecución 179;0.0015824
Ejecución 180;0.0010908
Ejecución 181;0.0015061
Ejecución 182;0.0011067
Ejecución 183;0.0009959
Ejecución 184;0.0020121
Ejecución 185;0.0020006
Ejecución 186;0.0009867
Ejecución 187;0.0015628
Ejecución 188;0.0009993
Ejecución 189;0.0009954
Ejecución 190;0.0010029
Ejecución 191;0.0019995
Ejecución 192;0.0013035
Ejecución 193;0.0009963
Ejecución 194;0.0020069
Ejecución 195;0.0020094
Ejecución 196;0.0020005
Ejecución 197;0.0009933
Ejecución 198;0.0015291
Ejecución 199;0.0019986
Ejecución 200;0.0009987
Ejecución 201;0.0009967
Ejecución 202;0.0019984
Ejecución 203;0.0014287
Ejecución 204;0.0020962
Ejecución 205;0.0020035
Ejecución 206;0.0016729
Ejecución 207;0.0020938
Ejecución 208;0.0019432
Ejecución 209;0.0014969
Ejecución 210;0.0020962
Ejecución 211;0.0019902
Ejecución 212;0.0009954
Ejecución 213;0.0010072
Ejecución 214;0.0009638
Ejecución 215;0.0015171
Ejecución 216;0.0020028
Ejecución 217;0.0019916
Ejecución 218;0.0010027
Ejecución 219;0.0014858
Ejecución 220;0.0010944
Ejecución 221;0.0009946
Ejecución 222;0.0009917
Ejecución 223;0.0020118
Ejecución 224;0.0019891
Ejecución 225;0.0013656
Ejecución 226;0.0020952
Ejecución 227;0.0019998
Ejecución 228;0.0019945
Ejecución 229;0.0009974
Ejecución 230;0.0014568
Ejecución 231;0.0020927
Ejecución 232;0.0009946
Ejecución 233;0.0009899
Ejecución 234;0.002024
Ejecución 235;0.0019753
Ejecución 236;0.0013705
Ejecución 237;0.0009982
Ejecución 238;0.001996
Ejecución 239;0.0015061
Ejecución 240;0.0020918
Ejecución 241;0.0020126
Ejecución 242;0.0010871
Ejecución 243;0.0020047
Ejecución 244;0.0019991
Ejecución 245;0.0020079
Ejecución 246;0.0019927
Ejecución 247;0.0015484
Ejecución 248;0.0019972
Ejecución 249;0.0020046
Ejecución 250;0.000999
Ejecución 251;0.0009934
Ejecución 252;0.0024889
Ejecución 253;0.0010998
Ejecución 254;0.0010034
Ejecución 255;0.0019863
Ejecución 256;0.0020002
Ejecución 257;0.0020055
Ejecución 258;0.0015755
Ejecución 259;0.0019819
Ejecución 260;0.0020051
Ejecución 261;0.0020021
Ejecución 262;0.0009983
Ejecución 263;0.0014929
Ejecución 264;0.0010943
Ejecución 265;0.0009852
Ejecución 266;0.0020056
Ejecución 267;0.0020014
Ejecución 268;0.0019925
Ejecución 269;0.0006012
Ejecución 270;0.0010092
Ejecución 271;0.0009823
Ejecución 272;0.0019996
Ejecución 273;0.002
Ejecución 274;0.0014095
Ejecución 275;0.0020948
Ejecución 276;0.000989
Ejecución 277;0.0019976
Ejecución 278;0.0019949
Ejecución 279;0.0024727
Ejecución 280;0.0009906
Ejecución 281;0.0009923
Ejecución 282;0.0010091
Ejecución 283;0.0009743
Ejecución 284;0.0014953
Ejecución 285;0.0010934
Ejecución 286;0.0009949
Ejecución 287;0.0019949
Ejecución 288;0.0019973
Ejecución 289;0.001716
Ejecución 290;0.0013568
Ejecución 291;0.0020919
Ejecución 292;0.0020078
Ejecución 293;0.0019926
Ejecución 294;0.001994
Ejecución 295;0.0014615
Ejecución 296;0.0020864
Ejecución 297;0.0020082
Ejecución 298;0.0019937
Ejecución 299;0.0010018
Ejecución 300;0.001
Ejecución 301;0.0014807
Ejecución 302;0.0009884
Ejecución 303;0.0009902
Ejecución 304;0.0020008
Ejecución 305;0.0020009
Ejecución 306;0.0013722
Ejecución 307;0.0009953
Ejecución 308;0.0020203
Ejecución 309;0.0019951
Ejecución 310;0.0019866
Ejecución 311;0.0019976
Ejecución 312;0.0016163
Ejecución 313;0.00202
Ejecución 314;0.0015925
Ejecución 315;0.0020959
Ejecución 316;0.0020066
Ejecución 317;0.0014051
Ejecución 318;0.0020869
Ejecución 319;0.0020132
Ejecución 320;0.0009863
Ejecución 321;0.0009946
Ejecución 322;0.0014814
Ejecución 323;0.0016536
Ejecución 324;0.0019956
Ejecución 325;0.0019994
Ejecución 326;0.0010215
Ejecución 327;0.0009776
Ejecución 328;0.0016136
Ejecución 329;0.0010147
Ejecución 330;0.0009896
Ejecución 331;0.0020002
Ejecución 332;0.0020063
Ejecución 333;0.0013869
Ejecución 334;0.0009986
Ejecución 335;0.0010139
Ejecución 336;0.0019981
Ejecución 337;0.001995
Ejecución 338;0.001409
Ejecución 339;0.002093
Ejecución 340;0.001516
Ejecución 341;0.0020922
Ejecución 342;0.0020013
Ejecución 343;0.0020002
Ejecución 344;0.0013842
Ejecución 345;0.0020955
Ejecución 346;0.0020028
Ejecución 347;0.0020158
Ejecución 348;0.0019824
Ejecución 349;0.0014471
Ejecución 350;0.002089
Ejecución 351;0.0020062
Ejecución 352;0.0020009
Ejecución 353;0.0009929
Ejecución 354;0.001428
Ejecución 355;0.0010992
Ejecución 356;0.0009881
Ejecución 357;0.0009913
Ejecución 358;0.0020203
Ejecución 359;0.0019877
Ejecución 360;0.0012742
Ejecución 361;0.0010057
Ejecución 362;0.0010066
Ejecución 363;0.0019906
Ejecución 364;0.0020076
Ejecución 365;0.001383
Ejecución 366;0.0009934
Ejecución 367;0.0019971
Ejecución 368;0.0020177
Ejecución 369;0.0021003
Ejecución 370;0.0020086
Ejecución 371;0.0016402
Ejecución 372;0.0019908
Ejecución 373;0.0009884
Ejecución 374;0.0026525
Ejecución 375;0.0009997
Ejecución 376;0.0014866
Ejecución 377;0.001704
Ejecución 378;0.0020018
Ejecución 379;0.0019997
Ejecución 380;0.0020054
Ejecución 381;0.001004
Ejecución 382;0.0016043
Ejecución 383;0.0019912
Ejecución 384;0.0009934
Ejecución 385;0.0009929
Ejecución 386;0.0009924
Ejecución 387;0.0023164
Ejecución 388;0.0020016
Ejecución 389;0.0009935
Ejecución 390;0.0010026
Ejecución 391;0.0010032
Ejecución 392;0.0025463
Ejecución 393;0.0009949
Ejecución 394;0.0009935
Ejecución 395;0.0019918
Ejecución 396;0.0020089
Ejecución 397;0.0020007
Ejecución 398;0.0010874
Ejecución 399;0.0016139
Ejecución 400;0.0010041
Ejecución 401;0.0019932
Ejecución 402;0.0019986
Ejecución 403;0.0014073
Ejecución 404;0.0020962
Ejecución 405;0.0019915
Ejecución 406;0.0020041
Ejecución 407;0.0019933
Ejecución 408;0.0014535
Ejecución 409;0.0021008
Ejecución 410;0.0019854
Ejecución 411;0.0020068
Ejecución 412;0.0020044
Ejecución 413;0.00099
Ejecución 414;0.0014454
Ejecución 415;0.0020029
