Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 1;0.0033699
Ejecución 2;0.0020006
Ejecución 3;0.0019046
Ejecución 4;0.0020001
Ejecución 5;0.0030043
Ejecución 6;0.0010178
Ejecución 7;0.0009903
Ejecución 8;0.0013543
Ejecución 9;0.0020863
Ejecución 10;0.0010015
Ejecución 11;0.0009936
Ejecución 12;0.0020311
Ejecución 13;0.0019789
Ejecución 14;0.0009620
Ejecución 15;0.0026061
Ejecución 16;0.0010006
Ejecución 17;0.0010022
Ejecución 18;0.0019892
Ejecución 19;0.0019997
Ejecución 20;0.0009672
Ejecución 21;0.0009934
Ejecución 22;0.0019951
Ejecución 23;0.0019321
Ejecución 24;0.0020746
Ejecución 25;0.0009941
Ejecución 26;0.0020018
Ejecución 27;0.0020220
Ejecución 28;0.0019876
Ejecución 29;0.0019082
Ejecución 30;0.0020932
Ejecución 31;0.0009604
Ejecución 32;0.0010021
Ejecución 33;0.0020004
Ejecución 34;0.0019989
Ejecución 35;0.0020091
Ejecución 36;0.0009959
Ejecución 37;0.0014940
Ejecución 38;0.0009941
Ejecución 39;0.0009997
Ejecución 40;0.0020036
Ejecución 41;0.0019958
Ejecución 42;0.0023340
Ejecución 43;0.0010100
Ejecución 44;0.0020112
Ejecución 45;0.0021037
Ejecución 46;0.0020052
Ejecución 47;0.0014918
Ejecución 48;0.0020874
Ejecución 49;0.0009985
Ejecución 50;0.0026934
Ejecución 51;0.0009990
Ejecución 52;0.0009782
Ejecución 53;0.0019871
Ejecución 54;0.0020871
Ejecución 55;0.0020000
Ejecución 56;0.0010127
Ejecución 57;0.0010055
Ejecución 58;0.0024329
Ejecución 59;0.0010938
Ejecución 60;0.0009995
Ejecución 61;0.0019987
Ejecución 62;0.0020092
Ejecución 63;0.0019996
Ejecución 64;0.0011032
Ejecución 65;0.0020041
Ejecución 66;0.0019844
Ejecución 67;0.0020000
