Algoritmo;Insertion_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;20.0606536s
Tiempo promedio;0.0200607s
Tiempos individuales (s):
Ejecución 1;0.0210902
Ejecución 2;0.0225230
Ejecución 3;0.0192008
Ejecución 4;0.0197560
Ejecución 5;0.0200401
Ejecución 6;0.0202759
Ejecución 7;0.0202743
Ejecución 8;0.0203827
Ejecución 9;0.0205320
Ejecución 10;0.0205250
Ejecución 11;0.0206801
Ejecución 12;0.0206919
Ejecución 13;0.0206798
Ejecución 14;0.0207966
Ejecución 15;0.0209206
Ejecución 16;0.0206678
Ejecución 17;0.0207959
Ejecución 18;0.0206890
Ejecución 19;0.0207657
Ejecución 20;0.0207972
Ejecución 21;0.0208164
Ejecución 22;0.0207135
Ejecución 23;0.0208160
Ejecución 24;0.0208056
Ejecución 25;0.0208304
Ejecución 26;0.0207991
Ejecución 27;0.0207451
Ejecución 28;0.0207570
Ejecución 29;0.0209467
Ejecución 30;0.0207958
Ejecución 31;0.0208853
Ejecución 32;0.0208065
Ejecución 33;0.0207682
Ejecución 34;0.0207877
Ejecución 35;0.0207837
Ejecución 36;0.0207672
Ejecución 37;0.0210924
Ejecución 38;0.0208800
Ejecución 39;0.0209030
Ejecución 40;0.0210183
Ejecución 41;0.0209113
Ejecución 42;0.0208961
Ejecución 43;0.0210164
Ejecución 44;0.0209260
Ejecución 45;0.0208617
Ejecución 46;0.0207980
Ejecución 47;0.0208385
Ejecución 48;0.0223014
Ejecución 49;0.0214998
Ejecución 50;0.0209951
Ejecución 51;0.0209507
Ejecución 52;0.0209080
Ejecución 53;0.0208618
Ejecución 54;0.0207700
Ejecución 55;0.0209535
Ejecución 56;0.0208202
Ejecución 57;0.0210470
Ejecución 58;0.0208053
Ejecución 59;0.0209610
Ejecución 60;0.0208419
Ejecución 61;0.0208881
Ejecución 62;0.0207980
Ejecución 63;0.0214908
Ejecución 64;0.0200282
Ejecución 65;0.0207472
Ejecución 66;0.0209203
Ejecución 67;0.0209661
Ejecución 68;0.0209607
Ejecución 69;0.0209231
Ejecución 70;0.0208917
Ejecución 71;0.0209452
Ejecución 72;0.0209337
Ejecución 73;0.0207809
Ejecución 74;0.0209266
Ejecución 75;0.0209396
Ejecución 76;0.0209565
Ejecución 77;0.0208084
Ejecución 78;0.0208642
Ejecución 79;0.0208445
Ejecución 80;0.0219946
Ejecución 81;0.0209199
Ejecución 82;0.0208806
Ejecución 83;0.0208633
Ejecución 84;0.0208983
Ejecución 85;0.0207859
Ejecución 86;0.0208638
Ejecución 87;0.0209462
Ejecución 88;0.0210025
Ejecución 89;0.0209557
Ejecución 90;0.0210005
Ejecución 91;0.0209359
Ejecución 92;0.0211175
Ejecución 93;0.0211327
Ejecución 94;0.0210474
Ejecución 95;0.0211803
Ejecución 96;0.0214273
Ejecución 97;0.0239072
Ejecución 98;0.0186891
Ejecución 99;0.0186139
Ejecución 100;0.0187140
Ejecución 101;0.0185633
Ejecución 102;0.0186291
Ejecución 103;0.0186482
Ejecución 104;0.0187483
Ejecución 105;0.0187785
Ejecución 106;0.0186140
Ejecución 107;0.0186746
Ejecución 108;0.0186553
Ejecución 109;0.0186329
Ejecución 110;0.0186203
Ejecución 111;0.0185905
Ejecución 112;0.0195674
Ejecución 113;0.0238173
Ejecución 114;0.0222681
Ejecución 115;0.0188400
Ejecución 116;0.0185927
Ejecución 117;0.0186311
Ejecución 118;0.0186654
Ejecución 119;0.0186144
Ejecución 120;0.0186399
Ejecución 121;0.0190884
Ejecución 122;0.0187427
Ejecución 123;0.0186301
Ejecución 124;0.0188571
Ejecución 125;0.0186308
Ejecución 126;0.0188357
Ejecución 127;0.0186023
Ejecución 128;0.0185794
Ejecución 129;0.0186204
Ejecución 130;0.0186513
Ejecución 131;0.0193622
Ejecución 132;0.0186102
Ejecución 133;0.0186613
Ejecución 134;0.0186185
Ejecución 135;0.0201400
Ejecución 136;0.0186641
Ejecución 137;0.0186500
Ejecución 138;0.0187076
Ejecución 139;0.0185719
Ejecución 140;0.0186041
Ejecución 141;0.0187709
Ejecución 142;0.0196386
Ejecución 143;0.0190482
Ejecución 144;0.0199729
Ejecución 145;0.0203197
Ejecución 146;0.0204269
Ejecución 147;0.0203941
Ejecución 148;0.0205053
Ejecución 149;0.0206851
Ejecución 150;0.0205398
Ejecución 151;0.0206617
Ejecución 152;0.0207029
Ejecución 153;0.0205998
Ejecución 154;0.0206743
Ejecución 155;0.0206827
Ejecución 156;0.0207581
Ejecución 157;0.0206568
Ejecución 158;0.0207776
Ejecución 159;0.0207544
Ejecución 160;0.0206911
Ejecución 161;0.0207551
Ejecución 162;0.0207508
Ejecución 163;0.0207425
Ejecución 164;0.0208676
Ejecución 165;0.0211901
Ejecución 166;0.0205624
Ejecución 167;0.0209277
Ejecución 168;0.0208125
Ejecución 169;0.0209554
Ejecución 170;0.0207295
Ejecución 171;0.0207283
Ejecución 172;0.0207116
Ejecución 173;0.0207686
Ejecución 174;0.0208247
Ejecución 175;0.0207622
Ejecución 176;0.0207746
Ejecución 177;0.0207862
Ejecución 178;0.0207173
Ejecución 179;0.0207419
Ejecución 180;0.0209078
Ejecución 181;0.0208191
Ejecución 182;0.0208666
Ejecución 183;0.0207016
Ejecución 184;0.0207562
Ejecución 185;0.0208928
Ejecución 186;0.0207898
Ejecución 187;0.0207062
Ejecución 188;0.0208545
Ejecución 189;0.0208402
Ejecución 190;0.0208053
Ejecución 191;0.0208087
Ejecución 192;0.0208819
Ejecución 193;0.0208233
Ejecución 194;0.0210725
Ejecución 195;0.0207941
Ejecución 196;0.0208177
Ejecución 197;0.0191259
Ejecución 198;0.0187386
Ejecución 199;0.0186455
Ejecución 200;0.0186706
Ejecución 201;0.0185971
Ejecución 202;0.0185959
Ejecución 203;0.0186193
Ejecución 204;0.0186606
Ejecución 205;0.0185794
Ejecución 206;0.0197202
Ejecución 207;0.0188277
Ejecución 208;0.0185845
Ejecución 209;0.0186306
Ejecución 210;0.0190830
Ejecución 211;0.0185793
Ejecución 212;0.0186103
Ejecución 213;0.0185796
Ejecución 214;0.0186920
Ejecución 215;0.0191737
Ejecución 216;0.0203115
Ejecución 217;0.0186628
Ejecución 218;0.0186176
Ejecución 219;0.0189302
Ejecución 220;0.0191491
Ejecución 221;0.0190299
Ejecución 222;0.0186439
Ejecución 223;0.0186846
Ejecución 224;0.0187989
Ejecución 225;0.0189327
Ejecución 226;0.0186983
Ejecución 227;0.0187102
Ejecución 228;0.0186684
Ejecución 229;0.0187504
Ejecución 230;0.0186828
Ejecución 231;0.0188375
Ejecución 232;0.0186378
Ejecución 233;0.0189106
Ejecución 234;0.0187433
Ejecución 235;0.0187526
Ejecución 236;0.0189502
Ejecución 237;0.0186277
Ejecución 238;0.0188459
Ejecución 239;0.0195712
Ejecución 240;0.0187018
Ejecución 241;0.0187583
Ejecución 242;0.0186742
Ejecución 243;0.0187639
Ejecución 244;0.0187786
Ejecución 245;0.0186949
Ejecución 246;0.0189663
Ejecución 247;0.0190498
Ejecución 248;0.0187512
Ejecución 249;0.0190113
Ejecución 250;0.0187278
Ejecución 251;0.0187337
Ejecución 252;0.0192347
Ejecución 253;0.0187812
Ejecución 254;0.0187067
Ejecución 255;0.0187662
Ejecución 256;0.0187266
Ejecución 257;0.0187207
Ejecución 258;0.0187523
Ejecución 259;0.0187443
Ejecución 260;0.0189108
Ejecución 261;0.0186705
Ejecución 262;0.0190713
Ejecución 263;0.0187202
Ejecución 264;0.0187043
Ejecución 265;0.0186781
Ejecución 266;0.0187991
Ejecución 267;0.0188225
Ejecución 268;0.0188347
Ejecución 269;0.0194825
Ejecución 270;0.0197229
Ejecución 271;0.0185999
Ejecución 272;0.0187427
Ejecución 273;0.0187456
Ejecución 274;0.0187891
Ejecución 275;0.0190364
Ejecución 276;0.0188259
Ejecución 277;0.0187687
Ejecución 278;0.0190164
Ejecución 279;0.0187479
Ejecución 280;0.0187256
Ejecución 281;0.0187301
Ejecución 282;0.0187752
Ejecución 283;0.0187714
Ejecución 284;0.0187744
Ejecución 285;0.0187486
Ejecución 286;0.0188758
Ejecución 287;0.0190527
Ejecución 288;0.0187196
Ejecución 289;0.0187541
Ejecución 290;0.0187901
Ejecución 291;0.0188045
Ejecución 292;0.0187270
Ejecución 293;0.0196265
Ejecución 294;0.0201728
Ejecución 295;0.0205100
Ejecución 296;0.0204153
Ejecución 297;0.0205557
Ejecución 298;0.0207547
Ejecución 299;0.0206837
Ejecución 300;0.0207270
Ejecución 301;0.0206990
Ejecución 302;0.0209107
Ejecución 303;0.0208817
Ejecución 304;0.0209143
Ejecución 305;0.0208912
Ejecución 306;0.0207546
Ejecución 307;0.0208301
Ejecución 308;0.0209029
Ejecución 309;0.0208419
Ejecución 310;0.0208753
Ejecución 311;0.0208660
Ejecución 312;0.0208218
Ejecución 313;0.0209253
Ejecución 314;0.0208208
Ejecución 315;0.0207817
Ejecución 316;0.0208508
Ejecución 317;0.0209922
Ejecución 318;0.0208071
Ejecución 319;0.0208768
Ejecución 320;0.0209463
Ejecución 321;0.0209527
Ejecución 322;0.0207889
Ejecución 323;0.0208529
Ejecución 324;0.0208295
Ejecución 325;0.0209698
Ejecución 326;0.0208360
Ejecución 327;0.0208750
Ejecución 328;0.0208664
Ejecución 329;0.0209239
Ejecución 330;0.0208588
Ejecución 331;0.0208286
Ejecución 332;0.0209178
Ejecución 333;0.0208506
Ejecución 334;0.0208551
Ejecución 335;0.0209363
Ejecución 336;0.0209534
Ejecución 337;0.0208670
Ejecución 338;0.0207648
Ejecución 339;0.0209827
Ejecución 340;0.0208113
Ejecución 341;0.0207756
Ejecución 342;0.0209397
Ejecución 343;0.0208308
Ejecución 344;0.0208279
Ejecución 345;0.0208757
Ejecución 346;0.0208576
Ejecución 347;0.0208480
Ejecución 348;0.0208097
Ejecución 349;0.0208996
Ejecución 350;0.0218339
Ejecución 351;0.0208234
Ejecución 352;0.0209240
Ejecución 353;0.0209300
Ejecución 354;0.0208323
Ejecución 355;0.0208711
Ejecución 356;0.0208220
Ejecución 357;0.0208812
Ejecución 358;0.0209352
Ejecución 359;0.0208502
Ejecución 360;0.0209280
Ejecución 361;0.0211184
Ejecución 362;0.0208163
Ejecución 363;0.0209074
Ejecución 364;0.0208415
Ejecución 365;0.0208793
Ejecución 366;0.0208864
Ejecución 367;0.0208737
Ejecución 368;0.0208727
Ejecución 369;0.0214846
Ejecución 370;0.0206308
Ejecución 371;0.0208417
Ejecución 372;0.0209067
Ejecución 373;0.0214167
Ejecución 374;0.0191585
Ejecución 375;0.0186754
Ejecución 376;0.0188111
Ejecución 377;0.0189657
Ejecución 378;0.0186804
Ejecución 379;0.0185717
Ejecución 380;0.0186935
Ejecución 381;0.0185924
Ejecución 382;0.0186078
Ejecución 383;0.0187144
Ejecución 384;0.0188055
Ejecución 385;0.0188983
Ejecución 386;0.0188739
Ejecución 387;0.0188075
Ejecución 388;0.0187850
Ejecución 389;0.0187801
Ejecución 390;0.0190918
Ejecución 391;0.0187372
Ejecución 392;0.0187819
Ejecución 393;0.0191706
Ejecución 394;0.0188233
Ejecución 395;0.0189200
Ejecución 396;0.0190500
Ejecución 397;0.0187890
Ejecución 398;0.0188389
Ejecución 399;0.0188024
Ejecución 400;0.0190251
Ejecución 401;0.0187975
Ejecución 402;0.0189456
Ejecución 403;0.0190465
Ejecución 404;0.0187952
Ejecución 405;0.0202898
Ejecución 406;0.0190053
Ejecución 407;0.0200066
Ejecución 408;0.0204393
Ejecución 409;0.0205020
Ejecución 410;0.0206343
Ejecución 411;0.0207321
Ejecución 412;0.0199865
