Algoritmo;Bucket_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.4963s
Tiempo promedio;0.0014963s
Tiempos individuales (s):
Ejecución 1;0.0014932
Ejecución 2;0.001832
Ejecución 3;0.0010666
Ejecución 4;0.001772
Ejecución 5;0.0010913
Ejecución 6;0.0010005
Ejecución 7;0.001006
Ejecución 8;0.0010107
Ejecución 9;0.0009877
Ejecución 10;0.0011284
Ejecución 11;0.0010002
Ejecución 12;0.001
Ejecución 13;0.0009997
Ejecución 14;0.0075454
Ejecución 15;0.0019986
Ejecución 16;0.0013566
Ejecución 17;0.0010397
Ejecución 18;0.001008
Ejecución 19;0.0010048
Ejecución 20;0.0009913
Ejecución 21;0.0080864
Ejecución 22;0.0010143
Ejecución 23;0.0009907
Ejecución 24;0.002011
Ejecución 25;0.0010474
Ejecución 26;0.000996
Ejecución 27;0.0010207
Ejecución 28;0.0005051
Ejecución 29;0.0010061
Ejecución 30;0.004766
Ejecución 31;0.0010083
Ejecución 32;0.0010081
Ejecución 33;0.0024977
Ejecución 34;0.0020104
Ejecución 35;0.0009948
Ejecución 36;0.001009
Ejecución 37;0.0010055
Ejecución 38;0.0020003
Ejecución 39;0.0014622
Ejecución 40;0.0011808
Ejecución 41;0.0013681
Ejecución 42;0.0010043
Ejecución 43;0.0009749
Ejecución 44;0.0053098
Ejecución 45;0.0020072
Ejecución 46;0.0020032
Ejecución 47;0.0010634
Ejecución 48;0.0042781
Ejecución 49;0.0010357
Ejecución 50;0.0009948
Ejecución 51;0.0009791
Ejecución 52;0.0010125
Ejecución 53;0.0010804
Ejecución 54;0.000917
Ejecución 55;0.0018168
Ejecución 56;0.0044006
Ejecución 57;0.001062
Ejecución 58;0.0009686
Ejecución 59;0.0019737
Ejecución 60;0.0009998
Ejecución 61;0.0010124
Ejecución 62;0.0019951
Ejecución 63;0.0006164
Ejecución 64;0.0012002
Ejecución 65;0.0009613
Ejecución 66;0.0009976
Ejecución 67;0.0010282
Ejecución 68;0.0055102
Ejecución 69;0.0010215
Ejecución 70;0.001001
Ejecución 71;0.0009998
Ejecución 72;0.0010072
Ejecución 73;0.0022775
Ejecución 74;0.0041502
Ejecución 75;0.0011026
Ejecución 76;0.0009972
Ejecución 77;0.0014418
Ejecución 78;0.0010122
Ejecución 79;0.0010867
Ejecución 80;0.0016381
Ejecución 81;0.0010687
Ejecución 82;0.0009375
Ejecución 83;0.001122
Ejecución 84;0.0009839
Ejecución 85;0.0063943
Ejecución 86;0.0010113
Ejecución 87;0.0009996
Ejecución 88;0.0010233
Ejecución 89;0.0010048
Ejecución 90;0.0008832
Ejecución 91;0.0009865
Ejecución 92;0.0010206
Ejecución 93;0.000973
Ejecución 94;0.0009617
Ejecución 95;0.0043735
Ejecución 96;0.0010047
Ejecución 97;0.0010888
Ejecución 98;0.0010084
Ejecución 99;0.0013884
Ejecución 100;0.0041641
Ejecución 101;0.0010169
Ejecución 102;0.0016061
Ejecución 103;0.0011036
Ejecución 104;0.0009493
Ejecución 105;0.00096
Ejecución 106;0.0020168
Ejecución 107;0.0010025
Ejecución 108;0.0019874
Ejecución 109;0.0037372
Ejecución 110;0.0010274
Ejecución 111;0.0011027
Ejecución 112;0.0009814
Ejecución 113;0.0010014
Ejecución 114;0.0020115
Ejecución 115;0.000995
Ejecución 116;0.0010091
Ejecución 117;0.0038002
Ejecución 118;0.0010145
Ejecución 119;0.001023
Ejecución 120;0.0010171
Ejecución 121;0.001061
Ejecución 122;0.0008989
Ejecución 123;0.0012739
Ejecución 124;0.0010558
Ejecución 125;0.0009697
Ejecución 126;0.0009421
