Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.95156s
Tiempo promedio;0.00195156s
Tiempos individuales (s):
Ejecución 1;0.0128219
Ejecución 2;0.0020068
Ejecución 3;0.0010039
Ejecución 4;0.0055538
Ejecución 5;0.0010382
Ejecución 6;0.0013841
Ejecución 7;0.0015368
Ejecución 8;0.0046827
Ejecución 9;0.001015
Ejecución 10;0.0009981
Ejecución 11;0.0042308
Ejecución 12;0.0009985
Ejecución 13;0.0010029
Ejecución 14;0.002689
Ejecución 15;0.0010115
Ejecución 16;0.001
Ejecución 17;0.0009992
Ejecución 18;0.0024667
Ejecución 19;0.0060872
Ejecución 20;0.0010023
Ejecución 21;0.0009996
Ejecución 22;0.0009989
Ejecución 23;0.0010002
Ejecución 24;0.0040554
Ejecución 25;0.0008642
Ejecución 26;0.0088657
Ejecución 27;0.0009983
Ejecución 28;0.0010002
Ejecución 29;0.0009998
Ejecución 30;0.0021777
Ejecución 31;0.001032
Ejecución 32;0.0009788
Ejecución 33;0.0009937
Ejecución 34;0.0010001
Ejecución 35;0.0039863
Ejecución 36;0.0010113
Ejecución 37;0.0009669
Ejecución 38;0.0005776
Ejecución 39;0.002458
Ejecución 40;0.0010074
Ejecución 41;0.0011601
Ejecución 42;0.0004947
Ejecución 43;0.0010011
Ejecución 44;0.0010021
Ejecución 45;0.0019964
Ejecución 46;0.0010329
Ejecución 47;0.0009765
Ejecución 48;0.0009997
Ejecución 49;0.0009975
Ejecución 50;0.0032188
Ejecución 51;0.0009931
Ejecución 52;0.001512
Ejecución 53;0.0077685
Ejecución 54;0.0010319
Ejecución 55;0.00101
Ejecución 56;0.0025133
Ejecución 57;0.0010325
Ejecución 58;0.0009986
Ejecución 59;0.0029469
Ejecución 60;0.0010102
Ejecución 61;0.0009937
Ejecución 62;0.0010015
Ejecución 63;0.0009789
Ejecución 64;0.0047009
Ejecución 65;0.0054211
Ejecución 66;0.0010068
Ejecución 67;0.0010267
Ejecución 68;0.0019921
