Algoritmo;Heap_Sort
Tamaño;5000000
Orden;asc
Repeticiones;100
Máquina;Lucas
Tiempo total;268.649s
Tiempo promedio;2.68649s
Tiempos individuales (s):
Ejecución 1;2.52673
Ejecución 2;2.58892
Ejecución 3;2.61787
Ejecución 4;2.67897
Ejecución 5;2.68405
Ejecución 6;2.69254
Ejecución 7;2.55003
Ejecución 8;2.58029
Ejecución 9;2.6095
Ejecución 10;2.66075
Ejecución 11;2.56823
Ejecución 12;2.65133
Ejecución 13;2.69985
Ejecución 14;2.67078
Ejecución 15;2.70706
Ejecución 16;2.69133
Ejecución 17;2.71095
Ejecución 18;2.5932
Ejecución 19;2.72625
Ejecución 20;2.60462
Ejecución 21;2.72795
Ejecución 22;2.57071
Ejecución 23;2.65102
Ejecución 24;2.74708
Ejecución 25;2.71811
Ejecución 26;2.65217
Ejecución 27;2.74616
Ejecución 28;2.80578
Ejecución 29;2.75257
Ejecución 30;2.78458
Ejecución 31;2.74708
Ejecución 32;2.77633
Ejecución 33;2.70083
Ejecución 34;2.77201
Ejecución 35;2.72622
Ejecución 36;2.74995
Ejecución 37;2.50388
Ejecución 38;2.72323
Ejecución 39;2.66218
Ejecución 40;2.73178
Ejecución 41;2.64344
Ejecución 42;2.64078
Ejecución 43;2.73653
Ejecución 44;2.68063
Ejecución 45;2.54811
Ejecución 46;2.70614
Ejecución 47;2.74665
Ejecución 48;2.73476
Ejecución 49;2.7253
Ejecución 50;2.72577
Ejecución 51;2.66764
Ejecución 52;2.66254
Ejecución 53;2.72157
Ejecución 54;2.53838
Ejecución 55;2.81275
Ejecución 56;2.7549
Ejecución 57;2.81146
Ejecución 58;2.73705
Ejecución 59;2.74177
Ejecución 60;2.72699
Ejecución 61;2.71767
Ejecución 62;2.60289
Ejecución 63;2.63485
Ejecución 64;2.70268
Ejecución 65;2.63897
Ejecución 66;2.62474
Ejecución 67;2.66086
Ejecución 68;2.70226
Ejecución 69;2.7094
Ejecución 70;2.74258
Ejecución 71;2.70881
Ejecución 72;2.64708
Ejecución 73;2.67088
Ejecución 74;2.56034
Ejecución 75;2.63657
Ejecución 76;2.74053
Ejecución 77;2.68627
Ejecución 78;2.70322
Ejecución 79;2.62285
Ejecución 80;2.72627
Ejecución 81;2.73786
Ejecución 82;2.66223
Ejecución 83;2.72066
Ejecución 84;2.73367
Ejecución 85;2.62205
Ejecución 86;2.69681
Ejecución 87;2.70886
Ejecución 88;2.63991
Ejecución 89;2.78488
Ejecución 90;2.64812
Ejecución 91;2.81688
Ejecución 92;2.70352
Ejecución 93;2.70529
Ejecución 94;2.74228
Ejecución 95;2.61444
Ejecución 96;2.81645
Ejecución 97;2.77411
Ejecución 98;2.71064
Ejecución 99;2.6124
Ejecución 100;2.63252
