Algoritmo;Heap_Sort
Tamaño;5000000
Orden;desc
Repeticiones;100
Máquina;Lucas
Tiempo total;404.942s
Tiempo promedio;4.04942s
Tiempos individuales (s):
Ejecución 1;3.75711
Ejecución 2;4.04834
Ejecución 3;4.05139
Ejecución 4;4.10107
Ejecución 5;4.01558
Ejecución 6;4.03043
Ejecución 7;4.05759
Ejecución 8;4.04131
Ejecución 9;4.00192
Ejecución 10;4.00056
Ejecución 11;4.02784
Ejecución 12;4.08488
Ejecución 13;4.02833
Ejecución 14;4.1679
Ejecución 15;3.87595
Ejecución 16;3.93607
Ejecución 17;4.14416
Ejecución 18;4.05737
Ejecución 19;4.05584
Ejecución 20;4.06966
Ejecución 21;4.04302
Ejecución 22;4.12562
Ejecución 23;3.97862
Ejecución 24;4.05129
Ejecución 25;3.86042
Ejecución 26;3.85206
Ejecución 27;3.88898
Ejecución 28;4.01169
Ejecución 29;4.04338
Ejecución 30;4.20123
Ejecución 31;4.00689
Ejecución 32;4.09237
Ejecución 33;4.07268
Ejecución 34;3.89831
Ejecución 35;4.07973
Ejecución 36;3.97929
Ejecución 37;3.96863
Ejecución 38;3.97555
Ejecución 39;4.07878
Ejecución 40;4.00174
Ejecución 41;4.01725
Ejecución 42;4.1958
Ejecución 43;4.07948
Ejecución 44;3.81448
Ejecución 45;4.04259
Ejecución 46;4.03429
Ejecución 47;3.85277
Ejecución 48;3.97132
Ejecución 49;4.16967
Ejecución 50;4.09339
Ejecución 51;4.13476
Ejecución 52;4.09046
Ejecución 53;4.19425
Ejecución 54;3.94716
Ejecución 55;3.9952
Ejecución 56;4.11555
Ejecución 57;4.05231
Ejecución 58;4.20793
Ejecución 59;4.05878
Ejecución 60;4.13381
Ejecución 61;4.10302
Ejecución 62;4.11381
Ejecución 63;4.03165
Ejecución 64;4.43663
Ejecución 65;4.21922
Ejecución 66;4.30649
Ejecución 67;4.12598
Ejecución 68;4.10038
Ejecución 69;3.99655
Ejecución 70;4.09256
Ejecución 71;4.09641
Ejecución 72;4.06179
Ejecución 73;4.09287
Ejecución 74;4.06421
Ejecución 75;4.16074
Ejecución 76;4.03668
Ejecución 77;4.0986
Ejecución 78;4.06763
Ejecución 79;4.08499
Ejecución 80;3.89994
Ejecución 81;3.89651
Ejecución 82;3.82449
Ejecución 83;3.94745
Ejecución 84;4.07303
Ejecución 85;4.11422
Ejecución 86;3.98204
Ejecución 87;4.11792
Ejecución 88;3.85832
Ejecución 89;3.96311
Ejecución 90;3.82044
Ejecución 91;4.12644
Ejecución 92;4.02495
Ejecución 93;4.23296
Ejecución 94;4.15323
Ejecución 95;3.99548
Ejecución 96;4.09621
Ejecución 97;4.09059
Ejecución 98;4.19675
Ejecución 99;4.18902
Ejecución 100;4.08432
