Algoritmo;Heap_Sort
Tamaño;5000000
Orden;shuffled
Repeticiones;100
Máquina;Lucas
Tiempo total;334.901s
Tiempo promedio;3.34901s
Tiempos individuales (s):
Ejecución 1;3.14273
Ejecución 2;3.29396
Ejecución 3;3.28405
Ejecución 4;3.22924
Ejecución 5;3.31184
Ejecución 6;3.41457
Ejecución 7;3.33167
Ejecución 8;3.22609
Ejecución 9;3.45432
Ejecución 10;3.36584
Ejecución 11;3.36591
Ejecución 12;3.45235
Ejecución 13;3.45272
Ejecución 14;3.34878
Ejecución 15;3.30086
Ejecución 16;3.22678
Ejecución 17;3.41425
Ejecución 18;3.15736
Ejecución 19;3.40136
Ejecución 20;3.30728
Ejecución 21;3.40522
Ejecución 22;3.36731
Ejecución 23;3.25356
Ejecución 24;3.34769
Ejecución 25;3.20112
Ejecución 26;3.29634
Ejecución 27;3.32603
Ejecución 28;3.26693
Ejecución 29;3.34865
Ejecución 30;3.48284
Ejecución 31;3.21808
Ejecución 32;3.45013
Ejecución 33;3.27275
Ejecución 34;3.41623
Ejecución 35;3.22724
Ejecución 36;3.25916
Ejecución 37;3.38354
Ejecución 38;3.35335
Ejecución 39;3.33487
Ejecución 40;3.34178
Ejecución 41;3.28829
Ejecución 42;3.33878
Ejecución 43;3.4827
Ejecución 44;3.47802
Ejecución 45;3.50254
Ejecución 46;3.36475
Ejecución 47;3.39023
Ejecución 48;3.20954
Ejecución 49;3.23803
Ejecución 50;3.38376
Ejecución 51;3.33078
Ejecución 52;3.39318
Ejecución 53;3.36024
Ejecución 54;3.24362
Ejecución 55;3.34159
Ejecución 56;3.44664
Ejecución 57;3.44436
Ejecución 58;3.53165
Ejecución 59;3.31241
Ejecución 60;3.40756
Ejecución 61;3.1459
Ejecución 62;3.3329
Ejecución 63;3.38083
Ejecución 64;3.41391
Ejecución 65;3.24032
Ejecución 66;3.34174
Ejecución 67;3.42213
Ejecución 68;3.44605
Ejecución 69;3.36664
Ejecución 70;3.39033
Ejecución 71;3.26552
Ejecución 72;3.45369
Ejecución 73;3.45174
Ejecución 74;3.39576
Ejecución 75;3.4501
Ejecución 76;3.31038
Ejecución 77;3.41975
Ejecución 78;3.35286
Ejecución 79;3.39323
Ejecución 80;3.25861
Ejecución 81;3.44729
Ejecución 82;3.23913
Ejecución 83;3.36857
Ejecución 84;3.37307
Ejecución 85;3.41749
Ejecución 86;3.22359
Ejecución 87;3.5123
Ejecución 88;3.3024
Ejecución 89;3.14886
Ejecución 90;3.39226
Ejecución 91;3.54397
Ejecución 92;3.44222
Ejecución 93;3.49842
Ejecución 94;3.3017
Ejecución 95;3.28851
Ejecución 96;3.39274
Ejecución 97;3.27309
Ejecución 98;3.4049
Ejecución 99;3.30731
Ejecución 100;3.26748
