Algoritmo;Insertion_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;12.8049991s
Tiempo promedio;0.0128050s
Tiempos individuales (s):
Ejecución 1;0.0213340
Ejecución 2;0.0144116
Ejecución 3;0.0126881
Ejecución 4;0.0133602
Ejecución 5;0.0135398
Ejecución 6;0.0134325
Ejecución 7;0.0132588
Ejecución 8;0.0133020
Ejecución 9;0.0134116
Ejecución 10;0.0132462
Ejecución 11;0.0143427
Ejecución 12;0.0146534
Ejecución 13;0.0133703
Ejecución 14;0.0135855
Ejecución 15;0.0160180
Ejecución 16;0.0122115
Ejecución 17;0.0123043
Ejecución 18;0.0123216
Ejecución 19;0.0124367
Ejecución 20;0.0123221
Ejecución 21;0.0129441
Ejecución 22;0.0124428
Ejecución 23;0.0122912
Ejecución 24;0.0141874
Ejecución 25;0.0136957
Ejecución 26;0.0134254
Ejecución 27;0.0134655
Ejecución 28;0.0132825
Ejecución 29;0.0133095
Ejecución 30;0.0133067
Ejecución 31;0.0133650
Ejecución 32;0.0142668
Ejecución 33;0.0134087
Ejecución 34;0.0134237
Ejecución 35;0.0133663
Ejecución 36;0.0133299
Ejecución 37;0.0134519
Ejecución 38;0.0134493
Ejecución 39;0.0133828
Ejecución 40;0.0133889
Ejecución 41;0.0133841
Ejecución 42;0.0134061
Ejecución 43;0.0133303
Ejecución 44;0.0134570
Ejecución 45;0.0133783
Ejecución 46;0.0133840
Ejecución 47;0.0133792
Ejecución 48;0.0132987
Ejecución 49;0.0134369
Ejecución 50;0.0135163
Ejecución 51;0.0133509
Ejecución 52;0.0133671
Ejecución 53;0.0133458
Ejecución 54;0.0134752
Ejecución 55;0.0135057
Ejecución 56;0.0135018
Ejecución 57;0.0134410
Ejecución 58;0.0134737
Ejecución 59;0.0134317
Ejecución 60;0.0133913
Ejecución 61;0.0133994
Ejecución 62;0.0133562
Ejecución 63;0.0133601
Ejecución 64;0.0134054
Ejecución 65;0.0133701
Ejecución 66;0.0133400
Ejecución 67;0.0134004
Ejecución 68;0.0133715
Ejecución 69;0.0136622
Ejecución 70;0.0132672
Ejecución 71;0.0138034
Ejecución 72;0.0129119
Ejecución 73;0.0132988
Ejecución 74;0.0137052
Ejecución 75;0.0133887
Ejecución 76;0.0135236
Ejecución 77;0.0133436
Ejecución 78;0.0133637
Ejecución 79;0.0133200
Ejecución 80;0.0132622
Ejecución 81;0.0134182
Ejecución 82;0.0133171
Ejecución 83;0.0133507
Ejecución 84;0.0134339
Ejecución 85;0.0143159
Ejecución 86;0.0133785
Ejecución 87;0.0134032
Ejecución 88;0.0133680
Ejecución 89;0.0134027
Ejecución 90;0.0133343
Ejecución 91;0.0133429
Ejecución 92;0.0133430
Ejecución 93;0.0134285
Ejecución 94;0.0133395
Ejecución 95;0.0133233
Ejecución 96;0.0132823
Ejecución 97;0.0133665
Ejecución 98;0.0133373
Ejecución 99;0.0133875
Ejecución 100;0.0134447
Ejecución 101;0.0132902
Ejecución 102;0.0133858
Ejecución 103;0.0133269
Ejecución 104;0.0133217
Ejecución 105;0.0134275
Ejecución 106;0.0138087
Ejecución 107;0.0133215
Ejecución 108;0.0134444
Ejecución 109;0.0133180
Ejecución 110;0.0133109
Ejecución 111;0.0133686
Ejecución 112;0.0133767
Ejecución 113;0.0133125
Ejecución 114;0.0133515
Ejecución 115;0.0133094
Ejecución 116;0.0133699
Ejecución 117;0.0133168
Ejecución 118;0.0133495
Ejecución 119;0.0133773
Ejecución 120;0.0133352
Ejecución 121;0.0133099
Ejecución 122;0.0133785
Ejecución 123;0.0133190
Ejecución 124;0.0133107
Ejecución 125;0.0133543
