Algoritmo;Insertion_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.9540453s
Tiempo promedio;0.0169540s
Tiempos individuales (s):
Ejecución 1;0.0186354
Ejecución 2;0.0163525
Ejecución 3;0.0156540
Ejecución 4;0.0158121
Ejecución 5;0.0156242
Ejecución 6;0.0155690
Ejecución 7;0.0154873
Ejecución 8;0.0154880
Ejecución 9;0.0157156
Ejecución 10;0.0154682
Ejecución 11;0.0155005
Ejecución 12;0.0155097
Ejecución 13;0.0158678
Ejecución 14;0.0155621
Ejecución 15;0.0155835
Ejecución 16;0.0170505
Ejecución 17;0.0159106
Ejecución 18;0.0154533
Ejecución 19;0.0155845
Ejecución 20;0.0155174
Ejecución 21;0.0155707
Ejecución 22;0.0155055
Ejecución 23;0.0154846
Ejecución 24;0.0155312
Ejecución 25;0.0155327
Ejecución 26;0.0156015
Ejecución 27;0.0157529
Ejecución 28;0.0155199
Ejecución 29;0.0154892
Ejecución 30;0.0155413
Ejecución 31;0.0155950
Ejecución 32;0.0155802
Ejecución 33;0.0157674
Ejecución 34;0.0154791
Ejecución 35;0.0156665
Ejecución 36;0.0155140
Ejecución 37;0.0154675
Ejecución 38;0.0156325
Ejecución 39;0.0156887
Ejecución 40;0.0155167
Ejecución 41;0.0156118
Ejecución 42;0.0156038
Ejecución 43;0.0155203
Ejecución 44;0.0156158
Ejecución 45;0.0157097
Ejecución 46;0.0157114
Ejecución 47;0.0155382
Ejecución 48;0.0157328
Ejecución 49;0.0155694
Ejecución 50;0.0155749
Ejecución 51;0.0158220
Ejecución 52;0.0156975
Ejecución 53;0.0155711
Ejecución 54;0.0155839
Ejecución 55;0.0156844
Ejecución 56;0.0155611
Ejecución 57;0.0155783
Ejecución 58;0.0156044
Ejecución 59;0.0155953
Ejecución 60;0.0156600
Ejecución 61;0.0156091
Ejecución 62;0.0155840
Ejecución 63;0.0155678
Ejecución 64;0.0166331
Ejecución 65;0.0156567
Ejecución 66;0.0156684
Ejecución 67;0.0156948
