Algoritmo;Merge_Sort
Tamaño;5000000
Orden;asc
Repeticiones;100
Máquina;Lucas
Tiempo total;113.307s
Tiempo promedio;1.13307s
Tiempos individuales (s):
Ejecución 1;1.08947
Ejecución 2;1.10375
Ejecución 3;1.10576
Ejecución 4;1.09708
Ejecución 5;1.04147
Ejecución 6;1.0914
Ejecución 7;1.13268
Ejecución 8;1.14814
Ejecución 9;1.22188
Ejecución 10;1.17281
Ejecución 11;1.13161
Ejecución 12;1.10555
Ejecución 13;1.16375
Ejecución 14;1.08988
Ejecución 15;1.12724
Ejecución 16;1.14349
Ejecución 17;1.14654
Ejecución 18;1.1449
Ejecución 19;1.14717
Ejecución 20;1.12782
Ejecución 21;1.14462
Ejecución 22;1.14309
Ejecución 23;1.14408
Ejecución 24;1.07528
Ejecución 25;1.07852
Ejecución 26;1.10587
Ejecución 27;1.08078
Ejecución 28;1.07356
Ejecución 29;1.15408
Ejecución 30;1.1023
Ejecución 31;1.06821
Ejecución 32;1.19393
Ejecución 33;1.18383
Ejecución 34;1.18032
Ejecución 35;1.10767
Ejecución 36;1.1495
Ejecución 37;1.11001
Ejecución 38;1.18139
Ejecución 39;1.18227
Ejecución 40;1.18111
Ejecución 41;1.1779
Ejecución 42;1.17684
Ejecución 43;1.08287
Ejecución 44;1.08341
Ejecución 45;1.15965
Ejecución 46;1.12698
Ejecución 47;1.08889
Ejecución 48;1.08375
Ejecución 49;1.15387
Ejecución 50;1.15433
Ejecución 51;1.08706
Ejecución 52;1.0863
Ejecución 53;1.07774
Ejecución 54;1.09748
Ejecución 55;1.06788
Ejecución 56;1.17073
Ejecución 57;1.13596
Ejecución 58;1.15298
Ejecución 59;1.09973
Ejecución 60;1.11862
Ejecución 61;1.11593
Ejecución 62;1.16347
Ejecución 63;1.17229
Ejecución 64;1.14844
Ejecución 65;1.14885
Ejecución 66;1.1474
Ejecución 67;1.14788
Ejecución 68;1.14661
Ejecución 69;1.1508
Ejecución 70;1.08853
Ejecución 71;1.06708
Ejecución 72;1.11867
Ejecución 73;1.18286
Ejecución 74;1.14869
Ejecución 75;1.14935
Ejecución 76;1.14849
Ejecución 77;1.15117
Ejecución 78;1.14727
Ejecución 79;1.18256
Ejecución 80;1.15472
Ejecución 81;1.1798
Ejecución 82;1.15974
Ejecución 83;1.18417
Ejecución 84;1.15782
Ejecución 85;1.16842
Ejecución 86;1.25105
Ejecución 87;1.1405
Ejecución 88;1.17846
Ejecución 89;1.1854
Ejecución 90;1.08246
Ejecución 91;1.06313
Ejecución 92;1.07226
Ejecución 93;1.18266
Ejecución 94;1.11996
Ejecución 95;1.10016
Ejecución 96;1.1648
Ejecución 97;1.09658
Ejecución 98;1.15481
Ejecución 99;1.11453
Ejecución 100;1.11389
