Algoritmo;Merge_Sort
Tamaño;5000000
Orden;desc
Repeticiones;100
Máquina;Lucas
Tiempo total;110.893s
Tiempo promedio;1.10893s
Tiempos individuales (s):
Ejecución 1;1.09705
Ejecución 2;1.16881
Ejecución 3;1.27918
Ejecución 4;1.1553
Ejecución 5;1.24113
Ejecución 6;1.08726
Ejecución 7;1.07623
Ejecución 8;1.13484
Ejecución 9;1.13623
Ejecución 10;1.12743
Ejecución 11;1.07502
Ejecución 12;1.1313
Ejecución 13;1.12424
Ejecución 14;1.03112
Ejecución 15;1.07747
Ejecución 16;1.15993
Ejecución 17;1.15096
Ejecución 18;1.14648
Ejecución 19;1.09504
Ejecución 20;1.03437
Ejecución 21;1.04213
Ejecución 22;1.03943
Ejecución 23;1.11711
Ejecución 24;1.13205
Ejecución 25;1.16531
Ejecución 26;1.06254
Ejecución 27;1.12665
Ejecución 28;1.07692
Ejecución 29;1.13688
Ejecución 30;1.09973
Ejecución 31;1.0823
Ejecución 32;1.09491
Ejecución 33;1.16841
Ejecución 34;1.14375
Ejecución 35;1.08092
Ejecución 36;1.11082
Ejecución 37;1.10935
Ejecución 38;1.07083
Ejecución 39;1.04703
Ejecución 40;1.05016
Ejecución 41;1.04148
Ejecución 42;1.12374
Ejecución 43;1.05596
Ejecución 44;1.11312
Ejecución 45;1.15678
Ejecución 46;1.13567
Ejecución 47;1.12796
Ejecución 48;1.13179
Ejecución 49;1.12613
Ejecución 50;1.03299
Ejecución 51;1.12464
Ejecución 52;1.08072
Ejecución 53;1.12476
Ejecución 54;1.10756
Ejecución 55;1.16207
Ejecución 56;1.1627
Ejecución 57;1.04388
Ejecución 58;1.1035
Ejecución 59;1.0469
Ejecución 60;1.08912
Ejecución 61;1.14809
Ejecución 62;1.14028
Ejecución 63;1.12436
Ejecución 64;1.1397
Ejecución 65;1.04159
Ejecución 66;1.15398
Ejecución 67;1.03512
Ejecución 68;1.05225
Ejecución 69;1.11861
Ejecución 70;1.12809
Ejecución 71;1.14895
Ejecución 72;1.05037
Ejecución 73;1.14404
Ejecución 74;1.16423
Ejecución 75;1.04052
Ejecución 76;1.08252
Ejecución 77;1.09841
Ejecución 78;1.0817
Ejecución 79;1.05479
Ejecución 80;1.12003
Ejecución 81;1.13626
Ejecución 82;1.16196
Ejecución 83;1.1387
Ejecución 84;1.12813
Ejecución 85;1.05217
Ejecución 86;1.03818
Ejecución 87;1.08632
Ejecución 88;1.12656
Ejecución 89;1.10821
Ejecución 90;1.16885
Ejecución 91;1.07562
Ejecución 92;1.14495
Ejecución 93;1.09954
Ejecución 94;1.08023
Ejecución 95;1.12859
Ejecución 96;1.12261
Ejecución 97;1.06502
Ejecución 98;1.13
Ejecución 99;1.12103
Ejecución 100;1.13407
