Algoritmo;Merge_Sort
Tamaño;5000000
Orden;shuffled
Repeticiones;100
Máquina;Lucas
Tiempo total;165.121s
Tiempo promedio;1.65121s
Tiempos individuales (s):
Ejecución 1;1.65523
Ejecución 2;1.62303
Ejecución 3;1.68244
Ejecución 4;1.68635
Ejecución 5;1.57317
Ejecución 6;1.69811
Ejecución 7;1.70107
Ejecución 8;1.69705
Ejecución 9;1.70716
Ejecución 10;1.54477
Ejecución 11;1.62233
Ejecución 12;1.71471
Ejecución 13;1.68876
Ejecución 14;1.56471
Ejecución 15;1.58336
Ejecución 16;1.70469
Ejecución 17;1.67318
Ejecución 18;1.70344
Ejecución 19;1.54531
Ejecución 20;1.55915
Ejecución 21;1.55166
Ejecución 22;1.6811
Ejecución 23;1.67597
Ejecución 24;1.6784
Ejecución 25;1.68257
Ejecución 26;1.65868
Ejecución 27;1.55513
Ejecución 28;1.68068
Ejecución 29;1.64552
Ejecución 30;1.67947
Ejecución 31;1.67774
Ejecución 32;1.62172
Ejecución 33;1.72097
Ejecución 34;1.71362
Ejecución 35;1.59387
Ejecución 36;1.68291
Ejecución 37;1.58698
Ejecución 38;1.6819
Ejecución 39;1.69323
Ejecución 40;1.64583
Ejecución 41;1.67808
Ejecución 42;1.65871
Ejecución 43;1.54885
Ejecución 44;1.55689
Ejecución 45;1.69042
Ejecución 46;1.59826
Ejecución 47;1.6393
Ejecución 48;1.6838
Ejecución 49;1.70061
Ejecución 50;1.719
Ejecución 51;1.66248
Ejecución 52;1.60762
Ejecución 53;1.63127
Ejecución 54;1.59033
Ejecución 55;1.55427
Ejecución 56;1.68297
Ejecución 57;1.68709
Ejecución 58;1.66851
Ejecución 59;1.68374
Ejecución 60;1.69723
Ejecución 61;1.68431
Ejecución 62;1.69958
Ejecución 63;1.64236
Ejecución 64;1.71228
Ejecución 65;1.71613
Ejecución 66;1.70278
Ejecución 67;1.58893
Ejecución 68;1.57916
Ejecución 69;1.62771
Ejecución 70;1.54538
Ejecución 71;1.60233
Ejecución 72;1.57203
Ejecución 73;1.72311
Ejecución 74;1.60638
Ejecución 75;1.60407
Ejecución 76;1.72258
Ejecución 77;1.72234
Ejecución 78;1.68131
Ejecución 79;1.57555
Ejecución 80;1.6306
Ejecución 81;1.66438
Ejecución 82;1.69325
Ejecución 83;1.57604
Ejecución 84;1.65513
Ejecución 85;1.68622
Ejecución 86;1.61276
Ejecución 87;1.66671
Ejecución 88;1.71661
Ejecución 89;1.69846
Ejecución 90;1.6067
Ejecución 91;1.70977
Ejecución 92;1.71653
Ejecución 93;1.66301
Ejecución 94;1.64155
Ejecución 95;1.6918
Ejecución 96;1.63733
Ejecución 97;1.63424
Ejecución 98;1.59027
Ejecución 99;1.66697
Ejecución 100;1.67852
