Algoritmo;Quick_Sort
Tamaño;500000
Orden;shuffled
Repeticiones;100
Máquina;Lucas
Tiempo total;81.7313s
Tiempo promedio;0.817313s
Tiempos individuales (s):
Ejecución 1;0.822652
Ejecución 2;0.802824
Ejecución 3;0.802427
Ejecución 4;0.770932
Ejecución 5;0.748943
Ejecución 6;0.799869
Ejecución 7;0.811
Ejecución 8;0.784698
Ejecución 9;0.808718
Ejecución 10;0.821795
Ejecución 11;0.926087
Ejecución 12;0.863888
Ejecución 13;0.819968
Ejecución 14;0.821231
Ejecución 15;0.850156
Ejecución 16;0.789185
Ejecución 17;0.818775
Ejecución 18;0.819278
Ejecución 19;0.78433
Ejecución 20;0.823822
Ejecución 21;0.814441
Ejecución 22;0.792028
Ejecución 23;0.762373
Ejecución 24;0.81708
Ejecución 25;0.841165
Ejecución 26;0.798095
Ejecución 27;0.834193
Ejecución 28;0.851674
Ejecución 29;0.793865
Ejecución 30;0.806881
Ejecución 31;0.842371
Ejecución 32;0.825973
Ejecución 33;0.824699
Ejecución 34;0.835394
Ejecución 35;0.825685
Ejecución 36;0.811596
Ejecución 37;0.825927
Ejecución 38;0.825848
Ejecución 39;0.826624
Ejecución 40;0.825901
Ejecución 41;0.825507
Ejecución 42;0.819699
Ejecución 43;0.825852
Ejecución 44;0.862289
Ejecución 45;0.832225
Ejecución 46;0.82568
Ejecución 47;0.831199
Ejecución 48;0.84851
Ejecución 49;0.790464
Ejecución 50;0.794744
Ejecución 51;0.832594
Ejecución 52;0.841469
Ejecución 53;0.826453
Ejecución 54;0.778512
Ejecución 55;0.774575
Ejecución 56;0.80199
Ejecución 57;0.836217
Ejecución 58;0.811405
Ejecución 59;0.786385
Ejecución 60;0.831115
Ejecución 61;0.827415
Ejecución 62;0.758864
Ejecución 63;0.853499
Ejecución 64;0.824177
Ejecución 65;0.848045
Ejecución 66;0.85049
Ejecución 67;0.843015
Ejecución 68;0.828011
Ejecución 69;0.82965
Ejecución 70;0.82398
Ejecución 71;0.803701
Ejecución 72;0.759446
Ejecución 73;0.791198
Ejecución 74;0.863375
Ejecución 75;0.855085
Ejecución 76;0.849865
Ejecución 77;0.840421
Ejecución 78;0.854166
Ejecución 79;0.756785
Ejecución 80;0.847738
Ejecución 81;0.850819
Ejecución 82;0.840904
Ejecución 83;0.819082
Ejecución 84;0.791892
Ejecución 85;0.772603
Ejecución 86;0.770274
Ejecución 87;0.840477
Ejecución 88;0.818214
Ejecución 89;0.826647
Ejecución 90;0.831969
Ejecución 91;0.77853
Ejecución 92;0.755791
Ejecución 93;0.810079
Ejecución 94;0.787252
Ejecución 95;0.841529
Ejecución 96;0.843554
Ejecución 97;0.828131
Ejecución 98;0.815692
Ejecución 99;0.755661
Ejecución 100;0.794028
