Algoritmo;Quick_Sort
Tamaño;50000
Orden;asc
Repeticiones;100
Máquina;Lucas
Tiempo total;168.626s
Tiempo promedio;1.68626s
Tiempos individuales (s):
Ejecución 1;1.67798
Ejecución 2;1.59781
Ejecución 3;1.67589
Ejecución 4;1.69824
Ejecución 5;1.68707
Ejecución 6;1.54655
Ejecución 7;1.70101
Ejecución 8;1.69499
Ejecución 9;1.66303
Ejecución 10;1.59543
Ejecución 11;1.59128
Ejecución 12;1.65031
Ejecución 13;1.75782
Ejecución 14;1.74926
Ejecución 15;1.75772
Ejecución 16;1.70374
Ejecución 17;1.66719
Ejecución 18;1.69223
Ejecución 19;1.7483
Ejecución 20;1.72603
Ejecución 21;1.62884
Ejecución 22;1.58927
Ejecución 23;1.61887
Ejecución 24;1.76677
Ejecución 25;1.7698
Ejecución 26;1.65599
Ejecución 27;1.68701
Ejecución 28;1.76761
Ejecución 29;1.77179
Ejecución 30;1.7738
Ejecución 31;1.7502
Ejecución 32;1.5711
Ejecución 33;1.63326
Ejecución 34;1.71315
Ejecución 35;1.75866
Ejecución 36;1.71035
Ejecución 37;1.75147
Ejecución 38;1.61451
Ejecución 39;1.59105
Ejecución 40;1.56586
Ejecución 41;1.6026
Ejecución 42;1.58881
Ejecución 43;1.72519
Ejecución 44;1.6166
Ejecución 45;1.70069
Ejecución 46;1.63671
Ejecución 47;1.78231
Ejecución 48;1.62808
Ejecución 49;1.58574
Ejecución 50;1.73913
Ejecución 51;1.6064
Ejecución 52;1.79252
Ejecución 53;1.65478
Ejecución 54;1.72901
Ejecución 55;1.65395
Ejecución 56;1.69222
Ejecución 57;1.78225
Ejecución 58;1.75781
Ejecución 59;1.69107
Ejecución 60;1.73893
Ejecución 61;1.76242
Ejecución 62;1.72956
Ejecución 63;1.72609
Ejecución 64;1.67529
Ejecución 65;1.62085
Ejecución 66;1.6941
Ejecución 67;1.67283
Ejecución 68;1.57964
Ejecución 69;1.57312
Ejecución 70;1.59676
Ejecución 71;1.6873
Ejecución 72;1.58966
Ejecución 73;1.67378
Ejecución 74;1.67802
Ejecución 75;1.71004
Ejecución 76;1.70827
Ejecución 77;1.62443
Ejecución 78;1.74167
Ejecución 79;1.7845
Ejecución 80;1.72593
Ejecución 81;1.74938
Ejecución 82;1.68699
Ejecución 83;1.62791
Ejecución 84;1.69969
Ejecución 85;1.75836
Ejecución 86;1.77665
Ejecución 87;1.76932
Ejecución 88;1.70844
Ejecución 89;1.73514
Ejecución 90;1.72709
Ejecución 91;1.71607
Ejecución 92;1.5942
Ejecución 93;1.75939
Ejecución 94;1.72431
Ejecución 95;1.66369
Ejecución 96;1.58224
Ejecución 97;1.6529
Ejecución 98;1.73206
Ejecución 99;1.68299
Ejecución 100;1.74926
