Algoritmo;Quick_Sort
Tamaño;50000
Orden;desc
Repeticiones;100
Máquina;Lucas
Tiempo total;19.2968s
Tiempo promedio;0.192968s
Tiempos individuales (s):
Ejecución 1;0.186881
Ejecución 2;0.187786
Ejecución 3;0.188841
Ejecución 4;0.1822
Ejecución 5;0.207369
Ejecución 6;0.198104
Ejecución 7;0.190072
Ejecución 8;0.190755
Ejecución 9;0.181974
Ejecución 10;0.191774
Ejecución 11;0.190741
Ejecución 12;0.198794
Ejecución 13;0.207203
Ejecución 14;0.201455
Ejecución 15;0.196921
Ejecución 16;0.195524
Ejecución 17;0.198969
Ejecución 18;0.191306
Ejecución 19;0.175166
Ejecución 20;0.182498
Ejecución 21;0.180154
Ejecución 22;0.175007
Ejecución 23;0.193219
Ejecución 24;0.192072
Ejecución 25;0.194804
Ejecución 26;0.173101
Ejecución 27;0.184954
Ejecución 28;0.181877
Ejecución 29;0.181484
Ejecución 30;0.184094
Ejecución 31;0.185255
Ejecución 32;0.17562
Ejecución 33;0.1894
Ejecución 34;0.196681
Ejecución 35;0.188651
Ejecución 36;0.188412
Ejecución 37;0.196729
Ejecución 38;0.205098
Ejecución 39;0.198768
Ejecución 40;0.186564
Ejecución 41;0.204275
Ejecución 42;0.197416
Ejecución 43;0.190108
Ejecución 44;0.196745
Ejecución 45;0.197911
Ejecución 46;0.196787
Ejecución 47;0.202822
Ejecución 48;0.19844
Ejecución 49;0.196719
Ejecución 50;0.199839
Ejecución 51;0.206521
Ejecución 52;0.190477
Ejecución 53;0.188548
Ejecución 54;0.206615
Ejecución 55;0.198388
Ejecución 56;0.206674
Ejecución 57;0.206993
Ejecución 58;0.197906
Ejecución 59;0.207864
Ejecución 60;0.190835
Ejecución 61;0.199285
Ejecución 62;0.191617
Ejecución 63;0.19867
Ejecución 64;0.207249
Ejecución 65;0.195913
Ejecución 66;0.198001
Ejecución 67;0.19702
Ejecución 68;0.200998
Ejecución 69;0.199559
Ejecución 70;0.20029
Ejecución 71;0.199113
Ejecución 72;0.198921
Ejecución 73;0.200188
Ejecución 74;0.212358
Ejecución 75;0.190254
Ejecución 76;0.198202
Ejecución 77;0.190918
Ejecución 78;0.190863
Ejecución 79;0.214252
Ejecución 80;0.190249
Ejecución 81;0.174797
Ejecución 82;0.172885
Ejecución 83;0.180122
Ejecución 84;0.174708
Ejecución 85;0.182559
Ejecución 86;0.175052
Ejecución 87;0.190762
Ejecución 88;0.198807
Ejecución 89;0.18389
Ejecución 90;0.171859
Ejecución 91;0.191572
Ejecución 92;0.184965
Ejecución 93;0.168581
Ejecución 94;0.195611
Ejecución 95;0.200603
Ejecución 96;0.20013
Ejecución 97;0.200496
Ejecución 98;0.200337
Ejecución 99;0.196465
Ejecución 100;0.200545
