Algoritmo;Radix_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.02335s
Tiempo promedio;0.00102335s
Tiempos individuales (s):
Ejecución 1;0.0007807
Ejecución 2;0.0007845
Ejecución 3;0.0003504
Ejecución 4;0.0010374
Ejecución 5;0.0010034
Ejecución 6;0.001005
Ejecución 7;0.0004535
Ejecución 8;0.00058
Ejecución 9;0.0009985
Ejecución 10;0.0005165
Ejecución 11;0.0010112
Ejecución 12;0.0009995
Ejecución 13;0.0010175
Ejecución 14;0.0010193
Ejecución 15;0.0007232
Ejecución 16;0.0009997
Ejecución 17;0.0009997
Ejecución 18;0.0009947
Ejecución 19;0.0003799
Ejecución 20;0.000935
Ejecución 21;0.0004648
Ejecución 22;0.0010009
Ejecución 23;0.0009992
Ejecución 24;0.0010028
Ejecución 25;0.0006373
Ejecución 26;0.0003931
Ejecución 27;0.0010003
Ejecución 28;0.0010067
Ejecución 29;0.0005049
Ejecución 30;0.0009877
Ejecución 31;0.0010151
Ejecución 32;0.001008
Ejecución 33;0.0003608
Ejecución 34;0.001
Ejecución 35;0.0009993
Ejecución 36;0.0006349
Ejecución 37;0.0004065
Ejecución 38;0.000439
Ejecución 39;0.0003479
Ejecución 40;0.0012508
Ejecución 41;0.0009995
Ejecución 42;0.0009023
Ejecución 43;0.0005046
Ejecución 44;0.0010004
Ejecución 45;0.0006313
Ejecución 46;0.0009994
Ejecución 47;0.0010072
Ejecución 48;0.0003486
Ejecución 49;0.0008002
Ejecución 50;0.0003989
Ejecución 51;0.0009993
Ejecución 52;0.0009935
Ejecución 53;0.0003825
Ejecución 54;0.0009959
Ejecución 55;0.0005144
Ejecución 56;0.0010024
Ejecución 57;0.0010069
Ejecución 58;0.0009996
Ejecución 59;0.0009926
Ejecución 60;0.0004372
Ejecución 61;0.0009931
Ejecución 62;0.0009142
Ejecución 63;0.0010001
Ejecución 64;0.0010005
Ejecución 65;0.0010046
Ejecución 66;0.0003979
Ejecución 67;0.000989
Ejecución 68;0.0009988
Ejecución 69;0.0009998
Ejecución 70;0.0010056
Ejecución 71;0.0003734
Ejecución 72;0.0009955
Ejecución 73;0.0003259
Ejecución 74;0.0010021
Ejecución 75;0.0009959
Ejecución 76;0.0003233
Ejecución 77;0.0010139
Ejecución 78;0.0003366
Ejecución 79;0.000466
Ejecución 80;0.0012527
Ejecución 81;0.0009996
Ejecución 82;0.0009787
Ejecución 83;0.0010066
Ejecución 84;0.0009993
Ejecución 85;0.0009995
Ejecución 86;0.0010003
Ejecución 87;0.0010002
Ejecución 88;0.000324
Ejecución 89;0.0004113
Ejecución 90;0.0009981
Ejecución 91;0.0010002
Ejecución 92;0.0005031
Ejecución 93;0.0009992
Ejecución 94;0.0004521
Ejecución 95;0.0010016
Ejecución 96;0.0005157
Ejecución 97;0.0009985
Ejecución 98;0.0003681
Ejecución 99;0.000998
Ejecución 100;0.0010009
Ejecución 101;0.0010054
Ejecución 102;0.0009999
Ejecución 103;0.0010012
Ejecución 104;0.0010051
Ejecución 105;0.0010105
Ejecución 106;0.001
Ejecución 107;0.001007
Ejecución 108;0.0010009
Ejecución 109;0.0010002
Ejecución 110;0.0006093
Ejecución 111;0.0005071
Ejecución 112;0.0010118
Ejecución 113;0.001001
Ejecución 114;0.0003406
Ejecución 115;0.0005166
Ejecución 116;0.0010018
Ejecución 117;0.000512
Ejecución 118;0.0010003
Ejecución 119;0.0010005
Ejecución 120;0.0010275
Ejecución 121;0.0009975
Ejecución 122;0.000765
Ejecución 123;0.0003919
Ejecución 124;0.0010008
Ejecución 125;0.0010001
Ejecución 126;0.0009973
