Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03063s
Tiempo promedio;0.00103063s
Tiempos individuales (s):
Ejecución 1;0.0007097
Ejecución 2;0.0009994
Ejecución 3;0.0003632
Ejecución 4;0.0009994
Ejecución 5;0.0010009
Ejecución 6;0.0004322
Ejecución 7;0.0009982
Ejecución 8;0.0012222
Ejecución 9;0.0009992
Ejecución 10;0.0009999
Ejecución 11;0.0011593
Ejecución 12;0.000509
Ejecución 13;0.0006409
Ejecución 14;0.0012769
Ejecución 15;0.0033191
Ejecución 16;0.0010069
Ejecución 17;0.0013083
Ejecución 18;0.0010075
Ejecución 19;0.0008484
Ejecución 20;0.001119
Ejecución 21;0.0009999
Ejecución 22;0.0008653
Ejecución 23;0.0010941
Ejecución 24;0.0005831
Ejecución 25;0.0006302
Ejecución 26;0.0010001
Ejecución 27;0.0006149
Ejecución 28;0.0009995
Ejecución 29;0.001
Ejecución 30;0.0005477
Ejecución 31;0.0009997
Ejecución 32;0.0005816
Ejecución 33;0.0063233
Ejecución 34;0.0009983
Ejecución 35;0.0004384
Ejecución 36;0.0014906
Ejecución 37;0.0009989
Ejecución 38;0.0010002
Ejecución 39;0.0009501
Ejecución 40;0.0052527
Ejecución 41;0.0010067
Ejecución 42;0.0003221
Ejecución 43;0.0010004
Ejecución 44;0.0010002
Ejecución 45;0.0009998
Ejecución 46;0.0005095
Ejecución 47;0.0009997
Ejecución 48;0.0007975
Ejecución 49;0.0009997
Ejecución 50;0.0009995
Ejecución 51;0.0009829
Ejecución 52;0.0010949
Ejecución 53;0.0012774
Ejecución 54;0.0010603
Ejecución 55;0.0009994
Ejecución 56;0.0004594
Ejecución 57;0.0010076
Ejecución 58;0.001305
Ejecución 59;0.0010062
Ejecución 60;0.0006255
Ejecución 61;0.0009993
Ejecución 62;0.0009949
Ejecución 63;0.0058805
Ejecución 64;0.0010182
Ejecución 65;0.0009784
Ejecución 66;0.0009997
Ejecución 67;0.0009078
Ejecución 68;0.0009923
Ejecución 69;0.0008261
Ejecución 70;0.000972
Ejecución 71;0.0012427
Ejecución 72;0.001001
Ejecución 73;0.0010006
Ejecución 74;0.0009984
Ejecución 75;0.0004424
Ejecución 76;0.0010058
Ejecución 77;0.0004272
Ejecución 78;0.0003738
Ejecución 79;0.0009955
Ejecución 80;0.0010001
Ejecución 81;0.00137
Ejecución 82;0.0010121
Ejecución 83;0.0009995
Ejecución 84;0.0009983
Ejecución 85;0.0003347
Ejecución 86;0.0010102
Ejecución 87;0.001101
Ejecución 88;0.0010028
Ejecución 89;0.0007389
Ejecución 90;0.0008488
Ejecución 91;0.000403
Ejecución 92;0.0012717
Ejecución 93;0.0010069
Ejecución 94;0.0015055
Ejecución 95;0.0010777
Ejecución 96;0.0010082
Ejecución 97;0.001038
Ejecución 98;0.0009994
Ejecución 99;0.0009414
Ejecución 100;0.0010001
Ejecución 101;0.0013617
Ejecución 102;0.0009995
Ejecución 103;0.0009936
Ejecución 104;0.000481
Ejecución 105;0.0012554
Ejecución 106;0.0010001
Ejecución 107;0.0011382
Ejecución 108;0.0003339
Ejecución 109;0.0010622
Ejecución 110;0.000995
Ejecución 111;0.000998
Ejecución 112;0.0010021
Ejecución 113;0.0003459
Ejecución 114;0.0010064
Ejecución 115;0.000368
Ejecución 116;0.001
Ejecución 117;0.0009987
Ejecución 118;0.0009243
Ejecución 119;0.0003127
Ejecución 120;0.0010101
Ejecución 121;0.0003311
Ejecución 122;0.0010031
Ejecución 123;0.0004219
Ejecución 124;0.0009976
Ejecución 125;0.0010004
Ejecución 126;0.0003384
Ejecución 127;0.0010919
Ejecución 128;0.0005284
Ejecución 129;0.0010001
Ejecución 130;0.0009995
Ejecución 131;0.0013561
Ejecución 132;0.001261
Ejecución 133;0.0009996
Ejecución 134;0.0009989
Ejecución 135;0.0010001
Ejecución 136;0.0009996
Ejecución 137;0.0010006
Ejecución 138;0.0006451
Ejecución 139;0.0003183
Ejecución 140;0.0039581
Ejecución 141;0.0009998
Ejecución 142;0.0004825
Ejecución 143;0.0009976
Ejecución 144;0.0010109
Ejecución 145;0.0035252
Ejecución 146;0.0007079
Ejecución 147;0.0009922
Ejecución 148;0.0003277
Ejecución 149;0.0009955
Ejecución 150;0.0010068
Ejecución 151;0.001006
Ejecución 152;0.0008371
Ejecución 153;0.0018892
Ejecución 154;0.00101
Ejecución 155;0.0004915
Ejecución 156;0.0013336
Ejecución 157;0.001
Ejecución 158;0.0010052
Ejecución 159;0.0010071
Ejecución 160;0.0021717
Ejecución 161;0.0010145
Ejecución 162;0.0010017
Ejecución 163;0.0013921
Ejecución 164;0.0009811
Ejecución 165;0.0013193
Ejecución 166;0.000993
Ejecución 167;0.0004403
Ejecución 168;0.0011505
Ejecución 169;0.0009999
Ejecución 170;0.0003394
Ejecución 171;0.0010809
Ejecución 172;0.0010001
Ejecución 173;0.001001
Ejecución 174;0.0004899
Ejecución 175;0.001044
Ejecución 176;0.001
Ejecución 177;0.0003027
Ejecución 178;0.0068148
Ejecución 179;0.0010001
Ejecución 180;0.0004037
Ejecución 181;0.0010119
Ejecución 182;0.0009995
Ejecución 183;0.0010004
Ejecución 184;0.0010002
Ejecución 185;0.0003946
Ejecución 186;0.000962
Ejecución 187;0.0009926
Ejecución 188;0.0009999
Ejecución 189;0.0003816
Ejecución 190;0.0010118
Ejecución 191;0.0010002
Ejecución 192;0.0005016
Ejecución 193;0.000368
Ejecución 194;0.001251
Ejecución 195;0.0010025
Ejecución 196;0.0010068
Ejecución 197;0.0009994
Ejecución 198;0.0009995
Ejecución 199;0.0004572
Ejecución 200;0.0010394
Ejecución 201;0.0005631
Ejecución 202;0.0054905
Ejecución 203;0.0009989
Ejecución 204;0.0007691
Ejecución 205;0.0010098
Ejecución 206;0.0009982
Ejecución 207;0.0010002
Ejecución 208;0.0011895
Ejecución 209;0.0005108
Ejecución 210;0.0010011
Ejecución 211;0.000776
Ejecución 212;0.0010074
Ejecución 213;0.0009946
Ejecución 214;0.001149
Ejecución 215;0.0009991
Ejecución 216;0.0010001
Ejecución 217;0.0010385
Ejecución 218;0.0009998
Ejecución 219;0.0009996
Ejecución 220;0.0010983
Ejecución 221;0.0010114
Ejecución 222;0.0005144
Ejecución 223;0.0009999
Ejecución 224;0.0009995
Ejecución 225;0.0005303
Ejecución 226;0.0010001
Ejecución 227;0.0005675
Ejecución 228;0.0012205
Ejecución 229;0.0010002
Ejecución 230;0.0009999
Ejecución 231;0.0010012
Ejecución 232;0.0003345
Ejecución 233;0.0009984
Ejecución 234;0.0009996
Ejecución 235;0.0009985
Ejecución 236;0.0003772
Ejecución 237;0.0011491
Ejecución 238;0.0010012
Ejecución 239;0.002143
Ejecución 240;0.0020062
Ejecución 241;0.0010073
Ejecución 242;0.0025926
Ejecución 243;0.0010878
Ejecución 244;0.0010484
Ejecución 245;0.0006312
Ejecución 246;0.0010172
Ejecución 247;0.001011
Ejecución 248;0.0009997
Ejecución 249;0.0010455
Ejecución 250;0.000484
Ejecución 251;0.0009998
Ejecución 252;0.0010094
Ejecución 253;0.0010007
Ejecución 254;0.0010704
Ejecución 255;0.0010702
Ejecución 256;0.0009997
Ejecución 257;0.0009995
Ejecución 258;0.0004814
Ejecución 259;0.0005878
Ejecución 260;0.0010039
Ejecución 261;0.0010056
Ejecución 262;0.0010009
Ejecución 263;0.0009998
Ejecución 264;0.0010456
Ejecución 265;0.0009915
Ejecución 266;0.0010059
Ejecución 267;0.0049557
Ejecución 268;0.0009999
Ejecución 269;0.0009995
Ejecución 270;0.0009993
Ejecución 271;0.0005487
Ejecución 272;0.0029069
Ejecución 273;0.0012674
Ejecución 274;0.000512
Ejecución 275;0.0010126
Ejecución 276;0.0010066
Ejecución 277;0.0012829
Ejecución 278;0.0009995
Ejecución 279;0.0008893
Ejecución 280;0.0010754
Ejecución 281;0.0009995
Ejecución 282;0.0009983
Ejecución 283;0.0010068
Ejecución 284;0.0004673
Ejecución 285;0.0009985
Ejecución 286;0.0004843
Ejecución 287;0.0009991
Ejecución 288;0.0010001
Ejecución 289;0.0010842
Ejecución 290;0.0009994
Ejecución 291;0.0005335
Ejecución 292;0.0010096
Ejecución 293;0.001
Ejecución 294;0.001005
Ejecución 295;0.0003279
Ejecución 296;0.0012581
Ejecución 297;0.0049757
Ejecución 298;0.0010232
Ejecución 299;0.0009984
Ejecución 300;0.0014032
Ejecución 301;0.0005128
Ejecución 302;0.000374
Ejecución 303;0.0010006
Ejecución 304;0.0009931
Ejecución 305;0.0013194
Ejecución 306;0.001003
Ejecución 307;0.0003896
Ejecución 308;0.0009958
Ejecución 309;0.0009982
Ejecución 310;0.0010013
Ejecución 311;0.0003763
Ejecución 312;0.0009991
Ejecución 313;0.0009994
Ejecución 314;0.0010008
Ejecución 315;0.0003465
Ejecución 316;0.000994
Ejecución 317;0.0058178
Ejecución 318;0.0009995
Ejecución 319;0.0009996
Ejecución 320;0.0010059
Ejecución 321;0.0009996
Ejecución 322;0.0008897
Ejecución 323;0.0010105
Ejecución 324;0.0010007
Ejecución 325;0.0003304
Ejecución 326;0.0049918
Ejecución 327;0.0009993
Ejecución 328;0.001
Ejecución 329;0.0009971
Ejecución 330;0.0009997
Ejecución 331;0.0013149
Ejecución 332;0.0010061
Ejecución 333;0.0009999
Ejecución 334;0.0003122
Ejecución 335;0.001087
Ejecución 336;0.001
Ejecución 337;0.0009999
Ejecución 338;0.0009402
Ejecución 339;0.0010034
Ejecución 340;0.0010063
Ejecución 341;0.0010002
Ejecución 342;0.0010002
Ejecución 343;0.0009995
Ejecución 344;0.0009931
Ejecución 345;0.0010001
Ejecución 346;0.001
Ejecución 347;0.0009962
Ejecución 348;0.0010824
Ejecución 349;0.0009999
Ejecución 350;0.0009992
Ejecución 351;0.0009999
Ejecución 352;0.0013556
Ejecución 353;0.0009998
Ejecución 354;0.0018595
Ejecución 355;0.0010087
Ejecución 356;0.0009994
Ejecución 357;0.001
Ejecución 358;0.001245
Ejecución 359;0.0005336
Ejecución 360;0.0010001
Ejecución 361;0.000506
Ejecución 362;0.0009996
Ejecución 363;0.0009985
Ejecución 364;0.0009995
Ejecución 365;0.001
Ejecución 366;0.0003338
Ejecución 367;0.001085
Ejecución 368;0.0003091
Ejecución 369;0.0009993
Ejecución 370;0.0005145
Ejecución 371;0.0034719
Ejecución 372;0.0010073
Ejecución 373;0.0009991
Ejecución 374;0.000999
Ejecución 375;0.0009998
Ejecución 376;0.0012993
Ejecución 377;0.0010011
Ejecución 378;0.001005
Ejecución 379;0.0005658
Ejecución 380;0.001
Ejecución 381;0.0010027
Ejecución 382;0.0009995
Ejecución 383;0.001
Ejecución 384;0.0013929
Ejecución 385;0.0009989
Ejecución 386;0.001021
Ejecución 387;0.0009793
Ejecución 388;0.0003743
Ejecución 389;0.0011585
Ejecución 390;0.0010004
Ejecución 391;0.001247
Ejecución 392;0.0010071
Ejecución 393;0.0009995
Ejecución 394;0.001001
Ejecución 395;0.0041488
Ejecución 396;0.0009995
Ejecución 397;0.0010055
Ejecución 398;0.0003231
Ejecución 399;0.0010294
Ejecución 400;0.0010016
Ejecución 401;0.0009992
Ejecución 402;0.0010005
Ejecución 403;0.0009996
Ejecución 404;0.0010221
Ejecución 405;0.0009237
Ejecución 406;0.0009936
Ejecución 407;0.0009901
Ejecución 408;0.0009999
Ejecución 409;0.0009998
Ejecución 410;0.0010003
Ejecución 411;0.0004266
Ejecución 412;0.0009688
Ejecución 413;0.0010062
Ejecución 414;0.0010001
Ejecución 415;0.0009985
Ejecución 416;0.0003851
Ejecución 417;0.0011947
