Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 1;0.0008774
Ejecución 2;0.0005537
Ejecución 3;0.0011722
Ejecución 4;0.0009996
Ejecución 5;0.0010359
Ejecución 6;0.0010056
Ejecución 7;0.0010054
Ejecución 8;0.0010043
Ejecución 9;0.000997
Ejecución 10;0.0007956
Ejecución 11;0.0003636
Ejecución 12;0.0010132
Ejecución 13;0.0009901
Ejecución 14;0.0009998
Ejecución 15;0.001006
Ejecución 16;0.0006316
Ejecución 17;0.0009995
Ejecución 18;0.0005032
Ejecución 19;0.0012074
Ejecución 20;0.001
Ejecución 21;0.000691
Ejecución 22;0.0011504
Ejecución 23;0.0009943
Ejecución 24;0.000308
Ejecución 25;0.0053523
Ejecución 26;0.0020182
Ejecución 27;0.0008482
Ejecución 28;0.0009953
Ejecución 29;0.001507
Ejecución 30;0.0009181
Ejecución 31;0.0010132
Ejecución 32;0.0010172
Ejecución 33;0.0010104
Ejecución 34;0.0009988
Ejecución 35;0.0010001
Ejecución 36;0.0004843
Ejecución 37;0.0009999
Ejecución 38;0.001
Ejecución 39;0.0004746
Ejecución 40;0.0009999
Ejecución 41;0.0010059
Ejecución 42;0.001
Ejecución 43;0.0009998
Ejecución 44;0.0010001
Ejecución 45;0.0011015
Ejecución 46;0.0008775
Ejecución 47;0.0009985
Ejecución 48;0.0003137
Ejecución 49;0.0009995
Ejecución 50;0.0024526
Ejecución 51;0.0007375
Ejecución 52;0.0048582
Ejecución 53;0.0009966
Ejecución 54;0.0003961
Ejecución 55;0.0009984
Ejecución 56;0.0004951
Ejecución 57;0.0010204
Ejecución 58;0.0009999
Ejecución 59;0.0011668
Ejecución 60;0.0009997
Ejecución 61;0.000871
Ejecución 62;0.0010046
Ejecución 63;0.0003354
Ejecución 64;0.0009448
Ejecución 65;0.0010049
Ejecución 66;0.000321
Ejecución 67;0.0009062
Ejecución 68;0.0004043
