Algoritmo;Radix_Sort
Tamaño;5000000
Orden;asc
Repeticiones;100
Máquina;Lucas
Tiempo total;29.3547s
Tiempo promedio;0.293547s
Tiempos individuales (s):
Ejecución 1;0.286817
Ejecución 2;0.296057
Ejecución 3;0.302754
Ejecución 4;0.285738
Ejecución 5;0.293187
Ejecución 6;0.304925
Ejecución 7;0.276138
Ejecución 8;0.270409
Ejecución 9;0.284774
Ejecución 10;0.287547
Ejecución 11;0.278059
Ejecución 12;0.277133
Ejecución 13;0.26629
Ejecución 14;0.282998
Ejecución 15;0.283434
Ejecución 16;0.285073
Ejecución 17;0.288566
Ejecución 18;0.299642
Ejecución 19;0.310855
Ejecución 20;0.309267
Ejecución 21;0.311193
Ejecución 22;0.313924
Ejecución 23;0.303496
Ejecución 24;0.29274
Ejecución 25;0.284959
Ejecución 26;0.286309
Ejecución 27;0.289347
Ejecución 28;0.294327
Ejecución 29;0.276219
Ejecución 30;0.320775
Ejecución 31;0.292399
Ejecución 32;0.302787
Ejecución 33;0.296724
Ejecución 34;0.291141
Ejecución 35;0.314029
Ejecución 36;0.289493
Ejecución 37;0.274332
Ejecución 38;0.29151
Ejecución 39;0.298973
Ejecución 40;0.2986
Ejecución 41;0.299518
Ejecución 42;0.300083
Ejecución 43;0.277142
Ejecución 44;0.267808
Ejecución 45;0.286054
Ejecución 46;0.28216
Ejecución 47;0.275486
Ejecución 48;0.301803
Ejecución 49;0.318628
Ejecución 50;0.284326
Ejecución 51;0.290597
Ejecución 52;0.305267
Ejecución 53;0.302114
Ejecución 54;0.292358
Ejecución 55;0.296829
Ejecución 56;0.30538
Ejecución 57;0.307075
Ejecución 58;0.304328
Ejecución 59;0.303123
Ejecución 60;0.303163
Ejecución 61;0.3016
Ejecución 62;0.299377
Ejecución 63;0.310808
Ejecución 64;0.32142
Ejecución 65;0.27812
Ejecución 66;0.281113
Ejecución 67;0.280898
Ejecución 68;0.286639
Ejecución 69;0.299168
Ejecución 70;0.286561
Ejecución 71;0.292985
Ejecución 72;0.285655
Ejecución 73;0.282813
Ejecución 74;0.269953
Ejecución 75;0.285881
Ejecución 76;0.285576
Ejecución 77;0.277977
Ejecución 78;0.281362
Ejecución 79;0.27919
Ejecución 80;0.286603
Ejecución 81;0.270319
Ejecución 82;0.311416
Ejecución 83;0.298545
Ejecución 84;0.290748
Ejecución 85;0.307804
Ejecución 86;0.307818
Ejecución 87;0.300863
Ejecución 88;0.292063
Ejecución 89;0.295165
Ejecución 90;0.300566
Ejecución 91;0.305482
Ejecución 92;0.299514
Ejecución 93;0.29933
Ejecución 94;0.307584
Ejecución 95;0.306625
Ejecución 96;0.301122
Ejecución 97;0.292874
Ejecución 98;0.297963
Ejecución 99;0.30613
Ejecución 100;0.292935
