Algoritmo;Radix_Sort
Tamaño;5000000
Orden;desc
Repeticiones;100
Máquina;Lucas
Tiempo total;29.4586s
Tiempo promedio;0.294586s
Tiempos individuales (s):
Ejecución 1;0.276204
Ejecución 2;0.277272
Ejecución 3;0.283415
Ejecución 4;0.267557
Ejecución 5;0.281395
Ejecución 6;0.287552
Ejecución 7;0.26771
Ejecución 8;0.267931
Ejecución 9;0.291111
Ejecución 10;0.275666
Ejecución 11;0.31144
Ejecución 12;0.305064
Ejecución 13;0.30328
Ejecución 14;0.302442
Ejecución 15;0.308009
Ejecución 16;0.313613
Ejecución 17;0.281515
Ejecución 18;0.283247
Ejecución 19;0.272083
Ejecución 20;0.291122
Ejecución 21;0.312177
Ejecución 22;0.317882
Ejecución 23;0.302506
Ejecución 24;0.303181
Ejecución 25;0.308039
Ejecución 26;0.301097
Ejecución 27;0.297565
Ejecución 28;0.299133
Ejecución 29;0.301771
Ejecución 30;0.304822
Ejecución 31;0.300229
Ejecución 32;0.310112
Ejecución 33;0.312821
Ejecución 34;0.286739
Ejecución 35;0.302619
Ejecución 36;0.302432
Ejecución 37;0.293691
Ejecución 38;0.305076
Ejecución 39;0.31125
Ejecución 40;0.294295
Ejecución 41;0.298869
Ejecución 42;0.295702
Ejecución 43;0.296893
Ejecución 44;0.302041
Ejecución 45;0.295236
Ejecución 46;0.29039
Ejecución 47;0.285523
Ejecución 48;0.297608
Ejecución 49;0.309169
Ejecución 50;0.295545
Ejecución 51;0.314771
Ejecución 52;0.31821
Ejecución 53;0.303004
Ejecución 54;0.301995
Ejecución 55;0.303511
Ejecución 56;0.299325
Ejecución 57;0.293995
Ejecución 58;0.293954
Ejecución 59;0.295285
Ejecución 60;0.293691
Ejecución 61;0.297581
Ejecución 62;0.286968
Ejecución 63;0.295907
Ejecución 64;0.288815
Ejecución 65;0.286971
Ejecución 66;0.30059
Ejecución 67;0.298281
Ejecución 68;0.304533
Ejecución 69;0.301457
Ejecución 70;0.303441
Ejecución 71;0.303214
Ejecución 72;0.296454
Ejecución 73;0.297783
Ejecución 74;0.274068
Ejecución 75;0.283072
Ejecución 76;0.276685
Ejecución 77;0.300243
Ejecución 78;0.290941
Ejecución 79;0.301817
Ejecución 80;0.302676
Ejecución 81;0.28411
Ejecución 82;0.291156
Ejecución 83;0.2765
Ejecución 84;0.278471
Ejecución 85;0.273778
Ejecución 86;0.283758
Ejecución 87;0.268732
Ejecución 88;0.297708
Ejecución 89;0.312612
Ejecución 90;0.292766
Ejecución 91;0.295654
Ejecución 92;0.293355
Ejecución 93;0.30316
Ejecución 94;0.301279
Ejecución 95;0.297149
Ejecución 96;0.2841
Ejecución 97;0.28646
Ejecución 98;0.274083
Ejecución 99;0.278168
Ejecución 100;0.29428
