Algoritmo;Radix_Sort
Tamaño;5000000
Orden;shuffled
Repeticiones;100
Máquina;Lucas
Tiempo total;30.3278s
Tiempo promedio;0.303278s
Tiempos individuales (s):
Ejecución 1;0.296347
Ejecución 2;0.267987
Ejecución 3;0.278564
Ejecución 4;0.296574
Ejecución 5;0.304409
Ejecución 6;0.278947
Ejecución 7;0.30044
Ejecución 8;0.294034
Ejecución 9;0.293593
Ejecución 10;0.26894
Ejecución 11;0.275697
Ejecución 12;0.277322
Ejecución 13;0.27684
Ejecución 14;0.28342
Ejecución 15;0.284071
Ejecución 16;0.283812
Ejecución 17;0.28434
Ejecución 18;0.292917
Ejecución 19;0.309363
Ejecución 20;0.311
Ejecución 21;0.31138
Ejecución 22;0.308964
Ejecución 23;0.30997
Ejecución 24;0.309741
Ejecución 25;0.309681
Ejecución 26;0.307246
Ejecución 27;0.308852
Ejecución 28;0.306913
Ejecución 29;0.302957
Ejecución 30;0.292482
Ejecución 31;0.310934
Ejecución 32;0.309489
Ejecución 33;0.280926
Ejecución 34;0.320347
Ejecución 35;0.354963
Ejecución 36;0.318626
Ejecución 37;0.30492
Ejecución 38;0.319013
Ejecución 39;0.333795
Ejecución 40;0.349424
Ejecución 41;0.317528
Ejecución 42;0.335186
Ejecución 43;0.324137
Ejecución 44;0.325682
Ejecución 45;0.31739
Ejecución 46;0.325418
Ejecución 47;0.326562
Ejecución 48;0.325522
Ejecución 49;0.325766
Ejecución 50;0.325732
Ejecución 51;0.326047
Ejecución 52;0.326031
Ejecución 53;0.327687
Ejecución 54;0.330085
Ejecución 55;0.313977
Ejecución 56;0.303286
Ejecución 57;0.315888
Ejecución 58;0.325787
Ejecución 59;0.33418
Ejecución 60;0.33062
Ejecución 61;0.326431
Ejecución 62;0.342817
Ejecución 63;0.326221
Ejecución 64;0.324089
Ejecución 65;0.324362
Ejecución 66;0.300575
Ejecución 67;0.266421
Ejecución 68;0.280795
Ejecución 69;0.301591
Ejecución 70;0.284966
Ejecución 71;0.267719
Ejecución 72;0.293425
Ejecución 73;0.293716
Ejecución 74;0.297691
Ejecución 75;0.294425
Ejecución 76;0.287079
Ejecución 77;0.279879
Ejecución 78;0.283338
Ejecución 79;0.290593
Ejecución 80;0.293797
Ejecución 81;0.294451
Ejecución 82;0.294326
Ejecución 83;0.27268
Ejecución 84;0.286973
Ejecución 85;0.28628
Ejecución 86;0.297457
Ejecución 87;0.294174
Ejecución 88;0.288825
Ejecución 89;0.29446
Ejecución 90;0.30468
Ejecución 91;0.276092
Ejecución 92;0.276055
Ejecución 93;0.285248
Ejecución 94;0.293549
Ejecución 95;0.305246
Ejecución 96;0.297296
Ejecución 97;0.295012
Ejecución 98;0.299874
Ejecución 99;0.310063
Ejecución 100;0.303353
