Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 1;0.0023068
Ejecución 2;0.0015429
Ejecución 3;0.0010950
Ejecución 4;0.0010042
Ejecución 5;0.0009693
Ejecución 6;0.0009485
Ejecución 7;0.0009397
Ejecución 8;0.0008710
Ejecución 9;0.0008452
Ejecución 10;0.0010825
Ejecución 11;0.0008843
Ejecución 12;0.0009806
Ejecución 13;0.0011507
Ejecución 14;0.0012378
Ejecución 15;0.0011864
Ejecución 16;0.0009337
Ejecución 17;0.0008937
Ejecución 18;0.0009161
Ejecución 19;0.0009495
Ejecución 20;0.0009787
Ejecución 21;0.0013976
Ejecución 22;0.0016972
Ejecución 23;0.0010216
Ejecución 24;0.0009033
Ejecución 25;0.0008609
Ejecución 26;0.0008371
Ejecución 27;0.0008447
Ejecución 28;0.0008270
Ejecución 29;0.0008030
Ejecución 30;0.0008109
Ejecución 31;0.0008860
Ejecución 32;0.0008185
Ejecución 33;0.0007891
Ejecución 34;0.0008223
Ejecución 35;0.0008013
Ejecución 36;0.0009510
Ejecución 37;0.0009779
Ejecución 38;0.0008379
Ejecución 39;0.0008177
Ejecución 40;0.0008766
Ejecución 41;0.0009119
Ejecución 42;0.0012622
Ejecución 43;0.0014230
Ejecución 44;0.0011149
Ejecución 45;0.0009255
Ejecución 46;0.0009670
Ejecución 47;0.0008135
Ejecución 48;0.0008071
Ejecución 49;0.0008034
Ejecución 50;0.0008159
Ejecución 51;0.0008127
Ejecución 52;0.0007972
Ejecución 53;0.0008216
Ejecución 54;0.0008113
Ejecución 55;0.0008131
Ejecución 56;0.0008387
Ejecución 57;0.0008508
Ejecución 58;0.0008215
Ejecución 59;0.0008240
Ejecución 60;0.0008882
Ejecución 61;0.0009022
Ejecución 62;0.0008121
Ejecución 63;0.0008502
Ejecución 64;0.0008154
Ejecución 65;0.0008046
Ejecución 66;0.0008089
Ejecución 67;0.0008009
Ejecución 68;0.0008121
Ejecución 69;0.0008066
Ejecución 70;0.0008050
Ejecución 71;0.0008203
Ejecución 72;0.0008106
Ejecución 73;0.0008058
Ejecución 74;0.0008138
Ejecución 75;0.0008088
Ejecución 76;0.0008242
Ejecución 77;0.0008409
Ejecución 78;0.0008103
Ejecución 79;0.0007924
Ejecución 80;0.0008162
Ejecución 81;0.0008294
Ejecución 82;0.0008330
Ejecución 83;0.0008206
Ejecución 84;0.0008240
Ejecución 85;0.0008205
Ejecución 86;0.0008443
Ejecución 87;0.0008331
Ejecución 88;0.0008210
Ejecución 89;0.0008145
Ejecución 90;0.0008269
Ejecución 91;0.0008281
Ejecución 92;0.0008087
Ejecución 93;0.0008369
Ejecución 94;0.0008185
Ejecución 95;0.0008541
Ejecución 96;0.0008496
Ejecución 97;0.0008251
Ejecución 98;0.0008138
Ejecución 99;0.0008231
Ejecución 100;0.0008257
Ejecución 101;0.0008109
Ejecución 102;0.0008598
Ejecución 103;0.0008379
Ejecución 104;0.0008383
Ejecución 105;0.0008494
Ejecución 106;0.0008221
Ejecución 107;0.0008290
Ejecución 108;0.0008187
Ejecución 109;0.0008372
Ejecución 110;0.0008373
Ejecución 111;0.0008430
Ejecución 112;0.0008448
Ejecución 113;0.0008429
Ejecución 114;0.0008365
Ejecución 115;0.0008266
Ejecución 116;0.0008327
Ejecución 117;0.0008280
Ejecución 118;0.0008284
Ejecución 119;0.0008305
Ejecución 120;0.0008432
Ejecución 121;0.0008241
Ejecución 122;0.0008889
Ejecución 123;0.0008390
Ejecución 124;0.0008431
Ejecución 125;0.0008372
