Algoritmo;Merge_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8552567s
Tiempo promedio;0.0008553s
Tiempos individuales (s):
Ejecución 1;0.0015258
Ejecución 2;0.0010025
Ejecución 3;0.0008867
Ejecución 4;0.0009278
Ejecución 5;0.0008396
Ejecución 6;0.0008322
Ejecución 7;0.0008234
Ejecución 8;0.0008397
Ejecución 9;0.0008242
Ejecución 10;0.0008039
Ejecución 11;0.0007990
Ejecución 12;0.0008035
Ejecución 13;0.0008062
Ejecución 14;0.0008116
Ejecución 15;0.0008189
Ejecución 16;0.0009497
Ejecución 17;0.0008361
Ejecución 18;0.0009265
Ejecución 19;0.0009762
Ejecución 20;0.0011354
Ejecución 21;0.0011272
Ejecución 22;0.0009424
Ejecución 23;0.0009557
Ejecución 24;0.0008994
Ejecución 25;0.0009021
Ejecución 26;0.0008921
Ejecución 27;0.0009074
Ejecución 28;0.0012476
Ejecución 29;0.0009243
Ejecución 30;0.0008232
Ejecución 31;0.0008216
Ejecución 32;0.0008096
Ejecución 33;0.0008060
Ejecución 34;0.0008015
Ejecución 35;0.0008015
Ejecución 36;0.0007969
Ejecución 37;0.0008020
Ejecución 38;0.0007974
Ejecución 39;0.0007809
Ejecución 40;0.0007855
Ejecución 41;0.0007817
Ejecución 42;0.0007729
Ejecución 43;0.0008673
Ejecución 44;0.0008255
Ejecución 45;0.0007878
Ejecución 46;0.0007931
Ejecución 47;0.0007959
Ejecución 48;0.0007919
Ejecución 49;0.0007882
Ejecución 50;0.0007784
Ejecución 51;0.0007875
Ejecución 52;0.0007715
Ejecución 53;0.0008285
Ejecución 54;0.0007831
Ejecución 55;0.0007829
Ejecución 56;0.0007797
Ejecución 57;0.0007791
Ejecución 58;0.0008001
Ejecución 59;0.0007730
Ejecución 60;0.0008680
Ejecución 61;0.0009087
Ejecución 62;0.0008848
Ejecución 63;0.0007874
Ejecución 64;0.0008112
Ejecución 65;0.0007898
Ejecución 66;0.0008111
Ejecución 67;0.0008096
Ejecución 68;0.0008128
Ejecución 69;0.0008081
Ejecución 70;0.0008090
Ejecución 71;0.0008269
Ejecución 72;0.0008258
Ejecución 73;0.0008161
Ejecución 74;0.0009113
Ejecución 75;0.0008221
Ejecución 76;0.0008199
Ejecución 77;0.0008056
Ejecución 78;0.0008106
Ejecución 79;0.0008059
Ejecución 80;0.0008137
Ejecución 81;0.0008402
Ejecución 82;0.0008210
Ejecución 83;0.0008077
Ejecución 84;0.0008268
Ejecución 85;0.0008177
Ejecución 86;0.0008032
Ejecución 87;0.0008244
Ejecución 88;0.0008030
Ejecución 89;0.0008778
Ejecución 90;0.0008312
Ejecución 91;0.0008337
Ejecución 92;0.0008119
Ejecución 93;0.0008368
Ejecución 94;0.0008118
Ejecución 95;0.0008390
Ejecución 96;0.0008258
Ejecución 97;0.0008109
Ejecución 98;0.0008304
Ejecución 99;0.0008272
Ejecución 100;0.0008318
Ejecución 101;0.0008414
Ejecución 102;0.0008416
Ejecución 103;0.0008309
Ejecución 104;0.0008334
Ejecución 105;0.0008278
Ejecución 106;0.0008242
Ejecución 107;0.0008272
Ejecución 108;0.0008093
Ejecución 109;0.0008250
Ejecución 110;0.0008347
Ejecución 111;0.0008335
Ejecución 112;0.0008060
Ejecución 113;0.0008222
Ejecución 114;0.0008229
Ejecución 115;0.0008284
Ejecución 116;0.0008056
Ejecución 117;0.0008997
Ejecución 118;0.0008928
Ejecución 119;0.0008549
Ejecución 120;0.0008616
Ejecución 121;0.0008582
Ejecución 122;0.0008272
Ejecución 123;0.0008285
Ejecución 124;0.0008621
Ejecución 125;0.0008150
Ejecución 126;0.0008086
Ejecución 127;0.0008153
Ejecución 128;0.0008570
Ejecución 129;0.0008199
Ejecución 130;0.0008481
Ejecución 131;0.0008328
Ejecución 132;0.0008283
Ejecución 133;0.0011282
Ejecución 134;0.0014292
Ejecución 135;0.0008465
Ejecución 136;0.0008152
Ejecución 137;0.0008351
Ejecución 138;0.0008449
Ejecución 139;0.0008593
Ejecución 140;0.0008441
Ejecución 141;0.0008537
Ejecución 142;0.0008509
Ejecución 143;0.0008465
Ejecución 144;0.0008605
Ejecución 145;0.0008434
Ejecución 146;0.0008814
Ejecución 147;0.0008376
Ejecución 148;0.0008444
Ejecución 149;0.0008262
Ejecución 150;0.0008448
Ejecución 151;0.0008376
Ejecución 152;0.0008598
Ejecución 153;0.0008411
Ejecución 154;0.0008571
Ejecución 155;0.0008348
Ejecución 156;0.0008645
Ejecución 157;0.0008243
Ejecución 158;0.0008277
Ejecución 159;0.0008473
Ejecución 160;0.0008732
Ejecución 161;0.0008453
Ejecución 162;0.0008529
Ejecución 163;0.0008490
Ejecución 164;0.0008261
Ejecución 165;0.0008331
Ejecución 166;0.0008610
Ejecución 167;0.0008477
Ejecución 168;0.0008528
Ejecución 169;0.0008472
Ejecución 170;0.0008490
Ejecución 171;0.0008554
Ejecución 172;0.0008517
Ejecución 173;0.0008537
Ejecución 174;0.0008703
Ejecución 175;0.0010568
Ejecución 176;0.0010151
Ejecución 177;0.0008909
Ejecución 178;0.0009210
Ejecución 179;0.0008987
Ejecución 180;0.0009408
Ejecución 181;0.0009461
Ejecución 182;0.0009355
Ejecución 183;0.0009972
Ejecución 184;0.0008960
Ejecución 185;0.0009253
Ejecución 186;0.0009180
Ejecución 187;0.0011608
Ejecución 188;0.0011775
Ejecución 189;0.0012948
Ejecución 190;0.0008921
Ejecución 191;0.0008971
Ejecución 192;0.0008829
Ejecución 193;0.0009684
Ejecución 194;0.0010730
Ejecución 195;0.0009032
Ejecución 196;0.0008999
Ejecución 197;0.0009376
Ejecución 198;0.0012907
Ejecución 199;0.0012588
Ejecución 200;0.0014787
Ejecución 201;0.0009195
Ejecución 202;0.0016615
Ejecución 203;0.0009173
Ejecución 204;0.0011670
Ejecución 205;0.0010566
Ejecución 206;0.0015965
Ejecución 207;0.0009630
Ejecución 208;0.0012835
Ejecución 209;0.0013136
Ejecución 210;0.0010299
Ejecución 211;0.0010062
Ejecución 212;0.0010800
Ejecución 213;0.0009120
Ejecución 214;0.0009074
Ejecución 215;0.0009021
Ejecución 216;0.0009205
Ejecución 217;0.0009221
Ejecución 218;0.0008465
Ejecución 219;0.0008868
Ejecución 220;0.0009056
Ejecución 221;0.0008687
Ejecución 222;0.0008997
Ejecución 223;0.0008338
Ejecución 224;0.0008433
Ejecución 225;0.0008362
Ejecución 226;0.0008173
Ejecución 227;0.0008634
Ejecución 228;0.0009133
Ejecución 229;0.0009277
Ejecución 230;0.0009185
Ejecución 231;0.0009151
Ejecución 232;0.0009214
Ejecución 233;0.0009634
Ejecución 234;0.0009335
Ejecución 235;0.0010148
Ejecución 236;0.0009164
Ejecución 237;0.0009019
Ejecución 238;0.0009403
Ejecución 239;0.0009182
Ejecución 240;0.0009071
Ejecución 241;0.0008890
Ejecución 242;0.0008916
Ejecución 243;0.0008925
Ejecución 244;0.0008896
Ejecución 245;0.0008951
Ejecución 246;0.0009041
Ejecución 247;0.0009169
Ejecución 248;0.0008912
Ejecución 249;0.0009139
Ejecución 250;0.0008833
Ejecución 251;0.0008880
Ejecución 252;0.0008960
Ejecución 253;0.0008954
Ejecución 254;0.0008927
Ejecución 255;0.0008950
Ejecución 256;0.0009344
Ejecución 257;0.0008774
Ejecución 258;0.0008392
Ejecución 259;0.0008163
Ejecución 260;0.0008174
Ejecución 261;0.0008378
Ejecución 262;0.0008264
Ejecución 263;0.0008616
Ejecución 264;0.0009075
Ejecución 265;0.0009212
Ejecución 266;0.0008917
Ejecución 267;0.0008941
Ejecución 268;0.0008915
Ejecución 269;0.0008903
Ejecución 270;0.0008111
Ejecución 271;0.0008087
Ejecución 272;0.0008131
Ejecución 273;0.0008095
Ejecución 274;0.0008374
Ejecución 275;0.0008129
Ejecución 276;0.0008252
Ejecución 277;0.0008176
Ejecución 278;0.0008233
Ejecución 279;0.0008147
Ejecución 280;0.0008187
Ejecución 281;0.0008220
Ejecución 282;0.0009049
Ejecución 283;0.0008741
Ejecución 284;0.0009880
Ejecución 285;0.0009276
Ejecución 286;0.0009065
Ejecución 287;0.0008996
Ejecución 288;0.0008830
Ejecución 289;0.0008964
Ejecución 290;0.0008866
Ejecución 291;0.0012586
Ejecución 292;0.0012170
Ejecución 293;0.0008142
Ejecución 294;0.0008262
Ejecución 295;0.0008202
Ejecución 296;0.0008467
Ejecución 297;0.0008194
Ejecución 298;0.0008181
Ejecución 299;0.0008092
Ejecución 300;0.0008239
Ejecución 301;0.0007863
Ejecución 302;0.0008196
Ejecución 303;0.0008137
Ejecución 304;0.0008105
Ejecución 305;0.0011819
Ejecución 306;0.0014075
Ejecución 307;0.0013967
Ejecución 308;0.0014546
Ejecución 309;0.0015472
Ejecución 310;0.0015445
Ejecución 311;0.0015741
Ejecución 312;0.0015934
Ejecución 313;0.0016395
Ejecución 314;0.0008758
Ejecución 315;0.0008563
Ejecución 316;0.0008321
Ejecución 317;0.0008162
Ejecución 318;0.0008114
Ejecución 319;0.0008282
Ejecución 320;0.0008733
Ejecución 321;0.0008971
Ejecución 322;0.0008877
Ejecución 323;0.0008912
Ejecución 324;0.0008887
Ejecución 325;0.0008791
Ejecución 326;0.0009002
Ejecución 327;0.0009105
Ejecución 328;0.0008838
Ejecución 329;0.0008835
Ejecución 330;0.0008802
Ejecución 331;0.0008813
Ejecución 332;0.0008793
Ejecución 333;0.0008840
Ejecución 334;0.0008810
Ejecución 335;0.0008817
Ejecución 336;0.0008817
Ejecución 337;0.0008799
Ejecución 338;0.0008898
Ejecución 339;0.0008804
Ejecución 340;0.0008486
Ejecución 341;0.0008589
Ejecución 342;0.0008334
Ejecución 343;0.0008369
Ejecución 344;0.0008429
Ejecución 345;0.0008392
Ejecución 346;0.0008665
Ejecución 347;0.0008406
Ejecución 348;0.0008293
Ejecución 349;0.0008381
Ejecución 350;0.0008665
Ejecución 351;0.0008379
Ejecución 352;0.0008335
Ejecución 353;0.0008491
Ejecución 354;0.0008329
Ejecución 355;0.0008409
Ejecución 356;0.0008453
Ejecución 357;0.0008447
Ejecución 358;0.0008291
Ejecución 359;0.0008229
Ejecución 360;0.0008546
Ejecución 361;0.0008301
Ejecución 362;0.0008357
Ejecución 363;0.0008306
Ejecución 364;0.0008907
Ejecución 365;0.0009266
Ejecución 366;0.0009240
Ejecución 367;0.0009130
Ejecución 368;0.0008965
Ejecución 369;0.0008833
Ejecución 370;0.0008780
Ejecución 371;0.0008852
Ejecución 372;0.0008777
Ejecución 373;0.0008857
Ejecución 374;0.0008890
Ejecución 375;0.0008858
Ejecución 376;0.0008246
Ejecución 377;0.0008263
Ejecución 378;0.0008313
Ejecución 379;0.0007875
Ejecución 380;0.0007981
Ejecución 381;0.0007841
Ejecución 382;0.0007854
Ejecución 383;0.0007905
Ejecución 384;0.0007861
Ejecución 385;0.0008082
Ejecución 386;0.0007917
Ejecución 387;0.0007867
Ejecución 388;0.0007916
Ejecución 389;0.0008148
Ejecución 390;0.0007864
Ejecución 391;0.0007918
Ejecución 392;0.0007966
Ejecución 393;0.0007829
Ejecución 394;0.0007822
Ejecución 395;0.0007930
Ejecución 396;0.0007912
Ejecución 397;0.0008105
Ejecución 398;0.0007997
Ejecución 399;0.0007957
Ejecución 400;0.0007967
Ejecución 401;0.0009437
Ejecución 402;0.0008512
Ejecución 403;0.0008158
Ejecución 404;0.0008230
Ejecución 405;0.0008171
Ejecución 406;0.0008487
Ejecución 407;0.0008959
Ejecución 408;0.0007894
Ejecución 409;0.0007951
Ejecución 410;0.0007981
Ejecución 411;0.0007907
Ejecución 412;0.0007885
Ejecución 413;0.0007916
