Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 1;0.0019280
Ejecución 2;0.0018906
Ejecución 3;0.0018035
Ejecución 4;0.0012615
Ejecución 5;0.0010528
Ejecución 6;0.0010732
Ejecución 7;0.0010746
Ejecución 8;0.0010567
Ejecución 9;0.0010226
Ejecución 10;0.0011357
Ejecución 11;0.0012161
Ejecución 12;0.0013023
Ejecución 13;0.0012529
Ejecución 14;0.0018537
Ejecución 15;0.0016926
Ejecución 16;0.0011224
Ejecución 17;0.0010323
Ejecución 18;0.0010294
Ejecución 19;0.0010076
Ejecución 20;0.0011140
Ejecución 21;0.0010466
Ejecución 22;0.0010321
Ejecución 23;0.0010285
Ejecución 24;0.0010583
Ejecución 25;0.0010258
Ejecución 26;0.0010270
Ejecución 27;0.0011302
Ejecución 28;0.0010316
Ejecución 29;0.0010166
Ejecución 30;0.0010227
Ejecución 31;0.0010139
Ejecución 32;0.0010246
Ejecución 33;0.0010103
Ejecución 34;0.0010328
Ejecución 35;0.0010341
Ejecución 36;0.0010266
Ejecución 37;0.0010529
Ejecución 38;0.0010612
Ejecución 39;0.0010318
Ejecución 40;0.0010305
Ejecución 41;0.0011379
Ejecución 42;0.0010471
Ejecución 43;0.0010256
Ejecución 44;0.0010324
Ejecución 45;0.0014415
Ejecución 46;0.0013735
Ejecución 47;0.0018377
Ejecución 48;0.0010341
Ejecución 49;0.0010387
Ejecución 50;0.0010252
Ejecución 51;0.0010092
Ejecución 52;0.0010267
Ejecución 53;0.0010126
Ejecución 54;0.0010058
Ejecución 55;0.0010150
Ejecución 56;0.0011748
Ejecución 57;0.0010276
Ejecución 58;0.0010153
Ejecución 59;0.0011424
Ejecución 60;0.0010209
Ejecución 61;0.0010228
Ejecución 62;0.0010155
Ejecución 63;0.0010255
Ejecución 64;0.0010746
Ejecución 65;0.0010281
Ejecución 66;0.0010216
Ejecución 67;0.0010188
