Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.1632408s
Tiempo promedio;0.0161632s
Tiempos individuales (s):
Ejecución 1;0.0187902
Ejecución 2;0.0155762
Ejecución 3;0.0156936
Ejecución 4;0.0156137
Ejecución 5;0.0153477
Ejecución 6;0.0157272
Ejecución 7;0.0159713
Ejecución 8;0.0155903
Ejecución 9;0.0162508
Ejecución 10;0.0157535
Ejecución 11;0.0165298
Ejecución 12;0.0169603
Ejecución 13;0.0168481
Ejecución 14;0.0166544
Ejecución 15;0.0169704
Ejecución 16;0.0170928
Ejecución 17;0.0171706
Ejecución 18;0.0172325
Ejecución 19;0.0159168
Ejecución 20;0.0161424
Ejecución 21;0.0166894
Ejecución 22;0.0173333
Ejecución 23;0.0170951
Ejecución 24;0.0171325
Ejecución 25;0.0169118
Ejecución 26;0.0161759
Ejecución 27;0.0158845
Ejecución 28;0.0159942
Ejecución 29;0.0156565
Ejecución 30;0.0156590
Ejecución 31;0.0156223
Ejecución 32;0.0161072
Ejecución 33;0.0156695
Ejecución 34;0.0150920
Ejecución 35;0.0155038
Ejecución 36;0.0157000
Ejecución 37;0.0152436
Ejecución 38;0.0151545
Ejecución 39;0.0154814
Ejecución 40;0.0151452
Ejecución 41;0.0157962
Ejecución 42;0.0150681
Ejecución 43;0.0152366
Ejecución 44;0.0161727
Ejecución 45;0.0152894
Ejecución 46;0.0158388
Ejecución 47;0.0160623
Ejecución 48;0.0162545
Ejecución 49;0.0157694
Ejecución 50;0.0159125
Ejecución 51;0.0154110
Ejecución 52;0.0154210
Ejecución 53;0.0153717
Ejecución 54;0.0150950
Ejecución 55;0.0153375
Ejecución 56;0.0146268
Ejecución 57;0.0152598
Ejecución 58;0.0158372
Ejecución 59;0.0150261
Ejecución 60;0.0145506
Ejecución 61;0.0160516
Ejecución 62;0.0165658
Ejecución 63;0.0146490
Ejecución 64;0.0147473
Ejecución 65;0.0152371
Ejecución 66;0.0146318
Ejecución 67;0.0150095
Ejecución 68;0.0155235
Ejecución 69;0.0161218
Ejecución 70;0.0151964
Ejecución 71;0.0160399
Ejecución 72;0.0150815
Ejecución 73;0.0155143
Ejecución 74;0.0157666
Ejecución 75;0.0155212
Ejecución 76;0.0151499
Ejecución 77;0.0158427
Ejecución 78;0.0155374
Ejecución 79;0.0170585
Ejecución 80;0.0150068
Ejecución 81;0.0151869
Ejecución 82;0.0151793
Ejecución 83;0.0152170
Ejecución 84;0.0157320
Ejecución 85;0.0155379
Ejecución 86;0.0148440
Ejecución 87;0.0147829
Ejecución 88;0.0146165
Ejecución 89;0.0147680
Ejecución 90;0.0152343
Ejecución 91;0.0160818
Ejecución 92;0.0159374
Ejecución 93;0.0151826
Ejecución 94;0.0152116
Ejecución 95;0.0146366
Ejecución 96;0.0147973
Ejecución 97;0.0145614
Ejecución 98;0.0150759
Ejecución 99;0.0162293
Ejecución 100;0.0149148
Ejecución 101;0.0151805
Ejecución 102;0.0148545
Ejecución 103;0.0152820
Ejecución 104;0.0149190
Ejecución 105;0.0155173
Ejecución 106;0.0158270
Ejecución 107;0.0156266
Ejecución 108;0.0156861
Ejecución 109;0.0151466
Ejecución 110;0.0150314
Ejecución 111;0.0151462
Ejecución 112;0.0152706
Ejecución 113;0.0149034
Ejecución 114;0.0152591
Ejecución 115;0.0157753
Ejecución 116;0.0155518
Ejecución 117;0.0156330
Ejecución 118;0.0157605
Ejecución 119;0.0155541
Ejecución 120;0.0152992
Ejecución 121;0.0152369
Ejecución 122;0.0157104
Ejecución 123;0.0158947
Ejecución 124;0.0156122
Ejecución 125;0.0151732
