Algoritmo;Quick_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;2.2558706s
Tiempo promedio;0.0022559s
Tiempos individuales (s):
Ejecución 1;0.0029889
Ejecución 2;0.0030000
Ejecución 3;0.0023253
Ejecución 4;0.0019996
Ejecución 5;0.0020003
Ejecución 6;0.0030148
Ejecución 7;0.0019987
Ejecución 8;0.0020745
Ejecución 9;0.0020078
Ejecución 10;0.0024144
Ejecución 11;0.0030150
Ejecución 12;0.0019983
Ejecución 13;0.0030707
Ejecución 14;0.0020119
Ejecución 15;0.0019838
Ejecución 16;0.0020019
Ejecución 17;0.0030991
Ejecución 18;0.0019945
Ejecución 19;0.0020631
Ejecución 20;0.0019494
Ejecución 21;0.0026999
Ejecución 22;0.0016017
Ejecución 23;0.0031044
Ejecución 24;0.0019913
Ejecución 25;0.0019098
Ejecución 26;0.0030848
Ejecución 27;0.0019972
Ejecución 28;0.0020001
Ejecución 29;0.0030038
Ejecución 30;0.0026721
Ejecución 31;0.0019980
Ejecución 32;0.0020003
Ejecución 33;0.0024342
Ejecución 34;0.0030920
Ejecución 35;0.0020245
Ejecución 36;0.0020009
Ejecución 37;0.0025013
Ejecución 38;0.0030945
Ejecución 39;0.0027205
Ejecución 40;0.0019895
Ejecución 41;0.0014350
Ejecución 42;0.0020094
Ejecución 43;0.0019792
Ejecución 44;0.0019887
Ejecución 45;0.0024993
Ejecución 46;0.0020023
Ejecución 47;0.0019858
Ejecución 48;0.0014094
Ejecución 49;0.0019910
Ejecución 50;0.0030108
Ejecución 51;0.0019929
Ejecución 52;0.0014679
Ejecución 53;0.0020060
Ejecución 54;0.0021135
Ejecución 55;0.0019761
Ejecución 56;0.0024711
Ejecución 57;0.0020087
Ejecución 58;0.0020003
Ejecución 59;0.0029746
Ejecución 60;0.0016485
Ejecución 61;0.0009840
Ejecución 62;0.0020983
Ejecución 63;0.0014778
Ejecución 64;0.0019992
Ejecución 65;0.0021072
Ejecución 66;0.0019811
Ejecución 67;0.0025551
Ejecución 68;0.0020008
Ejecución 69;0.0019532
Ejecución 70;0.0020854
Ejecución 71;0.0023538
Ejecución 72;0.0019905
Ejecución 73;0.0029893
Ejecución 74;0.0022263
Ejecución 75;0.0019935
Ejecución 76;0.0030188
Ejecución 77;0.0019938
Ejecución 78;0.0024854
Ejecución 79;0.0027126
Ejecución 80;0.0019855
Ejecución 81;0.0019747
Ejecución 82;0.0023539
Ejecución 83;0.0020015
Ejecución 84;0.0019987
Ejecución 85;0.0024296
Ejecución 86;0.0031040
Ejecución 87;0.0019876
Ejecución 88;0.0019016
Ejecución 89;0.0019999
Ejecución 90;0.0030019
Ejecución 91;0.0020625
Ejecución 92;0.0019979
Ejecución 93;0.0030074
Ejecución 94;0.0029072
Ejecución 95;0.0027035
Ejecución 96;0.0024321
Ejecución 97;0.0020951
Ejecución 98;0.0030150
Ejecución 99;0.0019986
Ejecución 100;0.0024243
Ejecución 101;0.0020866
Ejecución 102;0.0019863
Ejecución 103;0.0030015
Ejecución 104;0.0021063
Ejecución 105;0.0029880
Ejecución 106;0.0020066
Ejecución 107;0.0026101
Ejecución 108;0.0019922
Ejecución 109;0.0019994
Ejecución 110;0.0030086
Ejecución 111;0.0025915
Ejecución 112;0.0029994
Ejecución 113;0.0020958
Ejecución 114;0.0030047
Ejecución 115;0.0023536
Ejecución 116;0.0030015
Ejecución 117;0.0019892
Ejecución 118;0.0025353
Ejecución 119;0.0020000
Ejecución 120;0.0019887
Ejecución 121;0.0030100
Ejecución 122;0.0024942
Ejecución 123;0.0030002
Ejecución 124;0.0030119
Ejecución 125;0.0024267
Ejecución 126;0.0030918
Ejecución 127;0.0020002
Ejecución 128;0.0020010
Ejecución 129;0.0014436
Ejecución 130;0.0021027
Ejecución 131;0.0030115
Ejecución 132;0.0019790
Ejecución 133;0.0026211
Ejecución 134;0.0020107
Ejecución 135;0.0019919
Ejecución 136;0.0024175
Ejecución 137;0.0019959
Ejecución 138;0.0029991
Ejecución 139;0.0020002
Ejecución 140;0.0025057
Ejecución 141;0.0020037
Ejecución 142;0.0020120
Ejecución 143;0.0029865
Ejecución 144;0.0021109
Ejecución 145;0.0029903
Ejecución 146;0.0019887
Ejecución 147;0.0024135
Ejecución 148;0.0031048
Ejecución 149;0.0019894
Ejecución 150;0.0019963
Ejecución 151;0.0025445
Ejecución 152;0.0009710
Ejecución 153;0.0020996
Ejecución 154;0.0030031
Ejecución 155;0.0024669
Ejecución 156;0.0030112
Ejecución 157;0.0019998
Ejecución 158;0.0025267
Ejecución 159;0.0019934
Ejecución 160;0.0019843
Ejecución 161;0.0030045
Ejecución 162;0.0033808
Ejecución 163;0.0019944
Ejecución 164;0.0021143
Ejecución 165;0.0029894
Ejecución 166;0.0020881
Ejecución 167;0.0030096
Ejecución 168;0.0019914
Ejecución 169;0.0026353
Ejecución 170;0.0021148
Ejecución 171;0.0019888
Ejecución 172;0.0030059
Ejecución 173;0.0021001
Ejecución 174;0.0029974
Ejecución 175;0.0019999
Ejecución 176;0.0024216
Ejecución 177;0.0020859
Ejecución 178;0.0020001
Ejecución 179;0.0030020
Ejecución 180;0.0024902
Ejecución 181;0.0029983
Ejecución 182;0.0019891
Ejecución 183;0.0034883
Ejecución 184;0.0020955
Ejecución 185;0.0019811
Ejecución 186;0.0027010
Ejecución 187;0.0024124
Ejecución 188;0.0019968
Ejecución 189;0.0029966
Ejecución 190;0.0020028
Ejecución 191;0.0025536
Ejecución 192;0.0019983
Ejecución 193;0.0019939
Ejecución 194;0.0023189
Ejecución 195;0.0030023
Ejecución 196;0.0019847
Ejecución 197;0.0019955
Ejecución 198;0.0024946
Ejecución 199;0.0019975
Ejecución 200;0.0019983
Ejecución 201;0.0029997
Ejecución 202;0.0023580
Ejecución 203;0.0026116
Ejecución 204;0.0020891
Ejecución 205;0.0014288
Ejecución 206;0.0016008
Ejecución 207;0.0019973
Ejecución 208;0.0020907
Ejecución 209;0.0024263
Ejecución 210;0.0030977
Ejecución 211;0.0020035
Ejecución 212;0.0019983
Ejecución 213;0.0014383
Ejecución 214;0.0020110
Ejecución 215;0.0020051
Ejecución 216;0.0024378
Ejecución 217;0.0020809
Ejecución 218;0.0030132
Ejecución 219;0.0019928
Ejecución 220;0.0025849
Ejecución 221;0.0021117
Ejecución 222;0.0020193
Ejecución 223;0.0029790
Ejecución 224;0.0020946
Ejecución 225;0.0030145
Ejecución 226;0.0019882
Ejecución 227;0.0024242
Ejecución 228;0.0020993
Ejecución 229;0.0019993
Ejecución 230;0.0019913
Ejecución 231;0.0023713
Ejecución 232;0.0019943
Ejecución 233;0.0030053
Ejecución 234;0.0020153
Ejecución 235;0.0025364
Ejecución 236;0.0019996
Ejecución 237;0.0020650
Ejecución 238;0.0024191
Ejecución 239;0.0019931
Ejecución 240;0.0019643
Ejecución 241;0.0029286
Ejecución 242;0.0024743
Ejecución 243;0.0016959
Ejecución 244;0.0020037
Ejecución 245;0.0020809
Ejecución 246;0.0020939
Ejecución 247;0.0029961
Ejecución 248;0.0020074
Ejecución 249;0.0014765
Ejecución 250;0.0019948
Ejecución 251;0.0020643
Ejecución 252;0.0030016
Ejecución 253;0.0020998
Ejecución 254;0.0019936
Ejecución 255;0.0019882
Ejecución 256;0.0025083
Ejecución 257;0.0021009
Ejecución 258;0.0020103
Ejecución 259;0.0029935
Ejecución 260;0.0025642
Ejecución 261;0.0030148
Ejecución 262;0.0019882
Ejecución 263;0.0024286
Ejecución 264;0.0021021
Ejecución 265;0.0020229
Ejecución 266;0.0030069
Ejecución 267;0.0023730
Ejecución 268;0.0030988
Ejecución 269;0.0020034
Ejecución 270;0.0019936
Ejecución 271;0.0013492
Ejecución 272;0.0020049
Ejecución 273;0.0019869
Ejecución 274;0.0030201
Ejecución 275;0.0020903
Ejecución 276;0.0030031
Ejecución 277;0.0027039
Ejecución 278;0.0019881
Ejecución 279;0.0020919
Ejecución 280;0.0019992
Ejecución 281;0.0030834
Ejecución 282;0.0019970
Ejecución 283;0.0019953
Ejecución 284;0.0029920
Ejecución 285;0.0020039
Ejecución 286;0.0019738
Ejecución 287;0.0019340
Ejecución 288;0.0030465
Ejecución 289;0.0029089
Ejecución 290;0.0027225
Ejecución 291;0.0019999
Ejecución 292;0.0019912
Ejecución 293;0.0014282
Ejecución 294;0.0037126
Ejecución 295;0.0019991
Ejecución 296;0.0019866
Ejecución 297;0.0024953
Ejecución 298;0.0020022
Ejecución 299;0.0029802
Ejecución 300;0.0025108
Ejecución 301;0.0019870
Ejecución 302;0.0030021
Ejecución 303;0.0019951
Ejecución 304;0.0025814
Ejecución 305;0.0019995
Ejecución 306;0.0020029
Ejecución 307;0.0023780
Ejecución 308;0.0019945
Ejecución 309;0.0019869
Ejecución 310;0.0031030
Ejecución 311;0.0025043
Ejecución 312;0.0020018
Ejecución 313;0.0019935
Ejecución 314;0.0024106
Ejecución 315;0.0027033
Ejecución 316;0.0026899
Ejecución 317;0.0021093
Ejecución 318;0.0024145
Ejecución 319;0.0020934
Ejecución 320;0.0019872
Ejecución 321;0.0030058
Ejecución 322;0.0024870
Ejecución 323;0.0029952
Ejecución 324;0.0019995
Ejecución 325;0.0024301
Ejecución 326;0.0021080
Ejecución 327;0.0020009
Ejecución 328;0.0020037
Ejecución 329;0.0024437
Ejecución 330;0.0019853
Ejecución 331;0.0021007
Ejecución 332;0.0019884
Ejecución 333;0.0022063
Ejecución 334;0.0031001
Ejecución 335;0.0019954
Ejecución 336;0.0020060
Ejecución 337;0.0014030
Ejecución 338;0.0020012
Ejecución 339;0.0019886
Ejecución 340;0.0024177
Ejecución 341;0.0019841
Ejecución 342;0.0030149
Ejecución 343;0.0019862
Ejecución 344;0.0015346
Ejecución 345;0.0019972
Ejecución 346;0.0020017
Ejecución 347;0.0030913
Ejecución 348;0.0026134
Ejecución 349;0.0020002
Ejecución 350;0.0026214
Ejecución 351;0.0025388
Ejecución 352;0.0021975
Ejecución 353;0.0019138
Ejecución 354;0.0019996
Ejecución 355;0.0024413
Ejecución 356;0.0019831
Ejecución 357;0.0029994
Ejecución 358;0.0023418
Ejecución 359;0.0020033
Ejecución 360;0.0030026
Ejecución 361;0.0019881
Ejecución 362;0.0024989
Ejecución 363;0.0019933
Ejecución 364;0.0019916
Ejecución 365;0.0019914
Ejecución 366;0.0022942
Ejecución 367;0.0020180
Ejecución 368;0.0016817
Ejecución 369;0.0024110
Ejecución 370;0.0020125
Ejecución 371;0.0019925
Ejecución 372;0.0019936
Ejecución 373;0.0024621
Ejecución 374;0.0020017
Ejecución 375;0.0019987
Ejecución 376;0.0024427
Ejecución 377;0.0020038
Ejecución 378;0.0029953
Ejecución 379;0.0020000
Ejecución 380;0.0025264
Ejecución 381;0.0019890
Ejecución 382;0.0020124
Ejecución 383;0.0024521
Ejecución 384;0.0026990
Ejecución 385;0.0021102
Ejecución 386;0.0019811
Ejecución 387;0.0020636
Ejecución 388;0.0022080
Ejecución 389;0.0030055
Ejecución 390;0.0019942
Ejecución 391;0.0025409
Ejecución 392;0.0019915
Ejecución 393;0.0020062
Ejecución 394;0.0019553
Ejecución 395;0.0020905
Ejecución 396;0.0020013
Ejecución 397;0.0029936
Ejecución 398;0.0025347
Ejecución 399;0.0030106
Ejecución 400;0.0020003
Ejecución 401;0.0019980
Ejecución 402;0.0023452
Ejecución 403;0.0019983
Ejecución 404;0.0020178
Ejecución 405;0.0015655
Ejecución 406;0.0020051
Ejecución 407;0.0026137
Ejecución 408;0.0020980
Ejecución 409;0.0024315
Ejecución 410;0.0030970
Ejecución 411;0.0030012
Ejecución 412;0.0019905
Ejecución 413;0.0024798
