Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 1;0.0009995
Ejecución 2;0.0009999
Ejecución 3;0.0010001
Ejecución 4;0.0013370
Ejecución 5;0.0010109
Ejecución 6;0.0010002
Ejecución 7;0.0009992
Ejecución 8;0.0010009
Ejecución 9;0.0010902
Ejecución 10;0.0010079
Ejecución 11;0.0009925
Ejecución 12;0.0010072
Ejecución 13;0.0010024
Ejecución 14;0.0010084
Ejecución 15;0.0009885
Ejecución 16;0.0009980
Ejecución 17;0.0010039
Ejecución 18;0.0010122
Ejecución 19;0.0009969
Ejecución 20;0.0009005
Ejecución 21;0.0010980
Ejecución 22;0.0011125
Ejecución 23;0.0009924
Ejecución 24;0.0009951
Ejecución 25;0.0009962
Ejecución 26;0.0009960
Ejecución 27;0.0009985
Ejecución 28;0.0010955
Ejecución 29;0.0010043
Ejecución 30;0.0009954
Ejecución 31;0.0010186
Ejecución 32;0.0008997
Ejecución 33;0.0009998
Ejecución 34;0.0010208
Ejecución 35;0.0011713
Ejecución 36;0.0010031
Ejecución 37;0.0015915
Ejecución 38;0.0010951
Ejecución 39;0.0009995
Ejecución 40;0.0010235
Ejecución 41;0.0009719
Ejecución 42;0.0009333
Ejecución 43;0.0013718
Ejecución 44;0.0008966
Ejecución 45;0.0009916
Ejecución 46;0.0010126
Ejecución 47;0.0010099
Ejecución 48;0.0010723
Ejecución 49;0.0009209
Ejecución 50;0.0009805
Ejecución 51;0.0009954
Ejecución 52;0.0010413
Ejecución 53;0.0010279
Ejecución 54;0.0010170
Ejecución 55;0.0010015
Ejecución 56;0.0009059
Ejecución 57;0.0010516
Ejecución 58;0.0009847
Ejecución 59;0.0009646
Ejecución 60;0.0010955
Ejecución 61;0.0009929
Ejecución 62;0.0010014
Ejecución 63;0.0010039
Ejecución 64;0.0009949
Ejecución 65;0.0010096
Ejecución 66;0.0009841
Ejecución 67;0.0010088
