Algoritmo;Bucket_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.68377s
Tiempo promedio;0.00168377s
Tiempos individuales (s):
Ejecución 1;0.0029999
Ejecución 2;0.0019993
Ejecución 3;0.0019999
Ejecución 4;0.0019997
Ejecución 5;0.0029996
Ejecución 6;0.0029989
Ejecución 7;0.0020037
Ejecución 8;0.0010016
Ejecución 9;0.0019955
Ejecución 10;0.0020005
Ejecución 11;0.0019994
Ejecución 12;0.0020001
Ejecución 13;0.0010007
Ejecución 14;0.001001
Ejecución 15;0.0020024
Ejecución 16;0.0019983
Ejecución 17;0.0020001
Ejecución 18;0.0020006
Ejecución 19;0.002
Ejecución 20;0.0009995
Ejecución 21;0.0009997
Ejecución 22;0.0020006
Ejecución 23;0.0020004
Ejecución 24;0.0019998
Ejecución 25;0.002001
Ejecución 26;0.0010006
Ejecución 27;0.0020008
Ejecución 28;0.0019998
Ejecución 29;0.0020007
Ejecución 30;0.0019998
Ejecución 31;0.0020013
Ejecución 32;0.001002
Ejecución 33;0.0020005
Ejecución 34;0.002
Ejecución 35;0.0020005
Ejecución 36;0.0020001
Ejecución 37;0.0020004
Ejecución 38;0.0009992
Ejecución 39;0.0010009
Ejecución 40;0.0019993
Ejecución 41;0.0020003
Ejecución 42;0.002001
Ejecución 43;0.0019996
Ejecución 44;0.0020001
Ejecución 45;0.0020012
Ejecución 46;0.0010009
Ejecución 47;0.0019981
Ejecución 48;0.0020003
Ejecución 49;0.0020002
Ejecución 50;0.0020406
Ejecución 51;0.0020029
Ejecución 52;0.0019906
Ejecución 53;0.0010024
Ejecución 54;0.0020064
Ejecución 55;0.0019986
Ejecución 56;0.0020021
Ejecución 57;0.0019977
Ejecución 58;0.0019993
Ejecución 59;0.0020001
Ejecución 60;0.0019664
Ejecución 61;0.0010001
Ejecución 62;0.0020004
Ejecución 63;0.0020008
Ejecución 64;0.0020001
Ejecución 65;0.0020007
Ejecución 66;0.0020006
Ejecución 67;0.0010035
Ejecución 68;0.0010002
Ejecución 69;0.0020043
Ejecución 70;0.0019968
Ejecución 71;0.0020036
Ejecución 72;0.0020058
Ejecución 73;0.0019912
Ejecución 74;0.0010075
Ejecución 75;0.0009967
Ejecución 76;0.0019974
Ejecución 77;0.0020002
Ejecución 78;0.0020003
Ejecución 79;0.0020032
Ejecución 80;0.002001
Ejecución 81;0.0019969
Ejecución 82;0.0010028
Ejecución 83;0.0010338
Ejecución 84;0.0019983
Ejecución 85;0.0019623
Ejecución 86;0.0020405
Ejecución 87;0.0019979
Ejecución 88;0.002
Ejecución 89;0.0020007
Ejecución 90;0.0009997
Ejecución 91;0.0020012
Ejecución 92;0.0019988
Ejecución 93;0.0020009
Ejecución 94;0.002003
Ejecución 95;0.0019971
Ejecución 96;0.0020034
Ejecución 97;0.001
Ejecución 98;0.0010005
Ejecución 99;0.0019914
Ejecución 100;0.0019976
Ejecución 101;0.0020003
Ejecución 102;0.002
Ejecución 103;0.002
Ejecución 104;0.0020021
Ejecución 105;0.0020002
Ejecución 106;0.0010019
Ejecución 107;0.0010045
Ejecución 108;0.001
Ejecución 109;0.0009968
Ejecución 110;0.0020029
Ejecución 111;0.0020044
Ejecución 112;0.0019932
Ejecución 113;0.0020005
Ejecución 114;0.0020024
Ejecución 115;0.0019978
Ejecución 116;0.0020017
Ejecución 117;0.0020009
Ejecución 118;0.0010076
Ejecución 119;0.001
Ejecución 120;0.0009996
Ejecución 121;0.0009994
Ejecución 122;0.0019623
Ejecución 123;0.0020381
Ejecución 124;0.002
Ejecución 125;0.0020004
Ejecución 126;0.0020006
Ejecución 127;0.002001
Ejecución 128;0.002001
Ejecución 129;0.0009656
Ejecución 130;0.0010004
Ejecución 131;0.0019998
Ejecución 132;0.0020034
Ejecución 133;0.0020017
Ejecución 134;0.0020011
Ejecución 135;0.0019947
Ejecución 136;0.0019638
Ejecución 137;0.0010342
Ejecución 138;0.0020007
Ejecución 139;0.0020006
Ejecución 140;0.0020004
Ejecución 141;0.0020004
Ejecución 142;0.0020043
Ejecución 143;0.0010031
Ejecución 144;0.0010057
Ejecución 145;0.0020029
Ejecución 146;0.0019978
Ejecución 147;0.0020032
Ejecución 148;0.0019997
Ejecución 149;0.001998
Ejecución 150;0.0009991
Ejecución 151;0.0009671
Ejecución 152;0.0019995
Ejecución 153;0.0020002
Ejecución 154;0.0020003
Ejecución 155;0.0020012
Ejecución 156;0.0019615
Ejecución 157;0.0010022
Ejecución 158;0.002004
Ejecución 159;0.0020006
Ejecución 160;0.002001
Ejecución 161;0.0020026
Ejecución 162;0.0019978
Ejecución 163;0.0019995
Ejecución 164;0.000996
Ejecución 165;0.000999
Ejecución 166;0.0019973
Ejecución 167;0.0019952
Ejecución 168;0.0020006
Ejecución 169;0.0020002
Ejecución 170;0.0020002
Ejecución 171;0.0009999
Ejecución 172;0.0010397
Ejecución 173;0.002
Ejecución 174;0.0020043
Ejecución 175;0.0019964
Ejecución 176;0.0020037
Ejecución 177;0.0020009
Ejecución 178;0.0009984
Ejecución 179;0.0009969
Ejecución 180;0.0020399
Ejecución 181;0.0019941
Ejecución 182;0.0020002
Ejecución 183;0.0020002
Ejecución 184;0.0020003
Ejecución 185;0.0020037
Ejecución 186;0.0010021
Ejecución 187;0.0010023
Ejecución 188;0.0009996
Ejecución 189;0.0009901
Ejecución 190;0.0020032
Ejecución 191;0.0019992
Ejecución 192;0.0019982
Ejecución 193;0.0020007
Ejecución 194;0.002
Ejecución 195;0.0020004
Ejecución 196;0.0020036
Ejecución 197;0.0010024
Ejecución 198;0.0010022
Ejecución 199;0.0020387
Ejecución 200;0.0019984
Ejecución 201;0.0020038
Ejecución 202;0.0019939
Ejecución 203;0.0019997
Ejecución 204;0.0020014
Ejecución 205;0.0009643
Ejecución 206;0.0009991
Ejecución 207;0.0019959
Ejecución 208;0.0019995
Ejecución 209;0.0020009
Ejecución 210;0.0020006
Ejecución 211;0.0020055
Ejecución 212;0.001002
Ejecución 213;0.0010342
Ejecución 214;0.0019998
Ejecución 215;0.0020001
Ejecución 216;0.0020049
Ejecución 217;0.0019916
Ejecución 218;0.0020005
Ejecución 219;0.0020003
Ejecución 220;0.002
Ejecución 221;0.0020012
Ejecución 222;0.0010009
Ejecución 223;0.0010025
Ejecución 224;0.0020042
Ejecución 225;0.0020043
Ejecución 226;0.0019963
Ejecución 227;0.0020041
Ejecución 228;0.0019959
Ejecución 229;0.0020005
Ejecución 230;0.0020003
Ejecución 231;0.0020008
Ejecución 232;0.0020004
Ejecución 233;0.0009976
Ejecución 234;0.0010022
Ejecución 235;0.0010053
Ejecución 236;0.0020046
Ejecución 237;0.001996
Ejecución 238;0.0020042
Ejecución 239;0.0019929
Ejecución 240;0.0020001
Ejecución 241;0.002
Ejecución 242;0.0020003
Ejecución 243;0.0009995
Ejecución 244;0.0009661
Ejecución 245;0.0009918
Ejecución 246;0.0020009
Ejecución 247;0.0020035
Ejecución 248;0.0019965
Ejecución 249;0.0020037
Ejecución 250;0.0020004
Ejecución 251;0.0019977
Ejecución 252;0.0020011
Ejecución 253;0.0020001
Ejecución 254;0.0020003
Ejecución 255;0.0020059
Ejecución 256;0.0019959
Ejecución 257;0.0020057
Ejecución 258;0.0019936
Ejecución 259;0.0020002
Ejecución 260;0.0020005
Ejecución 261;0.0020005
Ejecución 262;0.0019631
Ejecución 263;0.0020286
Ejecución 264;0.0020126
Ejecución 265;0.001997
Ejecución 266;0.0009998
Ejecución 267;0.0009996
Ejecución 268;0.0020008
Ejecución 269;0.0020009
Ejecución 270;0.0019618
Ejecución 271;0.0020371
Ejecución 272;0.0019971
Ejecución 273;0.0010016
Ejecución 274;0.0010018
Ejecución 275;0.0019999
Ejecución 276;0.0020008
Ejecución 277;0.0019998
Ejecución 278;0.0020033
Ejecución 279;0.0019968
Ejecución 280;0.0009999
Ejecución 281;0.0009967
Ejecución 282;0.002007
Ejecución 283;0.0020027
Ejecución 284;0.0019548
Ejecución 285;0.0020404
Ejecución 286;0.0019981
Ejecución 287;0.001996
Ejecución 288;0.0010047
Ejecución 289;0.0020042
Ejecución 290;0.0020037
Ejecución 291;0.0019997
Ejecución 292;0.0019975
Ejecución 293;0.0020036
Ejecución 294;0.0020056
Ejecución 295;0.0010338
Ejecución 296;0.000999
Ejecución 297;0.0009923
Ejecución 298;0.0009894
Ejecución 299;0.0009968
Ejecución 300;0.0019613
Ejecución 301;0.0020403
Ejecución 302;0.0019615
Ejecución 303;0.0020382
Ejecución 304;0.0020045
Ejecución 305;0.0019951
Ejecución 306;0.002001
Ejecución 307;0.0009993
Ejecución 308;0.0010019
Ejecución 309;0.0019988
Ejecución 310;0.002
Ejecución 311;0.0020011
Ejecución 312;0.0019996
Ejecución 313;0.0020028
Ejecución 314;0.0019978
Ejecución 315;0.0020043
Ejecución 316;0.002001
Ejecución 317;0.002001
Ejecución 318;0.0020015
Ejecución 319;0.0019978
Ejecución 320;0.0020016
Ejecución 321;0.0020001
Ejecución 322;0.0020004
Ejecución 323;0.0020003
Ejecución 324;0.0020025
Ejecución 325;0.0019984
Ejecución 326;0.0020014
Ejecución 327;0.0019989
Ejecución 328;0.0020001
Ejecución 329;0.0020052
Ejecución 330;0.0019956
Ejecución 331;0.002
Ejecución 332;0.0020044
Ejecución 333;0.0009898
Ejecución 334;0.0009919
Ejecución 335;0.0009927
Ejecución 336;0.0010005
Ejecución 337;0.0010024
Ejecución 338;0.0010079
Ejecución 339;0.001006
Ejecución 340;0.0009997
Ejecución 341;0.0009998
Ejecución 342;0.0010067
Ejecución 343;0.0019979
Ejecución 344;0.0020034
Ejecución 345;0.0019971
Ejecución 346;0.002001
Ejecución 347;0.0020007
Ejecución 348;0.0019993
Ejecución 349;0.0019997
Ejecución 350;0.0020003
Ejecución 351;0.0020011
Ejecución 352;0.0019998
Ejecución 353;0.0020012
Ejecución 354;0.0020017
Ejecución 355;0.0019574
Ejecución 356;0.0019983
Ejecución 357;0.0009999
Ejecución 358;0.0010004
Ejecución 359;0.0010002
Ejecución 360;0.0009998
Ejecución 361;0.0010002
Ejecución 362;0.0020011
Ejecución 363;0.0019993
Ejecución 364;0.0020025
Ejecución 365;0.0010072
Ejecución 366;0.0010339
Ejecución 367;0.0020089
Ejecución 368;0.0019911
Ejecución 369;0.0020009
Ejecución 370;0.0020452
Ejecución 371;0.0019552
Ejecución 372;0.0010004
Ejecución 373;0.0010011
Ejecución 374;0.0020022
Ejecución 375;0.00204
Ejecución 376;0.0019659
Ejecución 377;0.0019944
Ejecución 378;0.0020458
Ejecución 379;0.0019975
Ejecución 380;0.0010019
Ejecución 381;0.0009999
Ejecución 382;0.001992
Ejecución 383;0.0019984
Ejecución 384;0.0020031
Ejecución 385;0.0019984
Ejecución 386;0.0019998
Ejecución 387;0.0020009
Ejecución 388;0.0010339
Ejecución 389;0.0020016
Ejecución 390;0.002004
Ejecución 391;0.0019961
Ejecución 392;0.0020419
Ejecución 393;0.0020009
Ejecución 394;0.0020035
Ejecución 395;0.00096
Ejecución 396;0.0009587
Ejecución 397;0.0020044
Ejecución 398;0.0019956
Ejecución 399;0.0019971
Ejecución 400;0.002001
Ejecución 401;0.0020006
Ejecución 402;0.0019993
Ejecución 403;0.0009929
Ejecución 404;0.0010008
Ejecución 405;0.0019997
Ejecución 406;0.0020066
Ejecución 407;0.0020412
Ejecución 408;0.0019971
Ejecución 409;0.0019993
Ejecución 410;0.0019584
Ejecución 411;0.0009565
Ejecución 412;0.0020448
Ejecución 413;0.0020006
Ejecución 414;0.0019987
Ejecución 415;0.0019986
Ejecución 416;0.0020004
Ejecución 417;0.0020003
