Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 1;0.0020292
Ejecución 2;0.0020002
Ejecución 3;0.002001
Ejecución 4;0.0020003
Ejecución 5;0.0020004
Ejecución 6;0.0020374
Ejecución 7;0.0009973
Ejecución 8;0.0019983
Ejecución 9;0.0020376
Ejecución 10;0.0020051
Ejecución 11;0.0019955
Ejecución 12;0.0009809
Ejecución 13;0.001999
Ejecución 14;0.0020354
Ejecución 15;0.0010331
Ejecución 16;0.0020414
Ejecución 17;0.0019982
Ejecución 18;0.0019996
Ejecución 19;0.0019629
Ejecución 20;0.000964
Ejecución 21;0.0020044
Ejecución 22;0.0020014
Ejecución 23;0.0019989
Ejecución 24;0.0020003
Ejecución 25;0.0019968
Ejecución 26;0.0010348
Ejecución 27;0.0020383
Ejecución 28;0.0020027
Ejecución 29;0.0019588
Ejecución 30;0.0020416
Ejecución 31;0.0009992
Ejecución 32;0.001
Ejecución 33;0.0019984
Ejecución 34;0.0020027
Ejecución 35;0.0019996
Ejecución 36;0.0020001
Ejecución 37;0.0010034
Ejecución 38;0.0020019
Ejecución 39;0.0019999
Ejecución 40;0.0020009
Ejecución 41;0.0019636
Ejecución 42;0.0010004
Ejecución 43;0.0009995
Ejecución 44;0.0020006
Ejecución 45;0.002
Ejecución 46;0.0020007
Ejecución 47;0.0019999
Ejecución 48;0.0040345
Ejecución 49;0.0020001
Ejecución 50;0.0020006
Ejecución 51;0.0020011
Ejecución 52;0.0020021
Ejecución 53;0.0010015
Ejecución 54;0.0020035
Ejecución 55;0.0020004
Ejecución 56;0.0019996
Ejecución 57;0.0019636
Ejecución 58;0.0010303
Ejecución 59;0.0010333
Ejecución 60;0.0019968
Ejecución 61;0.0020007
Ejecución 62;0.0019994
Ejecución 63;0.0009977
Ejecución 64;0.0020048
Ejecución 65;0.001994
Ejecución 66;0.0020042
Ejecución 67;0.0019953
Ejecución 68;0.0019999
