Algoritmo;Heap_Sort
Tamaño;500000
Orden;asc
Repeticiones;100
Máquina;Vale
Tiempo total;35.4728s
Tiempo promedio;0.354728s
Tiempos individuales (s):
Ejecución 1;0.394006
Ejecución 2;0.396969
Ejecución 3;0.375148
Ejecución 4;0.386798
Ejecución 5;0.358563
Ejecución 6;0.362111
Ejecución 7;0.378486
Ejecución 8;0.410044
Ejecución 9;0.387638
Ejecución 10;0.360712
Ejecución 11;0.367558
Ejecución 12;0.360013
Ejecución 13;0.34815
Ejecución 14;0.350108
Ejecución 15;0.357557
Ejecución 16;0.345011
Ejecución 17;0.362769
Ejecución 18;0.348002
Ejecución 19;0.358047
Ejecución 20;0.359181
Ejecución 21;0.354484
Ejecución 22;0.344048
Ejecución 23;0.355609
Ejecución 24;0.347187
Ejecución 25;0.351549
Ejecución 26;0.364662
Ejecución 27;0.351014
Ejecución 28;0.363674
Ejecución 29;0.341017
Ejecución 30;0.342014
Ejecución 31;0.362042
Ejecución 32;0.342572
Ejecución 33;0.341011
Ejecución 34;0.34801
Ejecución 35;0.355048
Ejecución 36;0.358591
Ejecución 37;0.350518
Ejecución 38;0.349009
Ejecución 39;0.367071
Ejecución 40;0.347013
Ejecución 41;0.34001
Ejecución 42;0.35819
Ejecución 43;0.350563
Ejecución 44;0.353731
Ejecución 45;0.343568
Ejecución 46;0.349664
Ejecución 47;0.347967
Ejecución 48;0.349033
Ejecución 49;0.345565
Ejecución 50;0.350566
Ejecución 51;0.343024
Ejecución 52;0.347014
Ejecución 53;0.350648
Ejecución 54;0.341566
Ejecución 55;0.346013
Ejecución 56;0.347043
Ejecución 57;0.341562
Ejecución 58;0.351013
Ejecución 59;0.347016
Ejecución 60;0.339014
Ejecución 61;0.347119
Ejecución 62;0.344013
Ejecución 63;0.341067
Ejecución 64;0.352226
Ejecución 65;0.343523
Ejecución 66;0.355043
Ejecución 67;0.359967
Ejecución 68;0.34962
Ejecución 69;0.36359
Ejecución 70;0.345575
Ejecución 71;0.343963
Ejecución 72;0.356569
Ejecución 73;0.378527
Ejecución 74;0.363563
Ejecución 75;0.366162
Ejecución 76;0.351084
Ejecución 77;0.356012
Ejecución 78;0.352002
Ejecución 79;0.342512
Ejecución 80;0.361045
Ejecución 81;0.362043
Ejecución 82;0.350109
Ejecución 83;0.3676
Ejecución 84;0.343563
Ejecución 85;0.35297
Ejecución 86;0.348982
Ejecución 87;0.346942
Ejecución 88;0.365058
Ejecución 89;0.348564
Ejecución 90;0.343481
Ejecución 91;0.365014
Ejecución 92;0.347111
Ejecución 93;0.352175
Ejecución 94;0.346514
Ejecución 95;0.347612
Ejecución 96;0.357503
Ejecución 97;0.360567
Ejecución 98;0.342012
Ejecución 99;0.357016
Ejecución 100;0.349011
