Algoritmo;Heap_Sort
Tamaño;500000
Orden;shuffled
Repeticiones;100
Máquina;Vale
Tiempo total;37.6002s
Tiempo promedio;0.376002s
Tiempos individuales (s):
Ejecución 1;0.423005
Ejecución 2;0.413004
Ejecución 3;0.400963
Ejecución 4;0.384127
Ejecución 5;0.422587
Ejecución 6;0.410045
Ejecución 7;0.375016
Ejecución 8;0.380455
Ejecución 9;0.372013
Ejecución 10;0.39811
Ejecución 11;0.370019
Ejecución 12;0.387654
Ejecución 13;0.38522
Ejecución 14;0.376002
Ejecución 15;0.38112
Ejecución 16;0.363392
Ejecución 17;0.366011
Ejecución 18;0.385335
Ejecución 19;0.369533
Ejecución 20;0.377046
Ejecución 21;0.366013
Ejecución 22;0.36355
Ejecución 23;0.375487
Ejecución 24;0.381584
Ejecución 25;0.391167
Ejecución 26;0.366014
Ejecución 27;0.368493
Ejecución 28;0.393741
Ejecución 29;0.3626
Ejecución 30;0.374976
Ejecución 31;0.366014
Ejecución 32;0.366729
Ejecución 33;0.372007
Ejecución 34;0.367012
Ejecución 35;0.369523
Ejecución 36;0.378
Ejecución 37;0.363011
Ejecución 38;0.369013
Ejecución 39;0.371475
Ejecución 40;0.368052
Ejecución 41;0.376848
Ejecución 42;0.374551
Ejecución 43;0.379522
Ejecución 44;0.365968
Ejecución 45;0.408598
Ejecución 46;0.377562
Ejecución 47;0.385506
Ejecución 48;0.369515
Ejecución 49;0.376605
Ejecución 50;0.382565
Ejecución 51;0.390568
Ejecución 52;0.396014
Ejecución 53;0.367568
Ejecución 54;0.36901
Ejecución 55;0.371107
Ejecución 56;0.370717
Ejecución 57;0.368014
Ejecución 58;0.364015
Ejecución 59;0.370597
Ejecución 60;0.37457
Ejecución 61;0.382015
Ejecución 62;0.367111
Ejecución 63;0.366589
Ejecución 64;0.377015
Ejecución 65;0.37201
Ejecución 66;0.390608
Ejecución 67;0.364563
Ejecución 68;0.37036
Ejecución 69;0.371108
Ejecución 70;0.36859
Ejecución 71;0.367567
Ejecución 72;0.373011
Ejecución 73;0.361118
Ejecución 74;0.400561
Ejecución 75;0.37257
Ejecución 76;0.364445
Ejecución 77;0.369063
Ejecución 78;0.364195
Ejecución 79;0.372566
Ejecución 80;0.378614
Ejecución 81;0.369013
Ejecución 82;0.373013
Ejecución 83;0.369046
Ejecución 84;0.373558
Ejecución 85;0.362011
Ejecución 86;0.362523
Ejecución 87;0.380565
Ejecución 88;0.367013
Ejecución 89;0.384557
Ejecución 90;0.368259
Ejecución 91;0.370012
Ejecución 92;0.375046
Ejecución 93;0.370173
Ejecución 94;0.365567
Ejecución 95;0.373055
Ejecución 96;0.367015
Ejecución 97;0.38478
Ejecución 98;0.364004
Ejecución 99;0.37618
Ejecución 100;0.376565
