Algoritmo;Heap_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;2.65493s
Tiempo promedio;0.00265493s
Tiempos individuales (s):
Ejecución 1;0.0029965
Ejecución 2;0.0029768
Ejecución 3;0.0050015
Ejecución 4;0.0029576
Ejecución 5;0.0030411
Ejecución 6;0.0029592
Ejecución 7;0.0029628
Ejecución 8;0.0030365
Ejecución 9;0.0029649
Ejecución 10;0.0029656
Ejecución 11;0.0030373
Ejecución 12;0.0029616
Ejecución 13;0.0029571
Ejecución 14;0.003047
Ejecución 15;0.0030004
Ejecución 16;0.0020447
Ejecución 17;0.002965
Ejecución 18;0.0030401
Ejecución 19;0.0029613
Ejecución 20;0.0030388
Ejecución 21;0.0020058
Ejecución 22;0.0029599
Ejecución 23;0.0030395
Ejecución 24;0.0029539
Ejecución 25;0.0030465
Ejecución 26;0.002001
Ejecución 27;0.0029609
Ejecución 28;0.0030433
Ejecución 29;0.0029517
Ejecución 30;0.0020039
Ejecución 31;0.0030417
Ejecución 32;0.0029622
Ejecución 33;0.003041
Ejecución 34;0.0029517
Ejecución 35;0.0029661
Ejecución 36;0.0030386
Ejecución 37;0.0029622
Ejecución 38;0.0030425
Ejecución 39;0.0019926
Ejecución 40;0.0029653
Ejecución 41;0.0030402
Ejecución 42;0.0029585
Ejecución 43;0.0030415
Ejecución 44;0.0029574
Ejecución 45;0.0020035
Ejecución 46;0.0030458
Ejecución 47;0.003
Ejecución 48;0.0030002
Ejecución 49;0.0030012
Ejecución 50;0.0029988
Ejecución 51;0.0030043
Ejecución 52;0.0029967
Ejecución 53;0.0030003
Ejecución 54;0.0030008
Ejecución 55;0.0030017
Ejecución 56;0.0029987
Ejecución 57;0.0029948
Ejecución 58;0.00301
Ejecución 59;0.0029949
Ejecución 60;0.0020011
Ejecución 61;0.0019974
Ejecución 62;0.0020033
Ejecución 63;0.0019997
Ejecución 64;0.0020054
Ejecución 65;0.0019919
Ejecución 66;0.0029557
Ejecución 67;0.0029989
Ejecución 68;0.0030424
Ejecución 69;0.0029649
Ejecución 70;0.0029641
Ejecución 71;0.0030385
Ejecución 72;0.0029623
Ejecución 73;0.0030383
Ejecución 74;0.0020001
Ejecución 75;0.0029586
Ejecución 76;0.0030432
Ejecución 77;0.0030033
Ejecución 78;0.0020384
Ejecución 79;0.0029585
Ejecución 80;0.0030424
Ejecución 81;0.002957
Ejecución 82;0.0020003
Ejecución 83;0.0030378
Ejecución 84;0.0029589
Ejecución 85;0.0030415
Ejecución 86;0.0030019
Ejecución 87;0.0029528
Ejecución 88;0.0020499
Ejecución 89;0.0029554
Ejecución 90;0.0030452
Ejecución 91;0.0029558
Ejecución 92;0.0020025
Ejecución 93;0.0030387
Ejecución 94;0.0029587
Ejecución 95;0.0030443
Ejecución 96;0.0029949
Ejecución 97;0.0029972
Ejecución 98;0.0029566
Ejecución 99;0.0030447
Ejecución 100;0.0029614
Ejecución 101;0.0030029
Ejecución 102;0.0029551
Ejecución 103;0.0030422
Ejecución 104;0.0020449
Ejecución 105;0.002006
Ejecución 106;0.0020091
Ejecución 107;0.002006
Ejecución 108;0.0020018
Ejecución 109;0.0020048
Ejecución 110;0.001952
Ejecución 111;0.0030023
Ejecución 112;0.002999
Ejecución 113;0.0030025
Ejecución 114;0.002998
Ejecución 115;0.0030007
Ejecución 116;0.0030026
Ejecución 117;0.0029997
Ejecución 118;0.0029988
Ejecución 119;0.0030012
Ejecución 120;0.0030048
Ejecución 121;0.0029958
Ejecución 122;0.0029998
Ejecución 123;0.0030018
Ejecución 124;0.0029992
Ejecución 125;0.0030006
Ejecución 126;0.0030023
Ejecución 127;0.0029982
Ejecución 128;0.0020031
Ejecución 129;0.002006
Ejecución 130;0.0020085
Ejecución 131;0.0020018
Ejecución 132;0.0019613
Ejecución 133;0.0030045
Ejecución 134;0.0029956
Ejecución 135;0.0029999
Ejecución 136;0.0030015
Ejecución 137;0.0029999
Ejecución 138;0.0029574
Ejecución 139;0.0030434
Ejecución 140;0.0020392
Ejecución 141;0.0020062
Ejecución 142;0.0030055
Ejecución 143;0.0029536
Ejecución 144;0.0030476
Ejecución 145;0.0029999
Ejecución 146;0.0030043
Ejecución 147;0.0029973
Ejecución 148;0.0030001
Ejecución 149;0.0029997
Ejecución 150;0.0030051
Ejecución 151;0.0029965
Ejecución 152;0.0029644
Ejecución 153;0.001997
Ejecución 154;0.0029997
Ejecución 155;0.0030008
Ejecución 156;0.0030001
Ejecución 157;0.0029978
Ejecución 158;0.0030013
Ejecución 159;0.002999
Ejecución 160;0.0030009
Ejecución 161;0.0019982
Ejecución 162;0.0029985
Ejecución 163;0.0030008
Ejecución 164;0.0029997
Ejecución 165;0.0019983
Ejecución 166;0.0029977
Ejecución 167;0.003
Ejecución 168;0.0030013
Ejecución 169;0.0019975
Ejecución 170;0.0019985
Ejecución 171;0.0019888
Ejecución 172;0.0029986
Ejecución 173;0.0030002
Ejecución 174;0.0030004
Ejecución 175;0.0030005
Ejecución 176;0.0065285
Ejecución 177;0.001998
Ejecución 178;0.0019973
Ejecución 179;0.0029987
Ejecución 180;0.0030014
Ejecución 181;0.0029995
Ejecución 182;0.0030006
Ejecución 183;0.0030004
Ejecución 184;0.003001
Ejecución 185;0.0029999
Ejecución 186;0.0019985
Ejecución 187;0.0019977
Ejecución 188;0.0019979
Ejecución 189;0.0029984
Ejecución 190;0.0040028
Ejecución 191;0.0029993
Ejecución 192;0.0030001
Ejecución 193;0.0030001
Ejecución 194;0.0019976
Ejecución 195;0.0030005
Ejecución 196;0.0030001
Ejecución 197;0.0030011
Ejecución 198;0.0019982
Ejecución 199;0.0029997
Ejecución 200;0.0030009
Ejecución 201;0.0029995
Ejecución 202;0.0030016
Ejecución 203;0.0019986
Ejecución 204;0.0019977
Ejecución 205;0.002989
Ejecución 206;0.0029986
Ejecución 207;0.0030003
Ejecución 208;0.0029981
Ejecución 209;0.0029999
Ejecución 210;0.0030011
Ejecución 211;0.0019981
Ejecución 212;0.0029996
Ejecución 213;0.0030015
Ejecución 214;0.0029994
Ejecución 215;0.0019981
Ejecución 216;0.0030007
Ejecución 217;0.0030009
Ejecución 218;0.0029999
Ejecución 219;0.0019982
Ejecución 220;0.0019982
Ejecución 221;0.0030006
Ejecución 222;0.0030014
Ejecución 223;0.0029993
Ejecución 224;0.0030001
Ejecución 225;0.0030006
Ejecución 226;0.0030006
Ejecución 227;0.0030004
Ejecución 228;0.0019984
Ejecución 229;0.0019986
Ejecución 230;0.0019972
Ejecución 231;0.0019989
Ejecución 232;0.0030009
Ejecución 233;0.0029997
Ejecución 234;0.0030019
Ejecución 235;0.002999
Ejecución 236;0.0030006
Ejecución 237;0.003
Ejecución 238;0.0030006
Ejecución 239;0.0030005
Ejecución 240;0.0035337
Ejecución 241;0.0030004
Ejecución 242;0.0030014
Ejecución 243;0.0029996
Ejecución 244;0.0030005
Ejecución 245;0.0065309
Ejecución 246;0.0030017
Ejecución 247;0.0029986
Ejecución 248;0.0030012
Ejecución 249;0.0029996
Ejecución 250;0.003
Ejecución 251;0.0029971
Ejecución 252;0.0030008
Ejecución 253;0.002999
Ejecución 254;0.0030589
Ejecución 255;0.0020007
Ejecución 256;0.0029664
Ejecución 257;0.0029936
Ejecución 258;0.0030067
Ejecución 259;0.0029662
Ejecución 260;0.0030034
Ejecución 261;0.0029975
Ejecución 262;0.0030394
Ejecución 263;0.0019926
Ejecución 264;0.0029985
Ejecución 265;0.0029975
Ejecución 266;0.0029651
Ejecución 267;0.0030379
Ejecución 268;0.0029629
Ejecución 269;0.0029927
Ejecución 270;0.0019615
Ejecución 271;0.0029634
Ejecución 272;0.0030391
Ejecución 273;0.0029609
Ejecución 274;0.003038
Ejecución 275;0.0019998
Ejecución 276;0.0029623
Ejecución 277;0.003041
Ejecución 278;0.0029595
Ejecución 279;0.0030382
Ejecución 280;0.0020372
Ejecución 281;0.0030018
Ejecución 282;0.0029981
Ejecución 283;0.0029635
Ejecución 284;0.003037
Ejecución 285;0.0029997
Ejecución 286;0.0030049
Ejecución 287;0.0029976
Ejecución 288;0.0030016
Ejecución 289;0.0030008
Ejecución 290;0.0030006
Ejecución 291;0.0030003
Ejecución 292;0.0030004
Ejecución 293;0.0029606
Ejecución 294;0.0030007
Ejecución 295;0.0020025
Ejecución 296;0.0030052
Ejecución 297;0.0029904
Ejecución 298;0.0030067
Ejecución 299;0.0020057
Ejecución 300;0.0030062
Ejecución 301;0.0029982
Ejecución 302;0.0029997
Ejecución 303;0.003004
Ejecución 304;0.0029963
Ejecución 305;0.0030055
Ejecución 306;0.0030029
Ejecución 307;0.0019868
Ejecución 308;0.0019977
Ejecución 309;0.0019965
Ejecución 310;0.0019994
Ejecución 311;0.0020022
Ejecución 312;0.0020105
Ejecución 313;0.0019998
Ejecución 314;0.0030036
Ejecución 315;0.0029998
Ejecución 316;0.0030016
Ejecución 317;0.0030012
Ejecución 318;0.0029594
Ejecución 319;0.0029981
Ejecución 320;0.0030006
Ejecución 321;0.0030004
Ejecución 322;0.0030009
Ejecución 323;0.0030009
Ejecución 324;0.0029999
Ejecución 325;0.0019999
Ejecución 326;0.0019994
Ejecución 327;0.0019986
Ejecución 328;0.0019985
Ejecución 329;0.0019985
Ejecución 330;0.0030004
Ejecución 331;0.0030003
Ejecución 332;0.0030004
Ejecución 333;0.0030005
Ejecución 334;0.0020009
Ejecución 335;0.0019999
Ejecución 336;0.0019994
Ejecución 337;0.0019988
Ejecución 338;0.0019991
Ejecución 339;0.0019996
Ejecución 340;0.0029992
Ejecución 341;0.0030004
Ejecución 342;0.0030003
Ejecución 343;0.0030005
Ejecución 344;0.0030022
Ejecución 345;0.0030017
Ejecución 346;0.0029999
Ejecución 347;0.0019986
Ejecución 348;0.0019987
Ejecución 349;0.0020005
Ejecución 350;0.0019978
Ejecución 351;0.001998
Ejecución 352;0.0019976
Ejecución 353;0.0030011
Ejecución 354;0.0029998
Ejecución 355;0.0030009
Ejecución 356;0.0030003
Ejecución 357;0.003001
Ejecución 358;0.0029993
Ejecución 359;0.0020005
Ejecución 360;0.0029996
Ejecución 361;0.0030009
Ejecución 362;0.0029999
Ejecución 363;0.0030013
Ejecución 364;0.0029996
Ejecución 365;0.0030008
Ejecución 366;0.0020009
Ejecución 367;0.0019981
Ejecución 368;0.001998
Ejecución 369;0.0019976
Ejecución 370;0.0030021
Ejecución 371;0.0029992
Ejecución 372;0.0030003
Ejecución 373;0.0029999
Ejecución 374;0.0030009
Ejecución 375;0.0020007
Ejecución 376;0.0019981
Ejecución 377;0.0019983
Ejecución 378;0.0019985
Ejecución 379;0.0019984
Ejecución 380;0.0029997
Ejecución 381;0.0025077
Ejecución 382;0.0019984
Ejecución 383;0.0019977
Ejecución 384;0.0019989
Ejecución 385;0.0019983
Ejecución 386;0.0030024
Ejecución 387;0.0029993
Ejecución 388;0.001998
Ejecución 389;0.0029984
Ejecución 390;0.0029999
Ejecución 391;0.0030011
Ejecución 392;0.0029994
Ejecución 393;0.0030014
Ejecución 394;0.0029996
Ejecución 395;0.0030006
Ejecución 396;0.0020008
Ejecución 397;0.0019958
Ejecución 398;0.0019984
Ejecución 399;0.0019985
Ejecución 400;0.0019995
Ejecución 401;0.0029997
Ejecución 402;0.0060008
Ejecución 403;0.0030004
Ejecución 404;0.0030004
Ejecución 405;0.0030005
Ejecución 406;0.0030011
Ejecución 407;0.0029998
Ejecución 408;0.0030003
Ejecución 409;0.0030005
Ejecución 410;0.0030005
Ejecución 411;0.0020002
Ejecución 412;0.0019996
Ejecución 413;0.0019985
Ejecución 414;0.0019985
Ejecución 415;0.0019985
