Algoritmo;Merge_Sort
Tamaño;500000
Orden;asc
Repeticiones;100
Máquina;Vale
Tiempo total;14.9508s
Tiempo promedio;0.149508s
Tiempos individuales (s):
Ejecución 1;0.159115
Ejecución 2;0.152206
Ejecución 3;0.147628
Ejecución 4;0.148435
Ejecución 5;0.156348
Ejecución 6;0.146184
Ejecución 7;0.155521
Ejecución 8;0.14923
Ejecución 9;0.148445
Ejecución 10;0.147104
Ejecución 11;0.146187
Ejecución 12;0.146466
Ejecución 13;0.148396
Ejecución 14;0.150277
Ejecución 15;0.147342
Ejecución 16;0.158487
Ejecución 17;0.148341
Ejecución 18;0.148077
Ejecución 19;0.148979
Ejecución 20;0.152603
Ejecución 21;0.154997
Ejecución 22;0.16098
Ejecución 23;0.162422
Ejecución 24;0.163968
Ejecución 25;0.174566
Ejecución 26;0.162306
Ejecución 27;0.171087
Ejecución 28;0.239244
Ejecución 29;0.166792
Ejecución 30;0.166808
Ejecución 31;0.179784
Ejecución 32;0.156587
Ejecución 33;0.150397
Ejecución 34;0.152169
Ejecución 35;0.149577
Ejecución 36;0.144792
Ejecución 37;0.145741
Ejecución 38;0.15056
Ejecución 39;0.147551
Ejecución 40;0.148
Ejecución 41;0.149545
Ejecución 42;0.147127
Ejecución 43;0.146774
Ejecución 44;0.154365
Ejecución 45;0.144886
Ejecución 46;0.146674
Ejecución 47;0.145361
Ejecución 48;0.148268
Ejecución 49;0.147728
Ejecución 50;0.142426
Ejecución 51;0.145786
Ejecución 52;0.14935
Ejecución 53;0.146862
Ejecución 54;0.148692
Ejecución 55;0.151299
Ejecución 56;0.147524
Ejecución 57;0.141802
Ejecución 58;0.143614
Ejecución 59;0.145257
Ejecución 60;0.157746
Ejecución 61;0.148668
Ejecución 62;0.148266
Ejecución 63;0.141823
Ejecución 64;0.141669
Ejecución 65;0.146908
Ejecución 66;0.145286
Ejecución 67;0.146212
Ejecución 68;0.151917
Ejecución 69;0.144904
Ejecución 70;0.13877
Ejecución 71;0.141165
Ejecución 72;0.141777
Ejecución 73;0.138268
Ejecución 74;0.134834
Ejecución 75;0.138988
Ejecución 76;0.142592
Ejecución 77;0.14205
Ejecución 78;0.142675
Ejecución 79;0.145436
Ejecución 80;0.146553
Ejecución 81;0.147823
Ejecución 82;0.142378
Ejecución 83;0.140358
Ejecución 84;0.14137
Ejecución 85;0.143205
Ejecución 86;0.138351
Ejecución 87;0.138673
Ejecución 88;0.138881
Ejecución 89;0.145584
Ejecución 90;0.141493
Ejecución 91;0.143742
Ejecución 92;0.142084
Ejecución 93;0.150678
Ejecución 94;0.164661
Ejecución 95;0.145319
Ejecución 96;0.147457
Ejecución 97;0.144285
Ejecución 98;0.14154
Ejecución 99;0.14241
Ejecución 100;0.136953
