Algoritmo;Merge_Sort
Tamaño;500000
Orden;shuffled
Repeticiones;100
Máquina;Vale
Tiempo total;17.1815s
Tiempo promedio;0.171815s
Tiempos individuales (s):
Ejecución 1;0.202691
Ejecución 2;0.193485
Ejecución 3;0.190013
Ejecución 4;0.187246
Ejecución 5;0.194187
Ejecución 6;0.1904
Ejecución 7;0.186768
Ejecución 8;0.172983
Ejecución 9;0.175279
Ejecución 10;0.17704
Ejecución 11;0.182866
Ejecución 12;0.171914
Ejecución 13;0.17041
Ejecución 14;0.171098
Ejecución 15;0.173177
Ejecución 16;0.180681
Ejecución 17;0.174327
Ejecución 18;0.170119
Ejecución 19;0.169021
Ejecución 20;0.177041
Ejecución 21;0.17335
Ejecución 22;0.177102
Ejecución 23;0.167191
Ejecución 24;0.16705
Ejecución 25;0.169372
Ejecución 26;0.172554
Ejecución 27;0.177389
Ejecución 28;0.167402
Ejecución 29;0.166431
Ejecución 30;0.167686
Ejecución 31;0.166257
Ejecución 32;0.173818
Ejecución 33;0.166978
Ejecución 34;0.167126
Ejecución 35;0.166212
Ejecución 36;0.169589
Ejecución 37;0.173341
Ejecución 38;0.16701
Ejecución 39;0.16555
Ejecución 40;0.165129
Ejecución 41;0.171057
Ejecución 42;0.170411
Ejecución 43;0.169972
Ejecución 44;0.166358
Ejecución 45;0.165462
Ejecución 46;0.167824
Ejecución 47;0.167811
Ejecución 48;0.179243
Ejecución 49;0.166886
Ejecución 50;0.166119
Ejecución 51;0.165933
Ejecución 52;0.166673
Ejecución 53;0.17437
Ejecución 54;0.166871
Ejecución 55;0.166124
Ejecución 56;0.166182
Ejecución 57;0.174449
Ejecución 58;0.17426
Ejecución 59;0.166384
Ejecución 60;0.165514
Ejecución 61;0.16625
Ejecución 62;0.169509
Ejecución 63;0.167435
Ejecución 64;0.170256
Ejecución 65;0.165157
Ejecución 66;0.168036
Ejecución 67;0.167198
Ejecución 68;0.166161
Ejecución 69;0.174426
Ejecución 70;0.169223
Ejecución 71;0.16643
Ejecución 72;0.170412
Ejecución 73;0.168497
Ejecución 74;0.179295
Ejecución 75;0.167629
Ejecución 76;0.165399
Ejecución 77;0.176877
Ejecución 78;0.168106
Ejecución 79;0.17513
Ejecución 80;0.167175
Ejecución 81;0.177455
Ejecución 82;0.169006
Ejecución 83;0.167888
Ejecución 84;0.177149
Ejecución 85;0.169697
Ejecución 86;0.16851
Ejecución 87;0.165923
Ejecución 88;0.169279
Ejecución 89;0.166471
Ejecución 90;0.175537
Ejecución 91;0.166992
Ejecución 92;0.170301
Ejecución 93;0.1734
Ejecución 94;0.170125
Ejecución 95;0.18375
Ejecución 96;0.167335
Ejecución 97;0.166504
Ejecución 98;0.168877
Ejecución 99;0.171599
Ejecución 100;0.171916
