Algoritmo;Quick_Sort
Tamaño;500000
Orden;shuffled
Repeticiones;100
Máquina;Vale
Tiempo total;123.43s
Tiempo promedio;1.2343s
Tiempos individuales (s):
Ejecución 1;1.25862
Ejecución 2;1.17215
Ejecución 3;1.29886
Ejecución 4;1.25448
Ejecución 5;1.34258
Ejecución 6;1.26324
Ejecución 7;1.29133
Ejecución 8;1.31968
Ejecución 9;1.20537
Ejecución 10;1.27682
Ejecución 11;1.22568
Ejecución 12;1.29618
Ejecución 13;1.25673
Ejecución 14;1.14055
Ejecución 15;1.21664
Ejecución 16;1.19315
Ejecución 17;1.1242
Ejecución 18;1.11874
Ejecución 19;1.14076
Ejecución 20;1.11681
Ejecución 21;1.17413
Ejecución 22;1.15124
Ejecución 23;1.11661
Ejecución 24;1.16277
Ejecución 25;1.11161
Ejecución 26;1.13563
Ejecución 27;1.11807
Ejecución 28;1.12452
Ejecución 29;1.35869
Ejecución 30;1.73285
Ejecución 31;1.29294
Ejecución 32;1.33387
Ejecución 33;1.2481
Ejecución 34;1.21932
Ejecución 35;1.2409
Ejecución 36;1.32968
Ejecución 37;1.28274
Ejecución 38;1.41853
Ejecución 39;1.3861
Ejecución 40;1.37259
Ejecución 41;1.28795
Ejecución 42;1.24071
Ejecución 43;1.32122
Ejecución 44;1.28392
Ejecución 45;1.18078
Ejecución 46;1.18655
Ejecución 47;1.29456
Ejecución 48;1.25131
Ejecución 49;1.31867
Ejecución 50;1.22616
Ejecución 51;1.29948
Ejecución 52;1.24659
Ejecución 53;1.24393
Ejecución 54;1.25855
Ejecución 55;1.29918
Ejecución 56;1.23445
Ejecución 57;1.24853
Ejecución 58;1.3073
Ejecución 59;1.25165
Ejecución 60;1.28055
Ejecución 61;1.1653
Ejecución 62;1.30299
Ejecución 63;1.27359
Ejecución 64;1.16957
Ejecución 65;1.12956
Ejecución 66;1.13762
Ejecución 67;1.14473
Ejecución 68;1.14513
Ejecución 69;1.13723
Ejecución 70;1.13164
Ejecución 71;1.13181
Ejecución 72;1.11981
Ejecución 73;1.15849
Ejecución 74;1.1252
Ejecución 75;1.14622
Ejecución 76;1.12262
Ejecución 77;1.15161
Ejecución 78;1.18252
Ejecución 79;1.29593
Ejecución 80;1.29651
Ejecución 81;1.24079
Ejecución 82;1.26076
Ejecución 83;1.24563
Ejecución 84;1.17462
Ejecución 85;1.14671
Ejecución 86;1.17451
Ejecución 87;1.24747
Ejecución 88;1.26412
Ejecución 89;1.23371
Ejecución 90;1.2434
Ejecución 91;1.26218
Ejecución 92;1.26515
Ejecución 93;1.19063
Ejecución 94;1.26907
Ejecución 95;1.33929
Ejecución 96;1.2335
Ejecución 97;1.27132
Ejecución 98;1.30175
Ejecución 99;1.27056
Ejecución 100;1.24157
