Algoritmo;Quick_Sort
Tamaño;50000
Orden;desc
Repeticiones;100
Máquina;Vale
Tiempo total;29.6378s
Tiempo promedio;0.296378s
Tiempos individuales (s):
Ejecución 1;0.309513
Ejecución 2;0.315036
Ejecución 3;0.316059
Ejecución 4;0.313004
Ejecución 5;0.313
Ejecución 6;0.316519
Ejecución 7;0.306656
Ejecución 8;0.299998
Ejecución 9;0.389966
Ejecución 10;0.316584
Ejecución 11;0.332159
Ejecución 12;0.322037
Ejecución 13;0.362917
Ejecución 14;0.315294
Ejecución 15;0.328511
Ejecución 16;0.311551
Ejecución 17;0.301039
Ejecución 18;0.279156
Ejecución 19;0.296008
Ejecución 20;0.306593
Ejecución 21;0.274008
Ejecución 22;0.292009
Ejecución 23;0.292965
Ejecución 24;0.280922
Ejecución 25;0.279558
Ejecución 26;0.290001
Ejecución 27;0.281483
Ejecución 28;0.268559
Ejecución 29;0.292092
Ejecución 30;0.280514
Ejecución 31;0.286011
Ejecución 32;0.272004
Ejecución 33;0.28301
Ejecución 34;0.283047
Ejecución 35;0.270642
Ejecución 36;0.291509
Ejecución 37;0.274613
Ejecución 38;0.284011
Ejecución 39;0.274603
Ejecución 40;0.279003
Ejecución 41;0.280008
Ejecución 42;0.275608
Ejecución 43;0.275968
Ejecución 44;0.280592
Ejecución 45;0.28001
Ejecución 46;0.268007
Ejecución 47;0.283009
Ejecución 48;0.284568
Ejecución 49;0.274519
Ejecución 50;0.302004
Ejecución 51;0.322827
Ejecución 52;0.349998
Ejecución 53;0.315592
Ejecución 54;0.309965
Ejecución 55;0.306002
Ejecución 56;0.314997
Ejecución 57;0.327152
Ejecución 58;0.34
Ejecución 59;0.326002
Ejecución 60;0.327996
Ejecución 61;0.362001
Ejecución 62;0.398996
Ejecución 63;0.342
Ejecución 64;0.386999
Ejecución 65;0.340998
Ejecución 66;0.311548
Ejecución 67;0.304003
Ejecución 68;0.309
Ejecución 69;0.282471
Ejecución 70;0.285504
Ejecución 71;0.27201
Ejecución 72;0.276592
Ejecución 73;0.273002
Ejecución 74;0.291197
Ejecución 75;0.281479
Ejecución 76;0.271559
Ejecución 77;0.284521
Ejecución 78;0.26798
Ejecución 79;0.267495
Ejecución 80;0.266554
Ejecución 81;0.332658
Ejecución 82;0.273047
Ejecución 83;0.282008
Ejecución 84;0.279562
Ejecución 85;0.267008
Ejecución 86;0.267005
Ejecución 87;0.26801
Ejecución 88;0.284007
Ejecución 89;0.270557
Ejecución 90;0.272007
Ejecución 91;0.282009
Ejecución 92;0.277517
Ejecución 93;0.267157
Ejecución 94;0.277006
Ejecución 95;0.280571
Ejecución 96;0.268043
Ejecución 97;0.267008
Ejecución 98;0.267164
Ejecución 99;0.281556
Ejecución 100;0.271011
