Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;24.38s
Tiempo promedio;0.02438s
Tiempos individuales (s):
Ejecución 1;0.0309969
Ejecución 2;0.0275976
Ejecución 3;0.0280044
Ejecución 4;0.0280066
Ejecución 5;0.0279995
Ejecución 6;0.0279675
Ejecución 7;0.0280038
Ejecución 8;0.0313474
Ejecución 9;0.0269678
Ejecución 10;0.0290037
Ejecución 11;0.035
Ejecución 12;0.0280489
Ejecución 13;0.027001
Ejecución 14;0.0300156
Ejecución 15;0.0275337
Ejecución 16;0.0270023
Ejecución 17;0.0270009
Ejecución 18;0.028005
Ejecución 19;0.0270037
Ejecución 20;0.0280415
Ejecución 21;0.0280086
Ejecución 22;0.0280001
Ejecución 23;0.0270076
Ejecución 24;0.0279554
Ejecución 25;0.0280157
Ejecución 26;0.0280005
Ejecución 27;0.0280404
Ejecución 28;0.0270068
Ejecución 29;0.0280018
Ejecución 30;0.0279687
Ejecución 31;0.0269708
Ejecución 32;0.0270034
Ejecución 33;0.0260032
Ejecución 34;0.0260032
Ejecución 35;0.0260401
Ejecución 36;0.0269573
Ejecución 37;0.0280503
Ejecución 38;0.0269997
Ejecución 39;0.0270086
Ejecución 40;0.0260065
Ejecución 41;0.0250037
Ejecución 42;0.0250029
Ejecución 43;0.0250074
Ejecución 44;0.0250036
Ejecución 45;0.0250001
Ejecución 46;0.0250085
Ejecución 47;0.0259913
Ejecución 48;0.0270001
Ejecución 49;0.0250114
Ejecución 50;0.0250043
Ejecución 51;0.0269971
Ejecución 52;0.0250103
Ejecución 53;0.024005
Ejecución 54;0.0240147
Ejecución 55;0.0240096
Ejecución 56;0.0250029
Ejecución 57;0.0240039
Ejecución 58;0.0275147
Ejecución 59;0.0250475
Ejecución 60;0.0240024
Ejecución 61;0.0240054
Ejecución 62;0.0250001
Ejecución 63;0.0250033
Ejecución 64;0.0250023
Ejecución 65;0.0280049
Ejecución 66;0.0275861
Ejecución 67;0.0260075
Ejecución 68;0.0250013
Ejecución 69;0.0240036
Ejecución 70;0.0239977
Ejecución 71;0.0250077
Ejecución 72;0.0240007
Ejecución 73;0.0239983
Ejecución 74;0.0240105
Ejecución 75;0.0250049
Ejecución 76;0.0240031
Ejecución 77;0.0240055
Ejecución 78;0.025011
Ejecución 79;0.0240033
Ejecución 80;0.0240066
Ejecución 81;0.0244492
Ejecución 82;0.0250011
Ejecución 83;0.0240054
Ejecución 84;0.0240116
Ejecución 85;0.0250033
Ejecución 86;0.0240037
Ejecución 87;0.0240119
Ejecución 88;0.0270026
Ejecución 89;0.0260047
Ejecución 90;0.0245826
Ejecución 91;0.025006
Ejecución 92;0.0239932
Ejecución 93;0.0240144
Ejecución 94;0.0240127
Ejecución 95;0.0240111
Ejecución 96;0.0250087
Ejecución 97;0.0239993
Ejecución 98;0.0240096
Ejecución 99;0.0250037
Ejecución 100;0.0240074
Ejecución 101;0.0240096
Ejecución 102;0.0240091
Ejecución 103;0.0250036
Ejecución 104;0.0240048
Ejecución 105;0.0260012
Ejecución 106;0.0270012
Ejecución 107;0.0260034
Ejecución 108;0.0250032
Ejecución 109;0.0250057
Ejecución 110;0.0244712
Ejecución 111;0.0250044
Ejecución 112;0.0250423
Ejecución 113;0.025004
Ejecución 114;0.0240079
Ejecución 115;0.0240011
Ejecución 116;0.0250067
Ejecución 117;0.0249567
Ejecución 118;0.0250456
Ejecución 119;0.0250031
Ejecución 120;0.024587
Ejecución 121;0.0249998
Ejecución 122;0.024003
Ejecución 123;0.0240033
Ejecución 124;0.0240004
Ejecución 125;0.0240135
Ejecución 126;0.0250021
