Algoritmo;Radix_Sort
Tamaño;500000
Orden;shuffled
Repeticiones;100
Máquina;Vale
Tiempo total;3.83576s
Tiempo promedio;0.0383576s
Tiempos individuales (s):
Ejecución 1;0.0410384
Ejecución 2;0.0415552
Ejecución 3;0.0400024
Ejecución 4;0.041035
Ejecución 5;0.0400041
Ejecución 6;0.0400052
Ejecución 7;0.0410033
Ejecución 8;0.0410035
Ejecución 9;0.0410046
Ejecución 10;0.0410008
Ejecución 11;0.0400046
Ejecución 12;0.0400028
Ejecución 13;0.0410059
Ejecución 14;0.0410044
Ejecución 15;0.0389651
Ejecución 16;0.0410023
Ejecución 17;0.0400022
Ejecución 18;0.0400071
Ejecución 19;0.04059
Ejecución 20;0.0400049
Ejecución 21;0.0410039
Ejecución 22;0.0405931
Ejecución 23;0.0410054
Ejecución 24;0.0400078
Ejecución 25;0.0410005
Ejecución 26;0.0410007
Ejecución 27;0.0400002
Ejecución 28;0.039
Ejecución 29;0.0380004
Ejecución 30;0.0390008
Ejecución 31;0.0390003
Ejecución 32;0.0379993
Ejecución 33;0.0390013
Ejecución 34;0.0390005
Ejecución 35;0.0390006
Ejecución 36;0.0380024
Ejecución 37;0.0400006
Ejecución 38;0.0390001
Ejecución 39;0.0380005
Ejecución 40;0.0390004
Ejecución 41;0.0390004
Ejecución 42;0.0390438
Ejecución 43;0.037006
Ejecución 44;0.0370082
Ejecución 45;0.0379688
Ejecución 46;0.0390077
Ejecución 47;0.0380057
Ejecución 48;0.0380048
Ejecución 49;0.0380056
Ejecución 50;0.0410389
Ejecución 51;0.0380073
Ejecución 52;0.0389999
Ejecución 53;0.038999
Ejecución 54;0.0369654
Ejecución 55;0.0370041
Ejecución 56;0.0360089
Ejecución 57;0.0389657
Ejecución 58;0.0370085
Ejecución 59;0.0350081
Ejecución 60;0.0360108
Ejecución 61;0.0370084
Ejecución 62;0.0370098
Ejecución 63;0.0370018
Ejecución 64;0.0350078
Ejecución 65;0.03601
Ejecución 66;0.0360081
Ejecución 67;0.0370099
Ejecución 68;0.0360055
Ejecución 69;0.0410009
Ejecución 70;0.0370053
Ejecución 71;0.0370073
Ejecución 72;0.0360418
Ejecución 73;0.0370082
Ejecución 74;0.036009
Ejecución 75;0.0360077
Ejecución 76;0.036145
Ejecución 77;0.0370069
Ejecución 78;0.0360099
Ejecución 79;0.0360095
Ejecución 80;0.0360087
Ejecución 81;0.0350096
Ejecución 82;0.0360089
Ejecución 83;0.0410037
Ejecución 84;0.0370077
Ejecución 85;0.0400073
Ejecución 86;0.0394622
Ejecución 87;0.0360005
Ejecución 88;0.0389989
Ejecución 89;0.0370004
Ejecución 90;0.0359987
Ejecución 91;0.0360019
Ejecución 92;0.0370019
Ejecución 93;0.0370004
Ejecución 94;0.0360014
Ejecución 95;0.0370007
Ejecución 96;0.0370003
Ejecución 97;0.0380081
Ejecución 98;0.0380003
Ejecución 99;0.0370003
Ejecución 100;0.0380008
