Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.00136s
Tiempo promedio;0.00100136s
Tiempos individuales (s):
Ejecución 1;0.0009988
Ejecución 2;0.0009996
Ejecución 3;0.0009946
Ejecución 4;0.0009981
Ejecución 5;0.0009997
Ejecución 6;0.001
Ejecución 7;0.0009996
Ejecución 8;0.000999
Ejecución 9;0.0009992
Ejecución 10;0.0010001
Ejecución 11;0.0010124
Ejecución 12;0.000986
Ejecución 13;0.0009994
Ejecución 14;0.0009993
Ejecución 15;0.001
Ejecución 16;0.0009983
Ejecución 17;0.0010006
Ejecución 18;0.0010002
Ejecución 19;0.0010006
Ejecución 20;0.0009986
Ejecución 21;0.0009988
Ejecución 22;0.0009991
Ejecución 23;0.0010007
Ejecución 24;0.0010004
Ejecución 25;0.0009995
Ejecución 26;0.0010015
Ejecución 27;0.0009996
Ejecución 28;0.0010015
Ejecución 29;0.0009997
Ejecución 30;0.0009998
Ejecución 31;0.0009982
Ejecución 32;0.0010004
Ejecución 33;0.0009995
Ejecución 34;0.0009989
Ejecución 35;0.0009995
Ejecución 36;0.0009998
Ejecución 37;0.0009997
Ejecución 38;0.001
Ejecución 39;0.000999
Ejecución 40;0.0010008
Ejecución 41;0.0009934
Ejecución 42;0.0009981
Ejecución 43;0.0010011
Ejecución 44;0.0009993
Ejecución 45;0.001
Ejecución 46;0.0009996
Ejecución 47;0.0010014
Ejecución 48;0.0010038
Ejecución 49;0.0009946
Ejecución 50;0.0009998
Ejecución 51;0.0010008
Ejecución 52;0.0009989
Ejecución 53;0.0009989
Ejecución 54;0.0009972
Ejecución 55;0.0009998
Ejecución 56;0.0009992
Ejecución 57;0.0009986
Ejecución 58;0.0010002
Ejecución 59;0.000999
Ejecución 60;0.0009986
Ejecución 61;0.0010016
Ejecución 62;0.0009991
Ejecución 63;0.0010009
Ejecución 64;0.0010064
Ejecución 65;0.0009994
Ejecución 66;0.0009999
Ejecución 67;0.0010008
Ejecución 68;0.0009984
Ejecución 69;0.0009993
Ejecución 70;0.0010003
Ejecución 71;0.0010018
Ejecución 72;0.0009892
Ejecución 73;0.0009996
Ejecución 74;0.0009995
Ejecución 75;0.0010014
Ejecución 76;0.0009991
Ejecución 77;0.001
Ejecución 78;0.0009987
Ejecución 79;0.001001
Ejecución 80;0.0010002
Ejecución 81;0.0010013
Ejecución 82;0.0009994
Ejecución 83;0.0009988
Ejecución 84;0.0010013
Ejecución 85;0.0009992
Ejecución 86;0.0010011
Ejecución 87;0.0010003
Ejecución 88;0.0009993
Ejecución 89;0.0010001
Ejecución 90;0.0009995
Ejecución 91;0.0009972
Ejecución 92;0.0009998
Ejecución 93;0.0009995
Ejecución 94;0.0009987
Ejecución 95;0.0010018
Ejecución 96;0.0010003
Ejecución 97;0.0010007
Ejecución 98;0.0009995
Ejecución 99;0.0010056
Ejecución 100;0.0010016
Ejecución 101;0.0009986
Ejecución 102;0.0010012
Ejecución 103;0.0010005
Ejecución 104;0.0010008
Ejecución 105;0.0010002
Ejecución 106;0.0009992
Ejecución 107;0.0009998
Ejecución 108;0.0010012
Ejecución 109;0.0010026
Ejecución 110;0.0010045
Ejecución 111;0.0009915
Ejecución 112;0.0010005
Ejecución 113;0.0009994
Ejecución 114;0.0010003
Ejecución 115;0.0009999
Ejecución 116;0.0010016
Ejecución 117;0.0010122
Ejecución 118;0.0009957
Ejecución 119;0.0009994
Ejecución 120;0.0010005
Ejecución 121;0.001
Ejecución 122;0.0010011
Ejecución 123;0.0009984
Ejecución 124;0.0009982
Ejecución 125;0.0010005
Ejecución 126;0.0009986
Ejecución 127;0.001008
Ejecución 128;0.0009907
Ejecución 129;0.0010034
Ejecución 130;0.0009977
Ejecución 131;0.0010004
Ejecución 132;0.0009979
Ejecución 133;0.0009981
Ejecución 134;0.0010003
Ejecución 135;0.0010004
Ejecución 136;0.0010025
Ejecución 137;0.0009976
Ejecución 138;0.0010059
Ejecución 139;0.0009934
Ejecución 140;0.001
Ejecución 141;0.001002
Ejecución 142;0.0010022
Ejecución 143;0.0010001
Ejecución 144;0.0010009
Ejecución 145;0.0009986
Ejecución 146;0.0009998
Ejecución 147;0.0009995
Ejecución 148;0.001001
Ejecución 149;0.0010004
Ejecución 150;0.0009985
Ejecución 151;0.0009999
Ejecución 152;0.0009992
Ejecución 153;0.0010023
Ejecución 154;0.0010011
Ejecución 155;0.0010006
Ejecución 156;0.0009985
Ejecución 157;0.0010115
Ejecución 158;0.0009905
Ejecución 159;0.0010022
Ejecución 160;0.0009963
Ejecución 161;0.0010019
Ejecución 162;0.0010011
Ejecución 163;0.0009992
Ejecución 164;0.0009999
Ejecución 165;0.0010014
Ejecución 166;0.0009994
Ejecución 167;0.0010001
Ejecución 168;0.0009983
Ejecución 169;0.0010036
Ejecución 170;0.0009972
Ejecución 171;0.0009992
Ejecución 172;0.001
Ejecución 173;0.0009998
Ejecución 174;0.0010001
Ejecución 175;0.0009979
Ejecución 176;0.0009992
Ejecución 177;0.0010001
Ejecución 178;0.0010008
Ejecución 179;0.0009998
Ejecución 180;0.0009993
Ejecución 181;0.0010013
Ejecución 182;0.0010001
Ejecución 183;0.0009986
Ejecución 184;0.0010023
Ejecución 185;0.0009986
Ejecución 186;0.0010326
Ejecución 187;0.000966
Ejecución 188;0.0010004
Ejecución 189;0.0010005
Ejecución 190;0.0009998
Ejecución 191;0.0010007
Ejecución 192;0.0010001
Ejecución 193;0.0009993
Ejecución 194;0.0010055
Ejecución 195;0.001
Ejecución 196;0.0009999
Ejecución 197;0.0009989
Ejecución 198;0.0009987
Ejecución 199;0.0009991
Ejecución 200;0.0009983
Ejecución 201;0.0010014
Ejecución 202;0.0009991
Ejecución 203;0.0009974
Ejecución 204;0.001002
Ejecución 205;0.0009996
Ejecución 206;0.0009991
Ejecución 207;0.0009996
Ejecución 208;0.0009985
Ejecución 209;0.0009997
Ejecución 210;0.0010007
Ejecución 211;0.0010316
Ejecución 212;0.0009649
Ejecución 213;0.0009994
Ejecución 214;0.0010013
Ejecución 215;0.0009996
Ejecución 216;0.0010001
Ejecución 217;0.0009994
Ejecución 218;0.0009973
Ejecución 219;0.0010087
Ejecución 220;0.0009929
Ejecución 221;0.0009989
Ejecución 222;0.0010002
Ejecución 223;0.0009987
Ejecución 224;0.0009999
Ejecución 225;0.0010004
Ejecución 226;0.0009984
Ejecución 227;0.0009991
Ejecución 228;0.000999
Ejecución 229;0.0010026
Ejecución 230;0.0009996
Ejecución 231;0.0009993
Ejecución 232;0.0010008
Ejecución 233;0.0009991
Ejecución 234;0.001
Ejecución 235;0.0010008
Ejecución 236;0.0009992
Ejecución 237;0.0009989
Ejecución 238;0.0010015
Ejecución 239;0.0009985
Ejecución 240;0.0010018
Ejecución 241;0.0010009
Ejecución 242;0.0009998
Ejecución 243;0.0010002
Ejecución 244;0.001002
Ejecución 245;0.0010002
Ejecución 246;0.0010049
Ejecución 247;0.000994
Ejecución 248;0.0010025
Ejecución 249;0.0009968
Ejecución 250;0.0010023
Ejecución 251;0.0010007
Ejecución 252;0.0009986
Ejecución 253;0.0009987
Ejecución 254;0.001
Ejecución 255;0.0009994
Ejecución 256;0.0010009
Ejecución 257;0.0009994
Ejecución 258;0.0009975
Ejecución 259;0.0010021
Ejecución 260;0.0010002
Ejecución 261;0.0009991
Ejecución 262;0.0009982
Ejecución 263;0.0009967
Ejecución 264;0.0009998
Ejecución 265;0.0010011
Ejecución 266;0.0010008
Ejecución 267;0.0010045
Ejecución 268;0.0009952
Ejecución 269;0.0009998
Ejecución 270;0.0010152
Ejecución 271;0.0009839
Ejecución 272;0.0010001
Ejecución 273;0.001
Ejecución 274;0.0010024
Ejecución 275;0.0010064
Ejecución 276;0.0009943
Ejecución 277;0.0010066
Ejecución 278;0.0009929
Ejecución 279;0.0009996
Ejecución 280;0.0009982
Ejecución 281;0.000999
Ejecución 282;0.0010005
Ejecución 283;0.0009993
Ejecución 284;0.0010011
Ejecución 285;0.0010025
Ejecución 286;0.0009985
Ejecución 287;0.0010002
Ejecución 288;0.0009982
Ejecución 289;0.0009992
Ejecución 290;0.0009991
Ejecución 291;0.0010002
Ejecución 292;0.0010025
Ejecución 293;0.0009994
Ejecución 294;0.0009999
Ejecución 295;0.0009997
Ejecución 296;0.0010005
Ejecución 297;0.0010087
Ejecución 298;0.0009932
Ejecución 299;0.0009942
Ejecución 300;0.0009979
Ejecución 301;0.0009994
Ejecución 302;0.0009982
Ejecución 303;0.0010011
Ejecución 304;0.0009995
Ejecución 305;0.001002
Ejecución 306;0.0009967
Ejecución 307;0.0010015
Ejecución 308;0.0010063
Ejecución 309;0.000999
Ejecución 310;0.0010002
Ejecución 311;0.0010007
Ejecución 312;0.0010005
Ejecución 313;0.0009988
Ejecución 314;0.0010018
Ejecución 315;0.0009868
Ejecución 316;0.0009994
Ejecución 317;0.0009987
Ejecución 318;0.0009994
Ejecución 319;0.0009994
Ejecución 320;0.0010011
Ejecución 321;0.0010026
Ejecución 322;0.0009974
Ejecución 323;0.001007
Ejecución 324;0.0009906
Ejecución 325;0.0009991
Ejecución 326;0.0009984
Ejecución 327;0.0010011
Ejecución 328;0.0010014
Ejecución 329;0.0009999
Ejecución 330;0.0009995
Ejecución 331;0.0009999
Ejecución 332;0.0010027
Ejecución 333;0.0010002
Ejecución 334;0.0010005
Ejecución 335;0.0009976
Ejecución 336;0.0010004
Ejecución 337;0.0009992
Ejecución 338;0.0009748
Ejecución 339;0.0010001
Ejecución 340;0.0010001
Ejecución 341;0.001
Ejecución 342;0.0009982
Ejecución 343;0.0009984
Ejecución 344;0.0010028
Ejecución 345;0.0009954
Ejecución 346;0.0010036
Ejecución 347;0.0010003
Ejecución 348;0.0009978
Ejecución 349;0.0009999
Ejecución 350;0.0009998
Ejecución 351;0.0010008
Ejecución 352;0.0009997
Ejecución 353;0.0009994
Ejecución 354;0.0009982
Ejecución 355;0.0010007
Ejecución 356;0.0009988
Ejecución 357;0.001
Ejecución 358;0.0010032
Ejecución 359;0.0009992
Ejecución 360;0.0010004
Ejecución 361;0.0009999
Ejecución 362;0.0010002
Ejecución 363;0.001
Ejecución 364;0.0010083
Ejecución 365;0.0009928
Ejecución 366;0.0010008
Ejecución 367;0.0010012
Ejecución 368;0.0009977
Ejecución 369;0.0009986
Ejecución 370;0.0009996
Ejecución 371;0.0009997
Ejecución 372;0.0009989
Ejecución 373;0.0010006
Ejecución 374;0.0009995
Ejecución 375;0.0009992
Ejecución 376;0.0010021
Ejecución 377;0.000998
Ejecución 378;0.0009966
Ejecución 379;0.0009989
Ejecución 380;0.0010012
Ejecución 381;0.0009994
Ejecución 382;0.0009995
Ejecución 383;0.0010102
Ejecución 384;0.0009885
Ejecución 385;0.0010008
Ejecución 386;0.0009999
Ejecución 387;0.0009977
Ejecución 388;0.0009998
Ejecución 389;0.0010001
Ejecución 390;0.0010003
Ejecución 391;0.0009986
Ejecución 392;0.0010035
Ejecución 393;0.0009979
Ejecución 394;0.0009998
Ejecución 395;0.0010003
Ejecución 396;0.0010005
Ejecución 397;0.0009999
Ejecución 398;0.0009988
Ejecución 399;0.001
Ejecución 400;0.0009988
Ejecución 401;0.0007659
Ejecución 402;0.0009986
Ejecución 403;0.0009988
Ejecución 404;0.0009999
Ejecución 405;0.0010003
Ejecución 406;0.0009996
Ejecución 407;0.0009987
Ejecución 408;0.0009842
Ejecución 409;0.0010004
Ejecución 410;0.0010006
Ejecución 411;0.0009993
Ejecución 412;0.0009998
Ejecución 413;0.0010011
Ejecución 414;0.0009997
Ejecución 415;0.0009981
Ejecución 416;0.0010007
