Algoritmo;insertion_sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;26.993s
Tiempo promedio;0.026993s
Tiempos individuales (s):
Ejecución 1;0.0314869
Ejecución 2;0.0313363
Ejecución 3;0.0312485
Ejecución 4;0.0309797
Ejecución 5;0.0305493
Ejecución 6;0.0317824
Ejecución 7;0.0318798
Ejecución 8;0.0309227
Ejecución 9;0.0316048
Ejecución 10;0.0302686
Ejecución 11;0.0301442
Ejecución 12;0.030681
Ejecución 13;0.0297788
Ejecución 14;0.0300656
Ejecución 15;0.0288703
Ejecución 16;0.0312806
Ejecución 17;0.029905
Ejecución 18;0.0282861
Ejecución 19;0.0298566
Ejecución 20;0.0284879
Ejecución 21;0.0282667
Ejecución 22;0.0281004
Ejecución 23;0.0282709
Ejecución 24;0.0282249
Ejecución 25;0.0282889
Ejecución 26;0.0281704
Ejecución 27;0.0304896
Ejecución 28;0.0297271
Ejecución 29;0.0290908
Ejecución 30;0.0299816
Ejecución 31;0.0281767
Ejecución 32;0.0321665
Ejecución 33;0.0295483
Ejecución 34;0.030357
Ejecución 35;0.0274299
Ejecución 36;0.0276896
Ejecución 37;0.0273743
Ejecución 38;0.0270901
Ejecución 39;0.0273453
Ejecución 40;0.0294422
Ejecución 41;0.0319598
Ejecución 42;0.0314405
Ejecución 43;0.0313018
Ejecución 44;0.031138
Ejecución 45;0.0309707
Ejecución 46;0.0306579
Ejecución 47;0.0307079
Ejecución 48;0.0298319
Ejecución 49;0.0270248
Ejecución 50;0.0281056
Ejecución 51;0.0277522
Ejecución 52;0.0268767
Ejecución 53;0.0269451
Ejecución 54;0.0269216
Ejecución 55;0.0268868
Ejecución 56;0.0269228
Ejecución 57;0.026946
Ejecución 58;0.0269397
Ejecución 59;0.0269482
Ejecución 60;0.0270269
Ejecución 61;0.0270196
Ejecución 62;0.0301791
Ejecución 63;0.0269441
Ejecución 64;0.0272874
Ejecución 65;0.0277413
Ejecución 66;0.0269309
Ejecución 67;0.0269564
Ejecución 68;0.026867
Ejecución 69;0.0267915
Ejecución 70;0.0269574
Ejecución 71;0.0267423
Ejecución 72;0.0264981
Ejecución 73;0.0264031
Ejecución 74;0.0264178
Ejecución 75;0.0264075
Ejecución 76;0.0264902
Ejecución 77;0.0302182
Ejecución 78;0.0294159
Ejecución 79;0.0271093
Ejecución 80;0.0299614
Ejecución 81;0.0270936
Ejecución 82;0.0275093
Ejecución 83;0.0271144
Ejecución 84;0.0265894
Ejecución 85;0.0265844
Ejecución 86;0.0265443
Ejecución 87;0.0268429
Ejecución 88;0.0265855
Ejecución 89;0.0265562
Ejecución 90;0.0265321
Ejecución 91;0.0272196
Ejecución 92;0.0266278
Ejecución 93;0.0265355
Ejecución 94;0.0264927
Ejecución 95;0.0265445
Ejecución 96;0.0265206
Ejecución 97;0.0267935
Ejecución 98;0.0265846
Ejecución 99;0.0297437
Ejecución 100;0.0264671
Ejecución 101;0.0264746
Ejecución 102;0.0265031
Ejecución 103;0.0265414
Ejecución 104;0.0274538
Ejecución 105;0.0265229
Ejecución 106;0.0288785
Ejecución 107;0.0274763
Ejecución 108;0.0269037
Ejecución 109;0.0264571
Ejecución 110;0.0270926
Ejecución 111;0.026508
Ejecución 112;0.0264545
Ejecución 113;0.0272538
Ejecución 114;0.0292663
Ejecución 115;0.0286508
Ejecución 116;0.0266069
Ejecución 117;0.0263567
Ejecución 118;0.0267848
Ejecución 119;0.027268
Ejecución 120;0.026387
Ejecución 121;0.0263587
Ejecución 122;0.0264391
Ejecución 123;0.0265171
Ejecución 124;0.0263883
Ejecución 125;0.0263974
Ejecución 126;0.0263421
Ejecución 127;0.026392
Ejecución 128;0.0265662
Ejecución 129;0.0263716
Ejecución 130;0.0266371
Ejecución 131;0.0267576
Ejecución 132;0.0263548
Ejecución 133;0.0262816
Ejecución 134;0.0262504
Ejecución 135;0.0262561
Ejecución 136;0.0263883
Ejecución 137;0.0263684
Ejecución 138;0.026672
Ejecución 139;0.026241
Ejecución 140;0.0263072
Ejecución 141;0.0263246
Ejecución 142;0.0271142
Ejecución 143;0.0262314
Ejecución 144;0.0262953
Ejecución 145;0.02631
Ejecución 146;0.0263646
Ejecución 147;0.0263031
Ejecución 148;0.026364
Ejecución 149;0.0262758
Ejecución 150;0.0262829
Ejecución 151;0.0263338
Ejecución 152;0.0283558
Ejecución 153;0.0288561
Ejecución 154;0.0267877
Ejecución 155;0.0263122
Ejecución 156;0.027026
Ejecución 157;0.0262676
Ejecución 158;0.0263072
Ejecución 159;0.0263782
Ejecución 160;0.0263682
Ejecución 161;0.0263095
Ejecución 162;0.0263055
Ejecución 163;0.0262786
Ejecución 164;0.0263045
Ejecución 165;0.026324
Ejecución 166;0.0262799
Ejecución 167;0.0270243
Ejecución 168;0.026815
Ejecución 169;0.0263799
Ejecución 170;0.026678
Ejecución 171;0.0264658
Ejecución 172;0.0267556
Ejecución 173;0.0267212
Ejecución 174;0.029769
Ejecución 175;0.0263871
Ejecución 176;0.0264135
Ejecución 177;0.0263702
Ejecución 178;0.0263712
Ejecución 179;0.0264485
Ejecución 180;0.0271889
Ejecución 181;0.0263649
Ejecución 182;0.0263564
Ejecución 183;0.0263995
Ejecución 184;0.0265254
Ejecución 185;0.0264015
Ejecución 186;0.0264279
Ejecución 187;0.0264842
Ejecución 188;0.0264341
Ejecución 189;0.0264027
Ejecución 190;0.0294383
Ejecución 191;0.0272664
Ejecución 192;0.0277272
Ejecución 193;0.0274488
Ejecución 194;0.0266423
Ejecución 195;0.026372
Ejecución 196;0.0267132
Ejecución 197;0.0264119
Ejecución 198;0.0264682
Ejecución 199;0.0264361
Ejecución 200;0.0264312
Ejecución 201;0.0267419
Ejecución 202;0.027102
Ejecución 203;0.0263794
Ejecución 204;0.026424
Ejecución 205;0.026469
Ejecución 206;0.0264937
Ejecución 207;0.0264441
Ejecución 208;0.0269909
Ejecución 209;0.0267292
Ejecución 210;0.0268276
Ejecución 211;0.0299611
Ejecución 212;0.0275069
Ejecución 213;0.026382
Ejecución 214;0.0266964
Ejecución 215;0.0264288
Ejecución 216;0.0263734
Ejecución 217;0.0265324
Ejecución 218;0.0265162
Ejecución 219;0.0263796
Ejecución 220;0.0264079
Ejecución 221;0.026757
Ejecución 222;0.026428
Ejecución 223;0.02642
Ejecución 224;0.0270303
Ejecución 225;0.0263759
Ejecución 226;0.0267943
Ejecución 227;0.0289439
Ejecución 228;0.0281599
Ejecución 229;0.0263544
Ejecución 230;0.0263509
Ejecución 231;0.0303237
Ejecución 232;0.0271038
Ejecución 233;0.0263831
Ejecución 234;0.0264313
Ejecución 235;0.0264668
Ejecución 236;0.0263457
Ejecución 237;0.0263888
Ejecución 238;0.0264417
Ejecución 239;0.0263405
Ejecución 240;0.0265695
Ejecución 241;0.0263941
Ejecución 242;0.0265455
Ejecución 243;0.0266747
Ejecución 244;0.0267103
Ejecución 245;0.0264004
Ejecución 246;0.0263426
Ejecución 247;0.026955
Ejecución 248;0.0316408
Ejecución 249;0.0268828
Ejecución 250;0.0266074
Ejecución 251;0.026369
Ejecución 252;0.0263954
Ejecución 253;0.0267271
Ejecución 254;0.0264391
Ejecución 255;0.0266317
Ejecución 256;0.0267462
Ejecución 257;0.026418
Ejecución 258;0.0263906
Ejecución 259;0.0267433
Ejecución 260;0.0267078
Ejecución 261;0.0266966
Ejecución 262;0.0267424
Ejecución 263;0.0264715
Ejecución 264;0.028308
Ejecución 265;0.028994
Ejecución 266;0.0270577
Ejecución 267;0.0264169
Ejecución 268;0.0264343
Ejecución 269;0.0277067
Ejecución 270;0.0264073
Ejecución 271;0.0267213
Ejecución 272;0.0267186
Ejecución 273;0.0264527
Ejecución 274;0.0267238
Ejecución 275;0.0267291
Ejecución 276;0.0266691
Ejecución 277;0.0263957
Ejecución 278;0.0267314
Ejecución 279;0.0266954
Ejecución 280;0.0268867
Ejecución 281;0.0265213
Ejecución 282;0.026769
Ejecución 283;0.0263753
Ejecución 284;0.0263997
Ejecución 285;0.029474
Ejecución 286;0.0263398
Ejecución 287;0.0263181
Ejecución 288;0.0263499
Ejecución 289;0.0263317
Ejecución 290;0.0263453
Ejecución 291;0.0267507
Ejecución 292;0.0263294
Ejecución 293;0.0267548
Ejecución 294;0.0267162
Ejecución 295;0.0262712
Ejecución 296;0.0263621
Ejecución 297;0.0262898
Ejecución 298;0.0263221
Ejecución 299;0.0266404
Ejecución 300;0.0262468
Ejecución 301;0.0264577
Ejecución 302;0.0288432
Ejecución 303;0.0286334
Ejecución 304;0.031237
Ejecución 305;0.0264494
Ejecución 306;0.0263182
Ejecución 307;0.0266151
Ejecución 308;0.0264735
Ejecución 309;0.0263308
Ejecución 310;0.026434
Ejecución 311;0.0264391
Ejecución 312;0.0263766
Ejecución 313;0.0263535
Ejecución 314;0.0270533
Ejecución 315;0.0263751
Ejecución 316;0.0263413
Ejecución 317;0.0263399
Ejecución 318;0.0264766
Ejecución 319;0.0263785
Ejecución 320;0.0264405
Ejecución 321;0.0263842
Ejecución 322;0.0263709
Ejecución 323;0.0295595
Ejecución 324;0.0264005
Ejecución 325;0.0262969
Ejecución 326;0.0266549
Ejecución 327;0.026315
Ejecución 328;0.0263897
Ejecución 329;0.0263066
Ejecución 330;0.0274992
Ejecución 331;0.0263592
Ejecución 332;0.026315
Ejecución 333;0.026402
Ejecución 334;0.0263538
Ejecución 335;0.0263245
Ejecución 336;0.0271515
Ejecución 337;0.0265661
Ejecución 338;0.032319
Ejecución 339;0.0354037
Ejecución 340;0.0301506
Ejecución 341;0.0275728
Ejecución 342;0.0267881
Ejecución 343;0.0263977
Ejecución 344;0.0276935
Ejecución 345;0.0264089
Ejecución 346;0.0263906
Ejecución 347;0.026463
Ejecución 348;0.0270434
Ejecución 349;0.0264111
Ejecución 350;0.0267029
Ejecución 351;0.0264674
Ejecución 352;0.0264317
Ejecución 353;0.026759
Ejecución 354;0.0264017
Ejecución 355;0.0267649
Ejecución 356;0.0264149
Ejecución 357;0.0267275
Ejecución 358;0.0270429
Ejecución 359;0.0266994
Ejecución 360;0.0358175
Ejecución 361;0.0275809
Ejecución 362;0.0269592
Ejecución 363;0.0265958
Ejecución 364;0.0264009
Ejecución 365;0.0263841
Ejecución 366;0.0263507
Ejecución 367;0.0267045
Ejecución 368;0.0265058
Ejecución 369;0.0310859
Ejecución 370;0.030791
Ejecución 371;0.0295429
Ejecución 372;0.0272003
Ejecución 373;0.027018
Ejecución 374;0.02648
Ejecución 375;0.0275485
Ejecución 376;0.0293592
Ejecución 377;0.0271313
Ejecución 378;0.0267347
Ejecución 379;0.0263373
Ejecución 380;0.0279147
Ejecución 381;0.0269679
Ejecución 382;0.0268108
Ejecución 383;0.0263606
Ejecución 384;0.0267875
Ejecución 385;0.0264135
Ejecución 386;0.0263606
Ejecución 387;0.0263506
Ejecución 388;0.0267275
Ejecución 389;0.0267442
Ejecución 390;0.0263755
Ejecución 391;0.0263787
Ejecución 392;0.0266721
Ejecución 393;0.0267093
Ejecución 394;0.0263387
Ejecución 395;0.026379
Ejecución 396;0.0295686
Ejecución 397;0.0263514
Ejecución 398;0.026445
Ejecución 399;0.0264028
Ejecución 400;0.0265118
Ejecución 401;0.0263796
Ejecución 402;0.0269946
Ejecución 403;0.0264181
Ejecución 404;0.0271687
Ejecución 405;0.026373
Ejecución 406;0.0265038
Ejecución 407;0.0264198
Ejecución 408;0.0263554
Ejecución 409;0.0263922
Ejecución 410;0.0264059
Ejecución 411;0.0263719
Ejecución 412;0.0264315
Ejecución 413;0.0287373
Ejecución 414;0.0280046
Ejecución 415;0.0265926
Ejecución 416;0.0367199
